key,0,1,2,3,4,5
#,,,,,,
int32,uint32,uint16,byte,int32,uint32,str
0,686,1,0,0,0,"テストクエスト石川"
1,691,1,0,0,0,"ヒントトーク優先順確認"
2,703,1,0,0,0,"はじめてのおつかい"
3,704,1,0,0,0,"川瀬実験01"
4,705,1,0,0,0,"川瀬実験02"
5,706,1,0,0,0,"NCut用ダミー クエスト"
6,659,1,0,0,0,"TstPln055"
7,669,1,0,0,0,"テスト20130322"
8,670,1,0,0,0,"SG検証用クエスト"
9,679,1,0,0,0,"特殊SG検証用クエスト"
10,442,1,0,0,0,"デバッグクエスト"
11,450,1,0,0,0,"デバッグクエスト２"
12,391,1,0,0,0,"NCutセリフテスト"
13,338,1,0,0,0,"長谷川テスト2nd"
14,289,1,0,0,0,"イダ・パパリモ戦テスト"
15,290,1,0,0,0,"TstPln056"
16,309,1,0,0,0,"TstPln058"
17,240,1,0,0,0,"まいくエスト"
18,242,1,0,0,0,"Ykojima_test"
19,243,1,0,0,0,"TstPln057"
20,200,0,0,0,0,"テスト用クエスト"
21,202,1,0,0,0,"水羊羹の作り方"
22,203,1,0,0,0,"きんつば食べたい"
23,204,1,0,0,0,"土屋テスト２正式名"
24,206,1,0,0,0,"影クエ1"
25,207,1,0,0,0,"影クエ2"
26,212,1,0,0,0,"がや検証：低い男性の声"
27,213,1,0,0,0,"がや検証：低い女性の声"
28,214,1,0,0,0,"がや検証：普通の男性の声"
29,215,1,0,0,0,"がや検証：普通の女性の声"
30,216,1,0,0,0,"がや検証：高い男性の声"
31,217,1,0,0,0,"がや検証：高い女性の声"
32,239,1,0,0,0,"津呂テストクエスト"
33,177,1,0,0,0,"So You Want to Be a Gladiator"
34,178,1,0,0,0,"So You Want to Be a Pugilist"
35,179,1,0,0,0,"So You Want to be a Marauder"
36,180,1,0,0,0,"So You Want to Be a Lancer"
37,181,1,0,0,0,"So You Want to Be an Archer"
38,182,1,0,0,0,"So You Want to Be a Conjurer"
39,183,1,0,0,0,"So You Want to Be a Thaumaturge"
40,184,1,0,0,0,"So You Want to Be a Carpenter"
41,185,1,0,0,0,"So You Want to Be a Blacksmith"
42,186,1,0,0,0,"So You Want to Be an Armorer"
43,187,1,0,0,0,"So You Want to Be a Goldsmith"
44,188,1,0,0,0,"So You Want to Be a Leatherworker"
45,189,1,0,0,0,"So You Want to Be a Weaver"
46,190,1,0,0,0,"So You Want to Be an Alchemist"
47,191,1,0,0,0,"So You Want to Be a Culinarian"
48,192,1,0,0,0,"So You Want to Be a Miner"
49,193,1,0,0,0,"So You Want to Be a Botanist"
50,194,1,0,0,0,"漁師仮入門"
51,144,1,0,0,0,"トレード/複数"
52,145,1,0,0,0,"倒す/敵POP"
53,146,1,0,0,0,"倒す/敵POP/アイテム入手"
54,148,1,0,0,0,"HotToTest"
55,154,8,0,0,0,"土屋ラーニング用"
56,80,1,0,0,0,"～に話す/～がPOPしバトル"
57,81,1,0,0,0,"～にアクションする"
58,82,1,0,0,0,"～にエモートする"
59,83,1,0,0,0,"グリダニアオープニング"
60,84,65535,0,0,0,"冒険者登録（パブリック）"
61,86,1,0,0,0,"～にアイテムを使う"
62,87,1,0,0,0,"話す/アイテム入手/カウンタブル"
63,88,1,0,0,0,"話す/アイテム入手/複数"
64,89,1,0,0,0,"話す/アイテム入手/複数カウンタブル"
65,90,1,0,0,0,"長谷川１テストクエスト"
66,94,1,0,0,0,"アクション/ENPC/敵POP"
67,96,1,0,0,0,"アクション/ENPC/複数敵POP"
68,100,1,0,0,0,"話/アイテム/並列/カウンタブル"
69,101,1,0,0,0,"アクション/アイテム/並列/カウンタブル"
70,102,1,0,0,0,"アイテム使用/BNPC"
71,104,1,0,0,0,"アイテム使用/別アイテム貰う"
72,110,65535,0,0,0,"海：イエロージャケット導線（使用しない）"
73,57,1,0,0,0,"アイテムドロップ"
74,58,1,0,0,0,"ENPCアイテムテスト"
75,59,1,0,0,0,"～倒す／アイテム入手"
76,60,1,0,0,0,"BNPCアイテムテスト"
77,62,1,0,0,0,"芳野テストクエスト"
78,69,1,0,0,0,"EOBJ/アクション/複数敵POP"
79,72,1,0,0,0,"LQ（prog向け）"
80,73,1,0,0,0,"LQ（plan向け）"
81,74,1,0,0,0,"アクション／アイテム入手"
82,75,1,0,0,0,"アクション／アイテム入手／カウンタブル"
83,77,1,0,0,0,"対象/話/敵POP/ItemDrop"
84,78,1,0,0,0,"cutSceneSubtitles"
85,79,1,0,0,0,"～に話す/アイテム入手/トレード"
86,0,65535,0,0,0,""
87,14,1,0,0,0,"～に話す/指定対象"
88,15,1,0,0,0,"確保"
89,16,1,0,0,0,"～話す/単数/指定対象"
90,17,1,0,0,0,"～話す/複数指定/カウンタブル"
91,18,5,0,0,0,"受諾条件レベル５以上"
92,29,0,0,0,0,"プログラマーテスト"
93,33,1,0,0,0,"～を倒せ/単体"
94,0,0,0,0,0,""
95,656,0,0,0,0,""
96,657,0,0,0,0,""
97,658,0,0,0,0,""
98,659,0,0,0,0,""
99,660,0,0,0,0,""
100,661,0,0,0,0,""
101,662,0,0,0,0,""
102,663,0,0,0,0,""
103,664,0,0,0,0,""
104,665,0,0,0,0,""
105,666,0,0,0,0,""
106,667,0,0,0,0,""
107,668,0,0,0,0,""
108,669,0,0,0,0,""
109,670,0,0,0,0,""
110,671,0,0,0,0,""
111,672,0,0,0,0,""
112,673,0,0,0,0,""
113,754,0,0,0,0,""
114,755,0,0,0,0,""
115,756,0,0,0,0,""
116,757,0,0,0,0,""
117,758,0,0,0,0,""
118,759,0,0,0,0,""
119,760,0,0,0,0,""
120,761,0,0,0,0,""
121,762,0,0,0,0,""
122,763,0,0,0,0,""
123,764,0,0,0,0,""
124,765,0,0,0,0,""
125,766,0,0,0,0,""
126,767,0,0,0,0,""
127,768,0,0,0,0,""
128,769,0,0,0,0,""
129,770,0,0,0,0,""
130,771,0,0,0,0,""
131,772,0,0,0,0,""
132,773,0,0,0,0,""
133,774,0,0,0,0,""
134,775,0,0,0,0,""
135,776,0,0,0,0,""
136,777,0,0,0,0,""
137,778,0,0,0,0,""
138,779,0,0,0,0,""
139,780,0,0,0,0,""
140,781,0,0,0,0,""
141,782,0,0,0,0,""
142,783,0,0,0,0,""
143,784,0,0,0,0,""
144,785,0,0,0,0,""
145,786,0,0,0,0,""
146,787,0,0,0,0,""
147,788,0,0,0,0,""
148,789,0,0,0,0,""
149,790,0,0,0,0,""
150,791,0,0,0,0,""
151,792,0,0,0,0,""
152,793,0,0,0,0,""
153,680,20,0,61412,0,"The Company You Keep (Twin Adder)"
154,681,20,0,61412,0,"The Company You Keep (Maelstrom)"
155,682,20,0,61412,0,"The Company You Keep (Immortal Flames)"
156,683,20,0,61412,0,"Wood's Will Be Done"
157,684,20,0,61412,0,"Till Sea Swallows All"
