key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
#,,,,,,,,,,,,,,,,,,,,,
int32,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,uint16,uint16,uint16,byte,byte,byte,bool,bool,bool,str,str,str
589824,1,0,0,799,796,854,1,1,1,0,0,0,3,4,5,False,False,False,"Emphatic talk shape, conversation motion.","Document talk shape, looped behavior gestures.","Eerie talk shape, looped angry gestures."
589825,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589826,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Y!","R!","P!"
589827,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Ahhh, that was grrreat! <burp>","I tell ye, ain't no place what serves tastier meals than here!","0"
589828,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Handing over item.)","Shifting to “behavior reaction greeting.”","0"
589829,2,2,0,755,755,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Receiving item.)","Shifting to “behavior reaction thinking.”","0"
589830,2,2,0,755,763,0,1,1,1,0,0,0,0,0,0,True,True,False,"Basic stance and standing reaction test. (Conversation item.)","Shifting to “behavior reaction anger.”","0"
589831,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Normal seated → normal stance → standing reaction.","0","0"
589832,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Flashy stance → normal stance → standing reaction.","0","0"
589833,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Flashy seated → normal seated → normal stance → standing reaction.","0","0"
589834,2,0,0,763,0,0,1,1,1,0,0,0,0,0,0,True,False,False,"Basic stance and standing reaction test.
Unique → normal stance → standing reaction.","0","0"
589835,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I can see the sky! Wonderful!","0","0"
589836,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"As you can see, I am a minstrel.","Mayhap I can play for you a sweet lullaby?","0"
589837,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I am a giver of quests, nothing more and nothing less.","0","0"
589838,1,2,2,784,809,786,1,1,1,0,0,0,0,0,0,False,False,False,"Page break test, here we go! Page ONE!","Page TWO!","Page THREE!"
589839,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Line break test, are you ready!?
Bam! It is done!","0","0"
589840,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Hey, did you know? There's a place in Meguro where you can gorge yourself on meat of unrivaled epicness.","0","0"
589841,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Just testing some default talk. Nothing to see here.","0","0"
589842,1,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I'm testing some default talk! Don't bother me!","0","0"
589843,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"It is a default talk test.","0","0"
589844,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I don't believe I've seen your face before. New to Gridania, I take it?","Then you're required to register at the Carline Canopy. Don't let me catch you strolling about until you've done so.","0"
589845,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Make yourself known at the Carline Canopy, where the local Adventurers' Guild is headquartered. Speak to Mother Miounne within, and she will take you in hand.","So long as you are within Gridanian territory, you must abide by Gridanian laws. Go now, and do as I have instructed.","0"
589846,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Yer one o' them adventurers, ain't ye? Gridania fair swarms with outsiders o' late. Can't walk ten bloody yalms without bumpin' into one o' ye.","Don't be takin' this the wrong way─we appreciate the hard work ye do, an' all─but 'tis hard to be at ease when scores o' strangers walk through yer home every day.","0"
589847,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"It is by the blessing of the elementals that we Gridanians dwell in the Twelveswood. As you go about your business, be ever mindful of their presence and respectful of their will.","0","0"
589848,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"It is by the blessing of the elementals that we Gridanians dwell in the Twelveswood.","See to it that you do naught which brings our people to grief.","0"
589849,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I don't understand these Gridanians. They make a great show of doubting us adventurers, yet place their trust in beings they can't even see. Where is the reason in that, I ask you?","0","0"
589850,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I heard that the elementals show themselves when enraged. Call me reckless, but I'd <Emphasis>love</Emphasis> to see one in the flesh...or whatever the hells it is they're made of.","0","0"
589851,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Welcome to the Carline Canopy, a place of respite for adventurers like yourself.","As you may imagine, the Twelveswood has scarcely begun to recover from the devastation wrought by the Calamity, and Gridania wants for all the help it can get. I hope we can count on yours.","Though I will not deny there are those among us who view outsiders with suspicion, if you play your part, they will come to see that adventurers are the very salve our nation so sorely needs."
589852,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589853,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589854,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589855,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"You stand before the Adders' Nest, the headquarters of the Order of the Twin Adder, Gridania's own Grand Company. It is here that our nation draws together its military, economic, and technological resources that we may bring their combined might to bear against our foes.","0","0"
589856,1,0,0,755,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589857,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589858,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"Though our trials and tribulations be endless, never must we allow ourselves to become lost to hope.","For as the Elder Seedseer teaches, ever do the elementals watch over us. So long as we trust to them and each do our part, all shall be well.","0"
589859,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"0","0","0"
589860,2,0,0,764,0,0,1,1,1,0,0,0,0,0,0,False,False,False,"I was told playing with the younglings would make me a better carpenter. I don't...think it's working.","0","0"
