key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,uint16,uint16,byte,uint32,byte
2000000,"[en]",0,"",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000001,"毒薬ポーション",0,"毒薬ポーション",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",20601,1,99,65538,3
2000002,"おいしい料理",0,"おいしい料理",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",20601,120,99,65615,3
2000003,"油",0,"油",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000004,"Test1",0,"Test1",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",20601,1,1,0,3
2000005,"Test2",0,"Test2",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000006,"Test3",0,"Test3",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000007,"Test4",0,"Test4",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000008,"Test5",0,"Test5",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000009,"Test6",0,"Test6",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000010,"Test7",0,"Test7",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000011,"Test8",0,"Test8",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000012,"Test9",0,"Test9",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000013,"Test10",0,"Test10",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000014,"Test11",0,"Test11",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000015,"Test12",0,"Test12",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",0,0,1,0,0
2000016,"古時計",0,"古時計",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",20601,1,1,65622,3
2000017,"角砂糖",0,"角砂糖",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",20601,1,1,65595,3
2000018,"音楽堂のゴミ",0,"音楽堂のゴミ",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。

クエスト「野外音楽堂の掃除」関連アイテム","",20601,1,99,0,3
2000019,"ニコリオーの宝物",0,"ニコリオーの宝物",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。

","",20601,1,99,0,3
2000020,"キノコ観察録",0,"キノコ観察録",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。

","",20601,1,3,65610,3
2000021,"wooden hairpin",0,"wooden hairpins",0,0,1,0,0,"A simple wooden hairpin treasured by young Aunillie of the Acorn Orchard.","Wooden Hairpin",22623,1,1,0,3
2000022,"傷薬（仮）",0,"傷薬（仮）",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
。
クエスト「姉の心遣い」関連アイテム","",20601,1,1,0,3
2000023,"ヨエヌの封書",0,"ヨエヌの封書",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。
","",26068,1,1,65560,3
2000024,"recruit's toolbox",0,"recruit's toolboxes",0,0,1,0,0,"A sturdy box filled with a set of pristine carpentry tools.","Recruit's Toolbox",21002,1,1,65563,3
2000025,"スウェシーナ隊長への封書（仮）",0,"スウェシーナ隊長への封書（仮）",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。

クエスト「商店街の主からの手紙」関連アイテム","",20601,1,1,0,3
2000026,"マンドラゴラの種（仮）",0,"マンドラゴラの種（仮）",0,0,1,0,0,"※α未使用
もし入ってたらバグなのでEvent班へ教えてください。

クエスト「困りの種」関連アイテム","",20601,1,1,0,3
