key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
#,,,,,,,,,,,,,,,
int32,byte,int32,byte,uint16,int32,byte,byte,int32,uint16,int32,uint16,int32,int32,int32,int32
30000,1,0,0,600,0,0,0,0,0,0,0,0,1,0,-1
30001,1,0,6,1,0,0,0,0,0,0,0,0,1,0,-1
30002,1,1,6,1,0,0,0,0,0,0,0,0,1,0,-1
30003,1,2,6,1,0,0,0,0,0,0,0,0,1,0,-1
30004,1,3,6,1,0,0,0,0,0,0,0,0,1,0,-1
30005,1,4,6,1,0,0,0,2,30,16,1,0,1,0,-1
30006,3,8,4,1,0,0,0,0,0,0,0,0,1,0,-1
30007,3,9,4,1,0,0,0,0,0,0,0,0,1,0,-1
30008,1,5,6,1,0,0,0,1,2,1,10,0,1,0,-1
30009,1,6,6,1,0,0,0,2,20,4,15,0,1,0,-1
30010,1,7,6,1,0,0,0,3,30,7,20,0,1,0,-1
30011,1,10,6,1,0,0,0,14,65,1,10,0,135,0,-1
30012,1,11,6,1,0,0,0,3,23,16,1,0,148,0,-1
30013,1,11,6,1,0,0,0,0,0,0,0,0,148,0,-1
30014,1,11,6,1,0,0,0,15,42,10,10,0,148,0,-1
30015,1,11,6,1,0,0,0,14,52,1,10,0,148,0,-1
30016,1,12,6,1,0,0,0,15,42,10,10,0,154,0,-1
30017,1,12,6,1,0,0,0,0,0,0,0,0,154,0,-1
30018,1,12,6,1,0,0,0,3,23,16,1,0,154,0,-1
30019,1,13,6,1,0,0,0,3,23,16,1,0,154,0,-1
30020,1,13,6,1,0,0,0,14,52,1,10,0,154,0,-1
30021,1,13,6,1,0,0,0,0,0,0,0,0,154,0,-1
30022,1,10,6,1,0,0,0,15,52,10,10,0,135,0,-1
30023,1,10,6,1,0,0,0,0,0,0,0,0,135,0,-1
30024,1,15,6,1,0,0,0,15,52,10,10,0,154,0,-1
30025,1,15,6,1,0,0,0,0,0,0,0,0,154,0,-1
30026,1,15,6,1,0,0,0,14,65,1,10,0,154,0,-1
30027,1,16,6,1,0,0,0,15,52,10,10,0,148,0,-1
30028,1,16,6,1,0,0,0,14,65,1,10,0,148,0,-1
30029,1,16,6,1,0,0,0,3,32,16,1,0,148,0,-1
30030,1,16,6,1,0,0,0,0,0,0,0,0,148,0,-1
30031,1,17,6,1,0,0,0,3,43,16,1,0,148,0,-1
30032,1,17,6,1,0,0,0,0,0,0,0,0,148,0,-1
30033,1,17,6,1,0,0,0,14,77,1,10,0,148,0,-1
30034,1,19,6,1,0,0,0,5,43,16,1,0,148,0,-1
30035,1,19,6,1,0,0,0,14,77,1,10,0,148,0,-1
30036,1,19,6,1,0,0,0,0,0,0,0,0,148,0,-1
30037,1,21,6,1,0,0,0,5,43,16,1,0,148,0,-1
30038,1,36,6,1,0,0,0,6,116,16,1,0,146,0,-1
30039,1,21,6,1,0,0,0,0,0,0,0,0,148,0,-1
30040,1,21,6,1,0,0,0,14,77,1,10,0,148,0,-1
30041,1,21,6,1,0,0,0,15,62,10,10,0,148,0,-1
30042,1,22,6,1,0,0,0,0,0,0,0,0,152,0,-1
30043,1,22,6,1,0,0,0,14,90,1,10,0,152,0,-1
30044,1,22,6,1,0,0,0,15,81,10,10,0,152,0,-1
30045,1,23,6,1,0,0,0,5,57,16,1,0,152,0,-1
30046,1,23,6,1,0,0,0,14,90,1,10,0,152,0,-1
30047,1,23,6,1,0,0,0,15,81,10,10,0,152,0,-1
30048,1,24,6,1,0,0,0,0,0,0,0,0,153,0,-1
30049,1,24,6,1,0,0,0,3,75,16,1,0,153,0,-1
30050,1,24,6,1,0,0,0,14,112,1,10,0,153,0,-1
30051,1,10,6,1,0,0,0,3,32,16,1,0,135,0,-1
30052,1,14,6,1,0,0,0,14,77,1,10,0,140,0,-1
30053,1,14,6,1,0,0,0,15,62,10,10,0,140,0,-1
30054,1,26,6,1,0,0,0,15,115,10,10,0,154,0,-1
30055,1,26,6,1,0,0,0,14,138,1,10,0,154,0,-1
30056,1,26,6,1,0,0,0,0,0,0,0,0,154,0,-1
30057,1,27,6,1,0,0,0,14,138,1,10,0,153,0,-1
30058,1,27,6,1,0,0,0,3,94,16,1,0,153,0,-1
30059,1,27,6,1,0,0,0,0,0,0,0,0,153,0,-1
30060,1,28,6,1,0,0,0,3,116,16,1,0,153,0,-1
30061,1,28,6,1,0,0,0,0,0,0,0,0,153,0,-1
30062,1,28,6,1,0,0,0,14,165,1,10,0,153,0,-1
30063,1,29,6,1,0,0,0,5,116,16,1,0,153,0,-1
30064,1,29,6,1,0,0,0,14,165,1,10,0,153,0,-1
30065,1,29,6,1,0,0,0,15,153,10,10,0,153,0,-1
30066,1,14,6,1,0,0,0,5,43,16,1,0,140,0,-1
30067,1,14,6,1,0,0,0,0,0,0,0,0,140,0,-1
30068,1,18,6,1,0,0,0,0,0,0,0,0,140,0,-1
30069,1,18,6,1,0,0,0,14,77,1,10,0,140,0,-1
30070,1,18,6,1,0,0,0,5,43,16,1,0,140,0,-1
30071,1,18,6,1,0,0,0,15,62,10,10,0,140,0,-1
30072,1,25,6,1,0,0,0,0,0,0,0,0,141,0,-1
30073,1,25,6,1,0,0,0,15,62,10,10,0,141,0,-1
30074,1,25,6,1,0,0,0,5,43,16,1,0,141,0,-1
30075,1,25,6,1,0,0,0,14,77,1,10,0,141,0,-1
30076,1,30,6,1,0,0,0,5,43,16,1,0,134,0,-1
30077,1,30,6,1,0,0,0,14,77,1,10,0,134,0,-1
30078,1,30,6,1,0,0,0,15,62,10,10,0,134,0,-1
30079,1,30,6,1,0,0,0,0,0,0,0,0,134,0,-1
30080,1,31,6,1,0,0,0,15,62,10,10,0,135,0,-1
30081,1,12,6,1,0,0,0,14,52,1,10,0,154,0,-1
30082,1,13,6,1,0,0,0,15,42,10,10,0,154,0,-1
30083,1,31,6,1,0,0,0,14,77,1,10,0,135,0,-1
30084,1,31,6,1,0,0,0,5,43,16,1,0,135,0,-1
30085,1,31,6,1,0,0,0,0,0,0,0,0,135,0,-1
30086,1,32,6,1,0,0,0,12,135,13,1,0,141,0,-1
30087,1,175,6,1,0,0,0,0,0,0,0,0,141,0,-1
30088,1,175,6,1,0,0,0,0,0,0,0,0,141,0,-1
30089,1,32,6,1,0,0,0,12,119,13,1,0,141,0,-1
30090,1,33,6,1,0,0,0,3,57,16,1,0,141,0,-1
30091,1,33,6,1,0,0,0,14,90,1,10,0,141,0,-1
30092,1,33,6,1,0,0,0,0,0,0,0,0,141,0,-1
30093,1,33,6,1,0,0,0,15,81,10,10,0,141,0,-1
30094,1,34,6,1,0,0,0,3,57,16,1,0,135,0,-1
30095,1,34,6,1,0,0,0,14,90,1,10,0,135,0,-1
30096,1,34,6,1,0,0,0,0,0,0,0,0,135,0,-1
30097,1,34,6,1,0,0,0,15,81,10,10,0,135,0,-1
30098,1,35,6,1,0,0,0,0,0,0,0,0,138,0,-1
30099,1,35,6,1,0,0,0,0,0,0,0,0,138,0,-1
30100,1,35,6,1,0,0,0,14,90,1,10,0,138,0,-1
30101,1,35,6,1,0,0,0,3,57,16,1,0,138,0,-1
30102,1,38,6,1,0,0,0,14,90,1,10,0,145,0,-1
30103,1,38,6,1,0,0,0,5,57,16,1,0,145,0,-1
30104,1,38,6,1,0,0,0,15,81,10,10,0,145,0,-1
30105,1,47,6,1,0,0,0,2,75,16,1,0,153,0,-1
30106,1,47,6,1,0,0,0,0,0,0,0,0,153,0,-1
30107,1,47,6,1,0,0,0,15,98,10,10,0,153,0,-1
30108,1,48,6,1,0,0,0,15,98,10,10,0,153,0,-1
30109,1,48,6,1,0,0,0,6,75,16,1,0,153,0,-1
30110,1,48,6,1,0,0,0,0,0,0,0,0,153,0,-1
30111,1,49,6,1,0,0,0,0,0,0,0,0,153,0,-1
30112,1,49,6,1,0,0,0,15,196,10,10,0,153,0,-1
30113,1,49,6,1,0,0,0,2,143,16,1,0,153,0,-1
30114,1,38,6,1,0,0,0,0,0,0,0,0,145,0,-1
30115,1,39,6,1,0,0,0,15,81,10,10,0,138,0,-1
30116,1,39,6,1,0,0,0,14,90,1,10,0,138,0,-1
30117,1,39,6,1,0,0,0,5,57,16,1,0,138,0,-1
30118,1,39,6,1,0,0,0,0,0,0,0,0,138,0,-1
30119,1,40,6,1,0,0,0,14,112,1,10,0,145,0,-1
30120,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30121,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30122,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30123,3,63,8,1,0,0,0,14,90,4,25,0,1,0,-1
30124,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30125,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30126,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30127,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30128,3,63,8,1,0,0,0,14,90,4,25,0,1,0,-1
30129,3,63,8,1,0,0,0,0,0,0,0,0,1,0,-1
30130,3,64,6,1,0,0,0,0,0,0,0,0,1,0,-1
30131,3,64,6,1,0,0,0,0,0,0,0,0,1,0,-1
30132,3,64,6,1,0,0,0,0,0,0,0,0,1,0,-1
30133,3,64,6,1,0,0,0,14,90,1,10,0,1,0,-1
30134,3,65,6,1,0,0,0,0,0,0,0,0,1,0,-1
30135,3,65,6,1,0,0,0,0,0,0,0,0,1,0,-1
30136,3,65,6,1,0,0,0,0,0,0,0,0,1,0,-1
30137,3,65,6,1,0,0,0,14,90,1,10,0,1,0,-1
30138,3,66,8,1,0,0,0,0,0,0,0,0,1,0,-1
30139,3,66,8,1,0,0,0,0,0,0,0,0,1,0,-1
30140,3,66,8,1,0,0,0,0,0,0,0,0,1,0,-1
30141,3,66,8,1,0,0,0,0,0,0,0,0,1,0,-1
30142,3,67,8,1,0,0,0,0,0,0,0,0,1,0,-1
30143,3,67,8,1,0,0,0,0,0,0,0,0,1,0,-1
30144,1,40,6,1,0,0,0,0,0,0,0,0,145,0,-1
30145,1,37,6,1,0,0,0,10,119,13,1,0,148,0,-1
30146,1,173,6,1,0,0,0,0,0,0,0,0,148,0,-1
30147,1,173,6,1,0,0,0,0,0,0,0,0,148,0,-1
30148,1,40,6,1,0,0,0,5,75,16,1,0,145,0,-1
30149,1,40,6,1,0,0,0,15,98,10,10,0,145,0,-1
30150,1,41,6,1,0,0,0,15,98,10,10,0,139,0,-1
30151,1,41,6,1,0,0,0,5,75,16,1,0,139,0,-1
30152,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30153,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30154,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30155,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30156,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30157,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30158,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30159,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30160,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30161,3,51,8,1,0,0,0,0,0,0,0,0,1,0,-1
30162,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
30163,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
30164,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
30165,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
30166,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
30167,3,52,8,1,0,0,0,0,0,0,0,0,1,0,-1
