key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
#,,,,,,,,,,,,,,,,,,
int32,uint32,uint32,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint16,uint16,bool,bool
0,0,0,"","","","",0,0,0,0,0,0,0,0,0,0,False,False
1,111006,14746,"Slay all the enemies while remaining out of the goobbue's sight!","Enemies in parties will all attack at once. Try to avoid engaging more than one party at a time by keeping an eye out for knockback attacks which may thrust you into a second party's line of sight.","If the goobbue spots you, he will order all the other enemies to attack. Use ranged attacks to lure single targets from the pack without the massive seedkin noticing.","This battle exercise will test your ability to manage multiple parties of enemies.

Learn to draw single targets from groups using ranged attacks and engage them in locations far out of the lines of sight of other creatures.",4960,770,1500,70,0,0,0,0,0,0,False,False
2,111001,14742,"Defeat Bockman and his hells-spawned minions!","As Bockman sustains damage, he will summon ashkin to fight at his side. Those tasked with the protection of the party (gladiators, paladins, etc.) should focus on directing enmity away from their companions.","The more enemies there are on the battlefield, the higher the chance for party casualties. Those who excel in dealing damage (archers, pugilists, etc.) should focus on taking out the ashkin as soon as they appear.","Bockman, a wandering revenant trapped in the corporeal realm, has reclaimed his legendary suit of armor and now waits silently near the Tam–Tara Deepcroft for any who would challenge him. Not only does the undead knight brandish a massive blade capable of incapacitating multiple victims in one fell stroke, but when threatened, Bockman will summon his decaying minions from the pits of the seventh hell.

Defeat the restless soul, and send him back to the Lifestream where he may, at long last, find peace.",5300,940,1600,70,0,0,0,0,0,0,False,False
3,111007,14744,"Breach the three gates and defeat the ledgeleaper!","Some gates will open automatically after all enemies have been defeated and the area is secure. There are, however, other gates which will can only be opened using a lever.","When you arrive in the final chamber, yarzons will attempt to break through the boulders they are trapped behind. Finish off the ledgeleaper before the vilekin can join the fray.","This battle exercise will test your ability to breach enemy stronghold defenses.

Eliminate targets in each of the three antechambers before infiltrating the final chamber and engaging the cyclopean toad who makes the cave its den. Making quick work of the creature is kef, for the yarzons who lurk behind the chamber's boulders and will emerge once they smell blood.",9740,1510,2210,100,0,0,0,0,0,0,False,False
4,111008,14744,"Weaken the gil turtle and lure the beast into your trap!","As long as the gil turtle is nearby, the bandits will attempt to heal it. Try and keep the creature beyond the reach of their spells.","Slay fire sprites and use their cores to light the herb patch on fire, releasing a sleep-inducing smoke which will calm the gil turtle, making the creature easier to capture.","Wealthy noble, Teledji Adeledji, has had his prized pet, a rare gil turtle, kidnapped by ruthless bandits who seek a sizable ransom for the gentle wavekin's return. Always a man of principle, Teledji Adeledji has decided that instead of caving to the bandit's demands, he will offer the ransom to anyone who can safely retrieve his pet from the clutches of evil.

After weakening the gil turtle, slay fire sprites and use their cores to light a special herb on fire. The smoke released should be powerful enough to put the creature to sleep, but only if the turtle is close enough to the flames.",10420,1850,2360,100,0,0,0,0,0,0,False,False
5,111002,14742,"Slay the poison-spewing seedkin!","When a pollen cluster is released, the area will become filled with a noxious gas that will quickly eat away at your health.","Lure the landtraps away from these hazardous locations before engaging them.","The forest's landtraps have reached maturity and begun releasing noisome pollen clusters in their efforts to reproduce. When taken into the lungs, the pollen can cause severe irritation, nausea, and in the case of extended exposure, even death. These vile seedkin must be dealt with before the entire Twelveswood is engulfed in a cloud of despair!",11770,1830,2900,130,0,0,0,0,0,0,False,False
6,111003,14742,"Fight your way to the dungeon gates and slay the bandit leader!","Redbelly lookouts will approach at the sign of anything suspicious, and call for help when overmatched. Try to defeat the outlaws in pairs or small groups instead of engaging the whole band at once.","Redbelly chanters are skilled in the art of conjury, and will tend to the wounds of their injured companions. Focus your efforts on ridding the Redbelly ranks of these members to ensure the operation ends quickly.","A notorious band of outlaws known as the Redbelly Wasps is seeking to establish a new hideout near the Thousand Maws of Toto–Rak.

Once the leader is attacked, he will summon nearby allies to his aid, including powerful conjurers skilled in the arts of healing. Defeating these allies before engaging their leader will greatly increase your chance of success.",12590,2230,3100,130,0,0,0,0,0,0,False,False
7,111005,14742,"Find Briaxio of the Well and silence the foul hex weaver!","Enfeebling effects suffered by party members can be cured by using items or the spell Esuna.","It may prove useful to divide your party into two units─one concentrating its efforts on slaying Briaxio, the other focusing on dealing with the charmed creatures.","Hostile sylphs who would rather see the Twelveswood burn before making peace with the people of Gridania have begun using their forbidden magicks to charm the forest's creatures into doing their bidding. Temporarily enhanced by the spells, these turned creatures now possess the ability to enfeeble their victims with terrible poisons and wide-reaching attacks.

Only by slaying the renegade sylph leader Briaxio of the Well will the creatures' minds be freed.",13800,2140,3560,170,0,0,0,0,0,0,False,False
