key,0
#,
int32,str
0,""
1,"Client: 1st Squadron 2nd Levy Infantry, Yellowjacket Sergeant Sylskaetsyn"
2,"Client: Brugaire Consortium Warehouse Foreman, Wynstin Walder"
3,"Client: Test"
4,"Client: Moogle's Gift Mounts"
5,"Client: Moogle's Gift Mounts Stablehand, Audrie Clovenfoot"
6,"Client: Stillglade Fane "
7,"Client: Vivandier, Ayled the Steadfast"
8,"Client: Buscarron's Druthers Proprietor, Buscarron Strongarm"
9,"Client: Black Rabbit Traders Consignor, Maisenta Hawke"
10,"Client: Third Spear Wood Wailers"
11,"Client: Fourth Spear Wood Wailers"
12,"Client: Fifth Spear Wood Wailers"
13,"Client: Fifth Spear Wood Wailer, Juliembert Loitalant"
14,"Client: Residents of Quarrymill"
15,"Client: Greatloam Growery"
16,"Client: The Trappers' League"
17,"Client: Master Gabineaux"
18,"Client: First Spear Wood Wailers"
19,"Client: First Spear Wood Wailer, Lanverlais the Lawful"
20,"Client: Trappers' League Huntsman, Eugenaire the Grey"
21,"Client: 1st Bow of the Quiver's Centaurs, Galfrid Mossback"
22,"Client: Botanists' Guild, Master Gabineaux"
23,"Client: Botanists' Guild Receptionist, Leonceault Leadthumb"
24,"Client: Stillglade Fane Conjurer, Alixie X."
25,"Client: 3rd Bow of the Quiver's Centaurs, Maurelin Modreaux"
26,"Client: Moogle's Gift Mounts Stablehand, Margault Shortmane"
27,"Client: Third Spear Wood Wailer, Eylgar the Sullen"
28,"Client: Moogle's Gift Mounts Stablehand, Gustavain Gysahlheart"
29,"Client: Stillglade Fane Conjurer, Waldrew D."
30,"Client: Fourth Spear Wood Wailer, Florimond the Fleet"
31,"Client: Buscarron's Druthers Proprietor, Buscarron Strongarm"
32,"Client: Fullflower Comb Beekeeper, Rosa Hawthorne"
33,"Client: Forest Dweller, Ysabel Hawthorne"
34,"Client: Homestead Owner, Rolfe Hawthorne"
35,"Client: Fifth Spear Wood Wailer, Balan the Keen"
36,"Client: Quarrymill Resident, Ombeline Delieux"
37,"Client: Moogleborn Melodymaker, Kupni Kapp"
38,"Client: Stillglade Fane Conjurer, Charline M."
39,"Client: Quarrymill Resident, Alderique Lebronc"
40,"Client: Third Spear Wood Wailer, Averay the Ardent"
41,"Client: Stillglade Fane Conjurer, Adestan V."
42,"Client: Good Gobbie, Guttrix Sliverpicks"
43,"Client: Seeker of Antiquity, Rolandiax of House Nevelle"
44,"Client: Second Spear Wood Wailer, Pimoh Nelhah"
45,"Client: Fifth Spear Wood Wailer, Castellaint the Careful"
46,"Client: Red Rooster Stead Landlord, Anaoc the Youngest"
47,"Client: Red Rooster Stead Botanist, Arenlona of the Dawn Meadow"
48,"Client: Red Rooster Stead Shepherd, Moegramm Sheepsong"
49,"Client: Grey Fleet High Miller, Weitzaren Flazmarmsyn"
50,"Client: <Emphasis>Orion</Emphasis> Captain, Ahldskyf the Eld"
51,"Client: Swiftperch Housebond, Lyulf the Swollen"
52,"Client: Wawalago's Pullers Shoalskimmer, Faucillien"
53,"Client: 1st Squadron 2nd Levy Infantry, Yellowjacket Private Ancreta Ilm"
54,"Client: 1st Squadron 2nd Levy Infantry, Yellowjacket Sergeant Sylskaetsyn"
55,"Client: 1st Squadron 3rd Levy Infantry, Yellowjacket Private Fraeloefsyn"
56,"Client: 1st Squadron 3rd Levy Infantry, Yellowjacket Private Hyllbornsyn"
57,"Client: 1st Squadron 4th Levy Infantry, Yellowjacket Major Y'alabali Gojah"
58,"Client: Aleport Brewery, Myndeidin Three-barrels"
59,"Client: Aleport Brewery, O'adebh Jhah"
60,"Client: Candlekeep Quay Portermaster, Haldbroda Nortnystsyn"
61,"Client: Gegeruju Manor Majordomo, Gugudi Gudi"
62,"Client: Gegeruju Manor Captain of the Guard, Wheiskaet Saeskyfsyn"
63,"Client: Naldiq & Vymelli's Plateforge Smith, Maetimynd Hammerhands"
64,"Client: Naturalist, Isouda Kindle"
65,"Client: Flying Shark Proprietor, Dyrstweitz the Daft"
66,"Client: Memeroon's Trading Post Proprietor, Memeroon"
67,"Client: Mealvaan's Gate Log Assessor, P'tahjha Stah"
68,"Client: Wineport Vigneron, Syzfrusk Wiltwilfsyn"
69,"Client: Wineport Winemaker, E'bandala Dajha"
70,"Client: Amajina & Sons Mineral Concern Minekeep, Adelard the Able"
71,"Client: Amajina & Sons Mineral Concern Miner, Crooked Haft"
72,"Client: Amajina & Sons Mineral Concern Minekeep, Linette"
73,"Client: Amajina & Sons Mineral Concern Minemaster, Drunken Stag"
74,"Client: Naturalist, Marcette Manne"
75,"Client: Mun-Tuy Cellars Masher, Erimmont Blackfoot"
76,"Client: Bismarck Guildmaster and Head Chef, Lyngsath Hyllbornsyn"
77,"Client: Pipikkuli the Poor"
78,"Client: East Aldenard Trading Company Accountant, Shushunen Bubunen"
79,"Client: Goldsmiths' Guild Luminary, Aurumheart Aewuld"
80,"Client: Order of Nald'thal Deacon, Airell Finn"
81,"Client: Order of Nald'thal Bishop, Lilimolu Gigimolu"
82,"Client: Anonymous"
83,"Client: Seventy-seven Caravans Dispatch, Guntram Greenbank"
84,"Client: Sultansworn Knight, Aubelet Whiteblade"
85,"Client: Brass Blades, Solitary Elk of the Rose"
86,"Client: Frondale's Phrontistery Alchemist, Alewyn Alder"
87,"Client: Brass Blades, Kokobi Kobi of the Balsam"
88,"Client: Seventy-seven Caravans Dispatch, Zuzutyro Nanatyro"
89,"Client: Brass Blades, Chechezan Yayazan of the Rose"
90,"Client: Arrzaneth Ossuary Bonekeeper, Yayake Yake"
91,"Client: Amajina & Sons Mineral Concern Mimemaster, Drunken Stag"
92,"Client: Independent Historian, Havak Alvak"
