key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,uint16,uint16,byte,uint16,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0
1,49,63036,1,30,161,54,68,42,243
2,417,63028,1,30,161,0,0,0,0
3,392,63074,1,30,161,0,0,0,0
4,563,63064,1,31,164,0,0,0,0
5,395,63012,1,30,162,0,0,0,0
6,401,63081,1,30,162,0,0,0,0
7,349,63059,1,31,164,0,0,0,0
8,393,63079,1,31,165,0,0,0,0
9,115,63056,1,31,165,56,78,0,0
10,367,63009,1,30,162,0,0,0,0
11,405,63088,1,30,162,0,0,0,0
12,640,63038,1,30,161,0,0,0,0
13,299,63005,1,31,165,0,0,0,0
14,408,63008,1,31,165,0,0,0,0
15,364,63020,1,31,165,0,0,0,0
16,404,63084,1,30,162,0,0,0,0
17,418,63045,1,30,162,0,0,0,0
18,421,63045,1,30,162,0,0,0,0
19,378,63071,1,31,165,0,0,0,0
20,368,63071,1,31,165,0,0,0,0
21,372,63071,1,31,165,0,0,0,0
22,561,63065,1,30,163,0,0,0,0
23,56,63006,1,30,163,54,68,0,0
24,641,63048,1,30,163,0,0,0,0
25,400,63023,1,33,170,0,0,0,0
26,399,63052,1,31,166,0,0,0,0
27,117,63057,1,31,166,54,71,0,0
28,129,63011,1,31,166,54,70,44,250
29,354,63062,1,30,161,0,0,0,0
30,409,63089,1,31,166,0,0,0,0
31,394,63079,1,33,170,0,0,0,0
32,13,63005,1,33,170,54,70,42,245
33,350,63060,1,31,166,0,0,0,0
34,420,63045,1,33,170,0,0,0,0
35,402,63081,1,33,171,0,0,0,0
36,363,63020,1,33,171,0,0,0,0
37,403,63082,1,33,171,0,0,0,0
38,225,63009,1,33,171,0,0,0,0
39,296,63021,1,34,174,0,0,44,252
40,638,63032,1,34,174,0,0,0,0
41,381,63026,1,34,174,0,0,0,0
42,28,63061,1,34,174,0,0,0,0
43,370,63071,1,34,174,0,0,0,0
44,380,63071,1,34,174,0,0,0,0
45,106,63061,1,34,174,0,0,0,0
46,406,63088,1,32,168,0,0,0,0
47,341,63050,1,32,167,0,0,0,0
48,1313,63063,1,32,167,0,0,0,0
49,351,63060,1,32,167,0,0,0,0
50,639,63034,1,32,167,0,0,0,0
51,361,63064,1,32,167,0,0,0,0
52,560,63065,1,32,167,0,0,0,0
53,379,63071,1,32,167,0,0,0,0
54,369,63071,1,32,167,0,0,0,0
55,373,63071,1,32,167,0,0,0,0
56,411,63027,1,32,168,0,0,0,0
57,396,63012,1,32,168,0,0,0,0
58,642,63038,1,34,177,0,0,0,0
59,353,63062,1,32,168,0,0,0,0
60,26,63059,1,32,168,0,0,0,0
61,643,63031,1,34,177,0,0,0,0
62,366,63070,1,32,168,0,0,0,0
63,391,63010,1,34,177,0,0,0,0
64,414,63091,1,34,177,0,0,0,0
65,416,63091,1,34,177,0,0,0,0
66,415,63091,1,34,177,0,0,0,0
67,413,63091,1,34,177,0,0,0,0
68,376,63071,1,34,178,0,0,0,0
69,62,63081,1,350,175,0,0,0,0
70,37,63028,2,0,0,54,68,0,0
71,47,63022,2,0,0,54,68,0,0
72,9,63015,2,0,0,57,83,0,0
73,118,63012,2,0,0,57,84,0,0
74,192,63003,2,0,0,57,83,0,0
75,193,63003,2,0,0,57,83,0,0
76,194,63003,2,0,0,57,83,0,0
77,5,63008,2,0,0,57,83,0,0
78,43,63016,2,0,0,54,68,0,0
79,196,63010,2,0,0,54,68,0,0
80,32,63007,2,0,0,54,69,0,0
81,197,63026,2,0,0,54,68,0,0
82,195,63024,2,0,0,54,69,0,0
83,41,63012,2,0,0,54,69,0,0
84,21,63004,2,0,0,54,69,0,0
85,120,63027,2,0,0,54,69,0,0
86,39,63013,2,0,0,55,73,0,0
87,54,63012,2,0,0,54,70,0,0
88,22,63023,2,0,0,54,70,0,0
89,218,63060,2,0,0,54,70,0,0
90,10,63015,2,0,0,54,70,0,0
91,12,63005,2,0,0,55,73,0,0
92,128,63018,2,0,0,54,68,0,0
93,20,63029,2,0,0,54,70,0,0
94,14,63024,2,0,0,55,73,0,0
95,36,63021,2,0,0,55,74,0,0
96,6,63008,2,0,0,55,74,0,0
97,7,63019,2,0,0,55,74,0,0
98,220,63022,2,0,0,55,74,0,0
99,223,63070,2,0,0,55,74,0,0
100,241,63030,2,0,0,55,74,0,0
101,240,63030,2,0,0,55,74,0,0
102,214,63007,2,0,0,55,74,0,0
103,219,63060,2,0,0,56,78,0,0
104,3,63002,2,0,0,56,78,0,0
105,16,63024,2,0,0,55,75,0,0
106,232,63018,2,0,0,55,75,0,0
107,234,63083,2,0,0,56,78,0,0
108,23,63023,2,0,0,56,78,0,0
109,44,63016,2,0,0,55,75,0,0
110,211,63011,2,0,0,55,75,0,0
111,230,63075,2,0,0,55,75,0,0
112,231,63075,2,0,0,55,75,0,0
113,229,63075,2,0,0,55,75,0,0
114,228,63010,2,0,0,56,78,0,0
115,83,63042,2,0,0,56,81,0,0
116,172,63042,2,0,0,56,81,0,0
117,52,63042,2,0,0,56,81,0,0
118,11,63015,2,0,0,57,85,0,0
119,4,63002,2,0,0,56,81,0,0
120,226,63026,2,0,0,56,78,0,0
121,208,63003,2,0,0,57,85,0,0
122,209,63003,2,0,0,57,85,0,0
123,210,63003,2,0,0,57,85,0,0
124,50,63009,2,0,0,56,81,0,0
125,140,63030,2,0,0,56,81,0,0
126,169,63030,2,0,0,56,81,0,0
127,139,63030,2,0,0,56,81,0,0
128,168,63012,2,0,0,56,79,0,0
129,221,63070,2,0,0,54,71,0,0
130,48,63022,2,0,0,54,71,0,0
131,566,63005,2,0,0,56,79,0,0
132,238,63090,2,0,0,54,71,0,0
133,130,63027,2,0,0,54,71,0,0
134,207,63049,2,0,0,54,71,0,0
135,235,63083,2,0,0,56,79,0,0
136,34,63001,2,0,0,56,79,0,0
137,236,63084,2,0,0,56,79,0,0
138,55,63078,2,0,0,54,71,0,0
139,91,63087,2,0,0,54,72,0,0
140,133,63020,2,0,0,54,72,0,0
141,90,63087,2,0,0,54,72,0,0
142,132,63086,2,0,0,54,72,45,257
143,170,63028,2,0,0,56,80,0,0
144,171,63020,2,0,0,56,80,0,0
145,24,63018,2,0,0,56,80,0,0
146,131,63069,2,0,0,54,72,0,0
147,45,63011,2,0,0,56,80,0,0
148,262,63028,3,0,0,0,0,43,247
149,318,63089,3,0,0,0,0,43,247
150,287,63073,3,0,0,0,0,42,243
151,282,63070,3,0,0,0,0,42,243
152,113,63055,3,0,0,0,0,42,243
153,294,63076,3,0,0,0,0,43,248
154,201,63012,3,0,0,0,0,43,248
155,308,63083,3,0,0,0,0,43,247
156,276,63092,3,0,0,0,0,42,243
157,254,63051,3,0,0,0,0,43,248
158,246,63051,3,0,0,0,0,43,248
159,283,63009,3,0,0,0,0,42,243
160,265,63059,3,0,0,0,0,42,243
161,266,63060,3,0,0,0,0,43,248
162,305,63080,3,0,0,0,0,42,244
163,298,63012,3,0,0,0,0,42,244
164,279,63020,3,0,0,0,0,43,249
165,289,63010,3,0,0,0,0,43,248
166,292,63076,3,0,0,0,0,43,249
167,302,63052,3,0,0,0,0,42,244
168,316,63086,3,0,0,0,0,42,244
169,277,63092,3,0,0,0,0,42,244
170,288,63073,3,0,0,0,0,43,249
171,330,63043,3,0,0,0,0,43,249
172,326,63045,3,0,0,0,0,43,249
173,293,63076,3,0,0,0,0,43,248
174,244,63001,3,0,0,0,0,43,247
175,636,63032,3,0,0,0,0,42,245
176,216,63059,3,0,0,0,0,43,249
177,635,63031,3,0,0,0,0,42,245
178,306,63082,3,0,0,0,0,44,250
179,274,63093,3,0,0,0,0,44,250
180,273,63093,3,0,0,0,0,44,250
181,322,63014,3,0,0,0,0,44,250
