key,0,1,2,3,4,5
#,,,,,,
int32,byte,byte,byte,byte,byte,byte
0,0,0,10,20,14,10
1,0,16,24,24,24,24
2,0,19,24,24,24,24
3,0,2,10,10,10,10
4,3,0,0,0,0,0
5,3,2,8,8,8,8
6,4,0,0,0,0,0
7,4,2,8,8,8,8
8,5,0,0,0,0,0
9,6,0,4,4,4,4
10,6,2,12,4,4,4
11,7,0,12,16,14,12
12,7,16,8,8,8,8
13,7,19,8,8,8,8
14,7,26,15,15,15,15
15,7,29,5,5,5,5
16,7,32,10,10,10,10
17,7,39,0,0,0,0
18,8,0,8,8,10,8
19,9,0,8,8,10,8
20,9,12,6,6,8,6
21,9,11,6,6,8,6
22,9,8,0,0,0,0
23,9,16,16,16,16,16
24,9,19,16,16,16,16
25,10,0,8,8,10,8
26,11,0,8,8,10,8
27,11,12,6,6,8,6
28,11,9,6,6,8,6
29,11,10,0,0,0,0
30,11,16,16,16,16,16
31,11,19,16,16,16,16
32,12,0,8,8,12,8
33,12,9,6,6,10,6
34,12,11,6,6,10,6
35,12,12,6,6,10,6
36,12,16,16,16,16,16
37,12,19,16,16,16,16
38,13,0,10,10,12,10
39,13,9,3,3,3,3
40,13,11,3,3,3,3
41,14,0,2,2,2,2
42,15,0,14,14,18,14
43,15,14,0,0,0,0
44,16,0,2,4,4,4
45,17,0,2,2,2,2
46,18,0,14,14,18,14
47,18,17,0,0,0,0
48,19,0,2,4,4,4
49,20,0,3,6,6,3
50,21,0,5,5,5,5
51,21,2,10,10,10,10
52,31,0,0,0,0,0
53,31,2,0,0,0,0
54,22,0,0,0,0,0
55,22,22,12,12,12,12
56,22,23,12,12,12,12
57,23,0,0,0,0,0
58,23,22,8,8,10,8
59,24,0,15,15,15,15
60,25,0,15,15,15,15
61,25,24,15,15,15,15
62,25,30,15,15,15,15
63,26,0,15,15,15,15
64,27,0,5,5,5,5
65,28,0,15,15,15,15
66,28,27,5,5,5,5
67,28,30,15,15,15,15
68,29,0,5,5,5,5
69,30,0,15,15,15,15
70,30,25,15,15,15,15
71,30,28,15,15,15,15
72,32,0,10,10,14,10
73,32,16,7,7,7,7
74,32,19,7,7,7,7
75,32,7,7,7,7,7
76,34,0,10,10,14,10
77,34,33,50,50,50,50
78,35,0,3,3,3,3
79,35,2,10,10,10,10
80,36,0,15,15,15,15
81,37,0,20,20,20,20
82,38,0,0,0,0,0
83,38,2,0,0,0,0
84,40,0,10,10,10,10
85,40,2,24,24,24,24
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
