key,0,1,2
#,,,
int32,str,byte,byte
0,"1-5",0,0
1,"6-10",3,6
2,"11-15",8,11
3,"16-20",13,16
4,"21-25",18,21
5,"26-30",23,26
6,"31-35",28,31
7,"36-40",33,36
8,"41-45",38,41
9,"46-50",43,46
10,"51-55",51,51
11,"56-60",53,100
12,"61-75",58,100
13,"66-70",63,100
14,"71-75",68,100
15,"76-80",73,100
16,"81-85",78,100
17,"86-90",83,100
18,"91-95",88,100
19,"96-100",93,100
20,"101-105",98,100
21,"106-110",103,100
22,"111-115",108,105
23,"116-120",113,110
24,"121-125",118,115
25,"126-130",123,120
26,"131-135",128,125
27,"136-140",133,130
28,"141-145",138,135
29,"146-150",143,140
30,"151-155",148,145
31,"156-160",153,150
32,"161-175",158,155
33,"166-170",163,160
34,"171-175",168,165
35,"176-180",173,170
36,"181-185",178,175
37,"186-190",183,180
38,"191-195",188,185
39,"196-200",193,190
