key,0,1,2,3,4
#,,,,,
int32,byte,single,bool,single,str
1,3,1,False,1,"0"
2,3,5,False,1,"0"
3,3,5,False,1,"Hush! The anoles draw near!"
4,3,5,False,1,"Allow not a single imp to escape!"
5,3,5,False,1,"There are too many of them!"
6,3,5,False,1,"The gnats! They're everywhere!"
7,3,5,False,1,"Hostile sylphs approach! Draw your weapons!"
8,3,5,False,1,"Whence did these stags come!?"
9,3,5,False,1,"We must keep the roads safe!"
10,3,5,False,1,"These knaves must be taught a lesson!"
11,3,5,False,1,"It is the beans they are after!"
12,3,5,False,1,"The Ixal! Someone save us!"
13,3,5,False,1,"What are ziz doing this far east!?"
14,3,5,False,1,"The bud! We must protect the bud!"
15,3,5,False,1,"Take care. Something has the opo-opos in a frenzy."
16,3,5,False,1,"Seven hells! It's time for a change in plans."
17,3,5,False,1,"Kill them all, my pet!"
18,3,5,False,1,"Would someone be so kind as to assist us?"
19,3,5,False,1,"My wares! Those damned goblins have made off with my wares!"
20,3,5,False,1,"Would ye look at all them golems!"
21,3,5,False,1,"Not <Emphasis>more</Emphasis> imps! They'll have all our honey!"
22,3,5,False,1,"At this rate, there'll be no flowers left at all!"
23,3,5,False,1,"Intercept the Ixali raiders!"
24,3,5,False,1,"Get this man away from me!"
25,3,5,False,1,"Excelsior!"
26,2,5,False,1,"Ngaaah!"
27,2,5,False,1,"Hyah!"
28,2,5,False,1,"Begone!"
29,2,5,False,1,"Down with you!"
30,2,5,False,1,"Try that again!"
31,2,5,False,1,"You're mine!"
32,2,5,False,1,"Had enough!?"
33,2,5,False,1,"Take that!"
34,2,5,False,1,"Yaaaaaah!"
35,2,5,False,1,"I'll kill all ye bastards!"
36,2,5,False,1,"Out of me way!"
37,2,5,False,1,"Yer head's mine!"
38,2,5,False,1,"Let us dance!"
39,2,5,False,1,"Seek you audience with the king?"
40,2,3,False,1,"Kneel before your king!"
41,2,3,False,1,"I want to hear you sing!"
42,2,3,False,1,"Come a little closer."
43,2,5,False,1,"Why do you defy me?"
44,2,5,False,1,"I am not amused!"
45,2,3,False,1,"Dance, you fools!"
46,2,3,False,1,"Is this what you seek?"
47,2,3,False,1,"Hissssss!"
48,2,5,False,1,"Whaddaya treeslugs talkinbout!?"
49,2,5,False,1,"Yehavn't seentha lassa Spessser! Hic!"
50,2,5,False,1,"Gah hah hah! Who's next!?"
51,2,5,False,1,"Ulp! I just wanted to drink my mead in peace!"
52,2,3,False,1,"You's a probbluh...prob...prollem wif that!?"
53,2,3,False,1,"Thal's balls!"
54,2,5,False,1,"This one has made ready!"
55,2,5,False,1,"Listen! The forest speaks!"
56,2,5,False,1,"These ones must suffer!"
57,2,5,False,1,"This one will not perish!"
58,3,5,False,1,"Come! The Wood Wailers seek volunteers!"
59,3,5,False,1,"Ye may've made it this far, but ye ain't gettin' out alive."
60,3,5,False,1,"Hit me with all you have!"
61,3,5,False,1,"Enough! You've done well today."
62,3,5,False,1,"There are too many of them!"
63,3,5,False,1,"Tonight we shall poach the poachers!"
64,3,5,False,1,"Are the resources of the city-state so thinly stretched that they must send adventurers to do their dirty work?"
65,3,5,False,1,"Damn you all! The forest is not yours to claim!"
66,3,5,False,1,"Lustyeye uplanders seek goodgobbies' gobbiepack goodies?"
67,3,3,False,1,"Gobbiepack! Gobbiepack!"
68,3,3,False,1,"Gobbiepack! Gobbiepack! Little room!"
69,3,3,False,1,"Gobbiepack! Gobbiepack! Filled with boom!"
70,3,5,False,1,"No! Gobbiekeep rumbles and overtumbles!"
71,3,5,False,1,"Backwalk with fastness, uplander! Or else...ba-boom!"
72,3,3,False,1,"Fireboom! Fireboom!"
73,3,3,False,1,"Fireboom! Fireboom! Uplander's doom!"
74,3,3,False,1,"Fireboom! Fireboom! Uplander's tomb!"
75,3,5,False,1,"Gobbiekeep crumbles and overtumbles!"
76,3,5,False,1,"Goobiekeep tumbles and undercrumbles!"
77,3,5,False,1,"Narrowheart uplander seeks overtossing of good Gobbiekeep! Stikflix backpays with much fireboom!"
78,3,5,False,1,"Gobbiekin! More fireboom! More fireboom!"
79,3,5,False,1,"Oh! Such soreness of gut! Might we be making busydeal? No?"
80,3,3,False,1,"Stikflix! Stikflix!"
81,3,3,False,1,"Stikflix! Stikflix! Quickflicks gloom!"
82,3,3,False,1,"Stikflix! Stikflix! Fireboom resumes!"
83,3,5,False,1,"Fellow creatures! Come, follow this one!"
84,3,5,False,1,"This one angers..."
85,3,5,False,1,"This one grows weary..."
86,3,5,False,1,"This one will suffer at the hands of the grounded ones no more!"
87,3,3,False,1,"Your Highness!"
88,2,3,False,1,"Sit yer poxy arse down!"
89,2,3,False,1,"Gah hah hah!"
90,2,3,False,1,"I could have taken him... Honest!"
91,3,5,False,1,"You have my thanks!"
92,3,5,False,1,"Mercy!"
93,3,5,False,1,"The Order has no need for milksops!"
94,3,3,False,1,"Oh dear! Here he comes!"
95,3,5,False,1,"High time I should check the crops..."
96,3,5,False,1,"The ladybugs! They're attacking the bees!"
97,2,5,False,1,"Someone help! The poor honeybees don't stand a chance!"
98,3,5,False,1,"The harvest will be a good one this season. I can feel it! You have my thanks!"
99,3,5,False,1,"Another harvest lost..."
100,3,5,False,1,"0"
101,3,5,False,1,"0"
102,3,5,False,1,"0"
103,2,3,False,1,"0"
104,2,3,False,1,"0"
105,2,3,False,1,"0"
106,2,3,False,1,"0"
107,3,5,False,1,"0"
108,3,5,False,1,"0"
109,3,5,False,1,"0"
110,3,5,False,1,"0"
111,3,5,False,1,"0"
112,3,5,False,1,"0"
113,3,5,False,1,"0"
114,3,5,False,1,"0"
115,2,3,False,1,"0"
116,2,3,False,1,"0"
117,2,3,False,1,"0"
118,2,3,False,1,"0"
119,3,5,False,1,"The are too quick for me... I am done for..."
120,3,5,False,1,"I don't believe they will follow any further."
121,3,5,False,1,"You have done a great service for Ul'dah."
122,2,3,False,1,"<rumble> <rumble>"
123,2,3,False,1,"<rumble>"
124,3,5,False,1,"Sheep! Scores of them!"
125,3,5,False,1,"Slay the rabid beasts before they can force their way to the Zephyr Gate!"
126,3,5,False,1,"I fear my pursuers may have circled around, and await us ahead."
127,3,5,False,1,"If the Amalj'aa have already made it this far, they will use this place to trap us."
128,3,5,False,1,"Little Ala Mhigo is close, but not close enough. Look alive, friend!"
129,3,10,False,1,"We're discovered!"
130,2,5,False,1,"How did ye find this place!"
131,2,4,False,1,"Me loyal pups!"
132,2,4,False,1,"Come closer. I'll slit yer throat and toss yer corpse to the mad serpent."
133,2,4,False,1,"W-where are me men!? W-where are me maidens!?"
134,2,6,False,1,"Try an catch me, ye two-legged lubber!"
135,2,4,False,1,"Back fer more, eh? I sharpened me blade, just fer this very occasion."
136,2,2,False,1,"Eat 'em alive!"
137,2,4,False,1,"M-m-might ye consider a parley?"
138,2,6,False,1,"The boss ain't goin' to like this one bit..."
139,2,4,False,1,"0"
140,2,4,False,1,"Die!"
141,2,4,False,1,"Take the women alive!"
142,2,4,False,1,"To the abyss with ye!"
143,2,5,False,1,"Kindly uplander! Gobbieflock needs quick hand-lending!"
144,2,4,False,1,"Pshkohhh... Overmany deepsores... Blood and bile! Blood and bile!"
145,2,4,False,1,"Hand-lending! Hand-lending!"
146,2,4,False,1,"Pshkohhh... Much soreness..."
147,2,6,False,1,"Uplander saves gobbieflock! Huzzah! Zah hah!"
148,2,6,False,1,"Many thanks! Many thanks!"
149,2,6,False,1,"Kindly uplander now taking gobbie jinglyshine!"
150,3,6,False,1,"Shkoh! Shkoh! More fastness! More fastness!"
151,3,3,False,1,"Shkoh! Brayflox shall see to thunderfoot!"
152,3,4,False,1,"Shkoh! Shkoh! More backstrike! More forestrike!"
