key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
#,,,,,,,,,,,,,,,,,,,
int32,str,str,byte,uint16,uint16,uint16,uint16,byte,byte,bool,bool,bool,uint16,int32,int32,uint32,uint16,int32,int32
1,"default","ffxiv/_trial/default/level/default",1,1,0,2,1,0,1,False,True,True,1003,-1,-1,0,0,0,-1
2,"collision_test","ffxiv/_trial/collision_test/level/collision_test",1,1,0,3,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
3,"battle_test","ffxiv/_trial/battle_test/level/battle_test",1,1,0,4,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
4,"pvp_test","ffxiv/sea_s1/pvp/s1p2/level/s1p2",5,1,0,5,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
5,"event_test","ffxiv/_trial/event_test/level/event_test",1,1,0,6,0,0,1,False,True,True,1003,-1,-1,0,0,0,-1
6,"w1f2_client_benchmark","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,23,0,43,21,0,1,False,True,True,1001,122002,123105,0,0,0,-1
7,"f1f1_client_benchmark","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,24,0,54,4,0,1,False,True,True,1004,122003,123204,0,0,0,-1
8,"f1t1_intel","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,24,0,52,2,0,0,True,False,False,1003,122003,123201,0,0,0,-1
9,"f1f1_intel","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,24,0,54,4,0,1,True,True,True,1004,122003,123204,0,0,0,-1
10,"s1f2_client_benchmark","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,0,31,16,0,1,False,True,True,1001,122001,123005,0,0,0,-1
11,"f1d1_client_benchmark","ffxiv/fst_f1/dun/f1d1/level/f1d1",1,24,0,58,8,2,3,False,True,True,1002,122003,124201,0,0,0,-1
13,"zoo","ffxiv/_trial/zoo/level/zoo",1,1,0,10,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
14,"npc_pop_test","",1,1,0,11,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
15,"retainer_test","ffxiv/_trial/retainer_test/level/retainer_test",1,1,0,12,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
16,"navimesh_test","ffxiv/_trial/navimesh_test/level/navimesh_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
17,"company_test","ffxiv/_trial/company_test/level/company_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
18,"ps3_test","ffxiv/_trial/ps3_test/level/ps3_test",1,1,0,0,0,0,0,False,True,True,1001,-1,-1,0,0,0,-1
19,"leve_test","ffxiv/_trial/leve_test/level/leve_test",1,1,0,17,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
20,"event2_test","ffxiv/_trial/event2_test/level/event2_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
21,"contents_test","ffxiv/_trial/contents_test/level/contents_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
22,"qib_test","ffxiv/_trial/qib_test/level/qib_test",1,24,0,0,29,3,9,False,True,True,37,-1,-1,0,1,0,-1
24,"gathering_test","ffxiv/_trial/gathering_test/level/gathering_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
25,"attribute_test","ffxiv/_trial/attribute_test/level/attribute_test",1,1,0,0,0,0,1,False,True,True,1001,-1,-1,0,0,0,-1
128,"s1t1","ffxiv/sea_s1/twn/s1t1/level/s1t1",1,22,500,28,11,0,0,True,False,False,1020,122007,123002,852085,0,8,-1
129,"s1t2","ffxiv/sea_s1/twn/s1t2/level/s1t2",1,22,500,29,12,0,0,True,False,False,1020,122007,123003,852088,0,8,-1
130,"w1t1","ffxiv/wil_w1/twn/w1t1/level/w1t1",1,23,504,40,13,0,0,True,False,False,1035,122008,123102,852086,0,9,-1
131,"w1t2","ffxiv/wil_w1/twn/w1t2/level/w1t2",1,23,504,41,14,0,0,True,False,False,1035,122008,123103,0,0,9,-1
132,"f1t1","ffxiv/fst_f1/twn/f1t1/level/f1t1",1,24,506,52,2,0,0,True,False,False,1003,122009,123202,852087,0,2,-1
133,"f1t2","ffxiv/fst_f1/twn/f1t2/level/f1t2",1,24,506,53,3,0,0,True,False,False,1003,122009,123203,0,0,2,-1
134,"s1f1","ffxiv/sea_s1/fld/s1f1/level/s1f1",1,22,502,30,15,0,1,True,True,True,1021,122001,123004,0,0,52,-1
135,"s1f2","ffxiv/sea_s1/fld/s1f2/level/s1f2",1,22,502,31,16,0,1,True,True,True,1021,122001,123005,0,0,10,-1
136,"s1h1","ffxiv/sea_s1/hou/s1h1/level/s1h1",1,22,502,0,72,0,1,True,False,False,1001,-1,-1,0,0,8,-1
137,"s1f3","ffxiv/sea_s1/fld/s1f3/level/s1f3",1,22,502,32,17,0,1,True,True,True,1021,122001,123006,0,0,11,-1
138,"s1f4","ffxiv/sea_s1/fld/s1f4/level/s1f4",1,22,502,33,18,0,1,True,True,True,1021,122001,123007,0,0,13,-1
139,"s1f5","ffxiv/sea_s1/fld/s1f5/level/s1f5",1,22,502,34,19,0,1,True,True,True,1021,122001,123008,0,0,15,-1
140,"w1f1","ffxiv/wil_w1/fld/w1f1/level/w1f1",1,23,505,42,20,0,1,True,True,True,1036,122002,123104,852089,0,17,-1
141,"w1f2","ffxiv/wil_w1/fld/w1f2/level/w1f2",1,23,505,43,21,0,1,True,True,True,1036,122002,123105,0,0,53,-1
145,"w1f3","ffxiv/wil_w1/fld/w1f3/level/w1f3",1,23,505,44,22,0,1,True,True,True,1036,122002,123106,0,0,18,-1
146,"w1f4","ffxiv/wil_w1/fld/w1f4/level/w1f4",1,23,505,45,23,0,1,True,True,True,1036,122002,123107,0,0,19,-1
147,"w1f5","ffxiv/wil_w1/fld/w1f5/level/w1f5",1,23,505,46,24,0,1,True,True,True,1036,122002,123108,0,0,21,-1
148,"f1f1","ffxiv/fst_f1/fld/f1f1/level/f1f1",1,24,507,54,4,0,1,True,True,True,1004,122003,123204,0,0,3,-1
152,"f1f2","ffxiv/fst_f1/fld/f1f2/level/f1f2",1,24,507,55,5,0,1,True,True,True,1004,122003,123205,0,0,4,-1
153,"f1f3","ffxiv/fst_f1/fld/f1f3/level/f1f3",1,24,507,56,6,0,1,True,True,True,1004,122003,123206,0,0,5,-1
