key,0
#,
int32,str
0,""
1,""
2,"dk01rf_atk0h"
3,"dk01rf_mgc0h"
4,""
5,"dk01gd_inv0h"
6,""
7,"dk03ht_rfl0s"
8,"combo_001f"
9,"dk01pr_fir0t"
10,"dk01pr_ice0t"
11,"dk01pr_win0t"
12,"dk01pr_ear0t"
13,"dk01pr_elc0t"
14,"dk01pr_wat0t"
15,"dk01pr_nat0t"
16,"dk02ht_zan0m"
17,"dk02ht_totu0y"
18,"dk02ht_da00c"
19,"dk02ht_sht0h"
20,"dk02ht_gun0s"
21,"dk02ht_thr0h"
22,"dk02ht_sou0h"
23,"dk02ht_zan0m"
24,"dk04ht_fir0h"
25,"dk04ht_ice0h"
26,"dk04ht_win0h"
27,"dk04ht_ear0h"
28,"dk04ht_ele0h"
29,"dk04ht_wat0h"
30,"dk02ht_zan0m"
31,"dk04ht_hpt0h"
32,"dk04ht_mpt0h"
33,"dk04ht_tpt0h"
34,"dk02en_dhp0t"
35,"dk02en_dmp0t"
36,"dk02en_dtp0t"
37,"dk03ht_bct0m"
38,"dk03ht_mct0s"
39,"dk03ht_mcr0s"
40,"dk04ht_cur0h"
41,"dk05ht_poi0s"
42,"dk05ht_slp0s"
43,"dk05ht_sta0h"
44,"dk05ht_grv0h"
45,"dk05ht_cha0h"
46,"dk05ht_pal0h"
47,"dk05ht_roc0t"
48,"dk05ht_slet0t"
49,"dk05ht_sles0t"
50,"dk05ht_kztu0t"
51,"dk05ht_dth0t"
52,"dk05ht_dark0t"
53,"dk05ht_glnt0t"
54,"dk05ht_bind0t"
55,"dk05ht_bndt0t"
56,"dk05ht_slow0t"
57,"dk05ht_slwc0t"
58,"dk05ht_ipws0t"
59,"dk05ht_ipab0t"
60,"dk05th_stup0t"
61,"dk05th_stdn0t"
62,"dk06mg_pro0h"
63,"dk06mg_she0h"
64,"dk06ht_stsk0h"
65,"dk06mg_mab0h"
66,"dk06mg_wal0h"
67,"dk06gd_blo0h"
68,"dk06gd_par0h"
69,"dk07ht_da00c"
70,"dk08ht_mpt0c"
71,"dk08ht_tpt0c"
72,"dk08ht_hpt0c"
73,"dk04ht_canc0h"
74,"dk10ht_cha0h"
75,"dk10ht_roc0h"
76,"dk10ht_slp0h"
77,"dk10ht_bind0h"
78,"dk10ht_grv0h"
79,"cmat_firct0c"
80,"cmat_icect0c"
81,"cmat_wndct0c"
82,"cmat_ethct0c"
83,"cmat_thnct0c"
84,"cmat_watct0c"
85,"cmat_ligct0c"
86,"cmwk_drkct1c"
87,"cmrv_wndct0c"
88,"cmrv_watct0c"
89,"cmrv_ligct0c"
90,"cmst_ethct0c"
91,"cmsm_firct0s"
92,"cmsm_wndct0s"
93,"cmsm_ethct0s"
94,"cmsm_thnct0s"
95,"cmst_ligct0c"
96,"cmth_castx0c"
97,"cmcn_castx0c"
98,"cmpl_castx0c"
99,"cmbl_castx0c"
100,"cmwh_castx0c"
101,"cmsn_castx0c"
102,"neri_at_ex1f"
103,"cmsm_castx0s"
104,"cmrz_castx1c"
105,"cmpp_djcas0c"
106,"cmpp_djcas0c"
107,"cmpt_castx0t"
108,"mon_eisyo03t"
109,"pop_tlep1t1h"
110,"pop_dejo1t1c"
111,"pop_tlep1t0h"
112,"pop_dejo1t0c"
113,"comp_01m"
114,"aettouch_c1c"
115,"levelup1f"
116,"classchng_sp1t"
117,"mat_fill100"
118,"mat_soulbind"
119,""
120,""
121,""
122,""
123,""
124,""
125,""
126,""
127,""
128,"foot_001"
129,"foot_001w"
130,"foot_002"
131,"foot_002w"
132,"foot_003"
133,"foot_003w"
134,"foot_010"
135,"foot_010w"
136,"foot_008"
137,"foot_008w"
138,"foot_009"
139,"foot_009w"
140,"foot_011"
141,"foot_011w"
142,"foot_012"
143,"foot_012w"
144,"foot_stone_b"
145,"foot_stone_a"
146,""
147,"foot_leaf_b"
148,"foot_leaf_a"
149,""
150,"foot_sand_b"
151,"foot_sand_a"
152,""
153,"foot_water_b"
154,"foot_water_a"
155,""
156,"foot_dust_b"
157,"foot_dust_a"
158,""
159,"foot_snow_b"
160,"foot_snow_a"
161,""
162,"break_hitc0c"
163,"mon_pop1t"
164,"chr_pop1t"
165,"gl_target1"
166,"gl_target2"
167,"comp_popf"
168,"comp_outf"
169,"ctstop_mgc0c"
170,"mon_dpop001f"
171,"mon_pop001f"
172,"aettouch_c0c"
173,"aettouch_c2c"
174,"mon_diary"
175,"hanabi_a_c0c"
176,"hanabi_b_c0c"
177,"reaction01"
178,"dk05ht_tel0h"
179,"m001sp_06c1c"
180,"cmrz_shoot2c"
181,"pop_rais1t0c"
182,"m0096sp_05c1s"
183,"m0096sp_06c2s"
184,"dream_g"
185,"lbk_ptycas0c"
186,"cmtk_castx1t"
187,"cmml_castx1f"
188,"cmhl_castx1f"
189,"cmcs_castx1m"
190,"cmml_castx3s"
191,"dk10ht_fir0c"
192,"dk10ht_ice0c"
193,"dk10ht_sip0c"
194,"dk10ht_wra0c"
195,"a000drapoi1c"
196,"abi_flam1t0c"
197,"pla_cate1t0h"
198,"pla_cate1t1h"
199,"pla_cate1t2h"
200,"m023_sibire"
201,"jobst_bard0c"
202,"jobst_blac0c"
203,"jobst_drag0c"
204,"jobst_knig0c"
205,"jobst_monk0c"
206,"jobst_sava0c"
207,"jobst_summ0c"
208,"jobst_warr0c"
209,"jobst_whit0c"
210,"cft_matok0"
211,"cft_matng0"
212,"m0049gr_dmg1t"
213,"foot_012r"
214,"mon_diary2"
215,"mon_diary3"
216,"gt_sommon0f"
217,"tar_ring0af"
218,""
219,""
220,""
221,""
222,""
223,""
224,""
225,""
226,""
227,""
228,""
229,""
230,""
