key,0,1,2,3,4,5,6,7,8,9
#,,,,,,,,,,
int32,uint32,uint32,uint32,uint32,uint16,uint16,uint16,uint16,str,str
131072,0,0,0,0,1,1,0,0,"",""
131073,2040811,0,0,0,2,2,0,0,"",""
131074,3884000,590352,590353,0,3,1,0,0,"","Proceed to the Seat of the First Bow?"
131075,3884182,0,0,0,1,1,0,0,"","Leave the Seat of the First Bow?"
131076,3878860,0,0,0,1,1,0,0,"","Leave the Lotus Stand?"
131077,1381039,590354,590355,0,4,1,0,0,"","Board the ferry to Sweetbloom Pier?"
131078,1381038,590356,590259,0,4,1,0,0,"","Board the ferry to Old Gridania?"
131079,4124796,0,0,0,5,3,0,0,"",""
131080,1359058,0,0,0,5,4,0,0,"",""
131081,4124801,0,0,0,5,5,0,0,"",""
131082,4125264,0,0,0,1,1,0,0,"","Exit room?"
131083,2232680,0,0,0,1,1,0,0,"","Exit room?"
131084,4125288,0,0,0,1,1,0,0,"","Exit room?"
131085,4107979,0,0,0,1,1,0,0,"","Leave the Silver Hall?"
131086,4143657,590441,0,590448,6,1,0,0,"","Take the ferry to Crescent Cove for 100 gil?"
131087,4143677,590442,0,590449,6,1,0,0,"","Take the ferry to the Silver Bazaar for 100 gil?"
131088,4107477,0,590450,0,7,1,0,0,"","Enter the Waking Sands?"
131089,4132388,0,0,0,1,1,0,0,"","Leave the Waking Sands?"
131090,4148347,0,590564,0,21,1,0,0,"","Enter the solar?"
131091,4148350,0,0,0,1,1,0,0,"","Leave the solar?"
131092,4158063,0,0,0,1,1,0,0,"Ride lift to the airship landing.","Proceed to the airship landing?"
131093,4158069,0,0,0,1,1,0,0,"Ride lift to the Drowning Wench.","Proceed to the Drowning Wench?"
131094,4161445,0,0,0,1,1,0,0,"Ride lift to Bulwark Hall.","Proceed to Bulwark Hall?"
131095,4164411,0,0,0,1,1,0,0,"Ride lift to the airship landing.","Proceed to the airship landing?"
131096,4164414,0,0,0,1,1,0,0,"Ride lift to the Hustings Strip.","Proceed to the Hustings Strip?"
131097,4164413,0,0,0,1,1,0,0,"Ride lift to the Ruby Road Exchange.","Proceed to the Ruby Road Exchange?"
131098,4087066,590451,590452,0,8,1,0,0,"","Proceed into the Silver Hall?"
131099,4165046,590611,0,0,1,1,0,0,"","Proceed to the Bowl of Embers?"
131100,4165037,590610,0,0,1,1,0,0,"","Leave the immediate area?"
131101,4103382,0,590530,590453,9,1,227,232,"Purchase passage to Gridania.","Travel to Gridania for 100 gil?"
131102,4103399,0,590530,590453,9,1,227,230,"Purchase passage to Limsa Lominsa.","Travel to Limsa Lominsa for 100 gil?"
131103,4103339,0,589916,590454,9,1,231,228,"Purchase passage to Ul'dah.","Travel to Ul'dah for 100 gil?"
131104,4103399,0,589916,590454,9,1,231,230,"Purchase passage to Limsa Lominsa.","Travel to Limsa Lominsa for 100 gil?"
131105,4103339,0,590531,590455,9,1,229,228,"Purchase passage to Ul'dah.","Travel to Ul'dah for 100 gil?"
131106,4103382,0,590531,590455,9,1,229,232,"Purchase passage to Gridania.","Travel to Gridania for 100 gil?"
131107,4165398,0,0,590456,10,1,235,234,"","Travel to Limsa Lominsa for 10 gil?"
131108,4165376,0,0,590457,10,1,233,236,"","Travel to Vesper Bay for 10 gil?"
131109,4165794,590514,590515,0,11,1,0,0,"Seek passage to Aleport.","Travel to Aleport?"
131110,4165749,590516,590517,0,11,1,0,0,"Seek passage to Limsa Lominsa.","Travel to Limsa Lominsa?"
131111,4165755,590518,590519,0,12,1,0,0,"Seek passage to Costa del Sol.","Travel to Costa del Sol?"
131112,4165749,590520,590521,0,12,1,0,0,"Seek passage to Limsa Lominsa.","Travel to Limsa Lominsa?"
131113,4165801,590510,0,590511,13,1,0,0,"Purchase passage to Jijiroon's Trading Post.","Travel to Jijiroon's Trading Post for 100 gil?"
131114,4165797,590512,0,590513,13,1,0,0,"Purchase passage to Memeroon's Trading Post.","Travel to Memeroon's Trading Post for 100 gil?"
131115,4165794,590522,0,0,14,1,0,0,"Seek passage to Aleport.","Travel to Aleport?"
131116,4165877,590523,0,0,14,1,0,0,"Seek passage to Candlekeep Quay.","Travel to Candlekeep Quay?"
131117,1317627,590524,590525,0,15,1,0,0,"","Travel beyond the White Wolf Gate?"
131118,1317561,590529,590526,0,15,1,0,0,"","Enter Gridania?"
131119,4165759,590527,0,0,16,1,0,0,"Seek passage to Raincatcher Gulley","Travel to Raincatcher Gulley?"
131120,4165758,590528,0,0,16,1,0,0,"Seek passage to Hidden Falls","Travel to Hidden Falls?"
131121,3877982,590535,590536,0,19,1,0,0,"Seek entry to the Lotus Stand","Proceed to the Lotus Stand?"
131122,4146949,590563,0,0,20,1,0,0,"Seek entry to the command room.","Enter the command room?"
131123,4169071,0,0,0,1,1,0,0,"","Leave the command room?"
131124,4190590,0,0,0,2,2,0,0,"",""
131125,4189532,0,0,0,2,2,0,0,"",""
131126,4165939,590603,0,0,1,1,0,0,"","Travel to Minotaur Malm?"
131127,4165935,590604,0,0,1,1,0,0,"","Travel to Nald's Respite?"
131128,4103339,590607,0,0,1,1,0,0,"","Leave the landing area?"
131129,4103382,590608,0,0,1,1,0,0,"","Leave the landing area?"
131130,4103399,590609,0,0,1,1,0,0,"","Leave the landing area?"
