key,0,1
#,,
int32,str,str
0,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_00","This is Maelstrom Command, headquarters of Limsa Lominsa's provisional armada. Our doors are open to all who would fight on the side of order and justice."
1,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_01","You are come to the Adders' Nest, command center of the Order of the Twin Adder. Ever do we welcome they who would toil in the elementals' name for the survival and well-being of our forest nation."
2,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_02","You stand within the Hall of Flames, the burning heart of operations for the Immortal Flames. We're always seeking kindred souls possessed of unquenchable spirit to join our cause."
3,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_03","This is Maelstrom Command, headquarters of Limsa Lominsa's provisional armada."
4,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_100_03","If you have no business being here, then begone."
5,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_04","You are come to the Adders' Nest, command center of the Order of the Twin Adder."
6,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_100_04","If you haven't reason to be here, pray take your leave."
7,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_05","You stand within the Hall of Flames, the burning heart of operations for the Immortal Flames."
8,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_100_05","Unless you've pertinent matters to discuss, I suggest that you remove yourself from these premises."
9,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_06","I commend your enthusiasm, but the Maelstrom has no need of one so raw. Come back when you have forged a reputation for yourself."
10,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_07","While your zeal cannot be denied, you must grow stronger if you are to entwine your destiny with ours. Prove you have the fortitude to weather the fiercest of storms, and thence return here once more."
11,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_GCOFFICER_000_08","I sense something of a fire within you, but it flickers as candle light. Stoke this inner fire till it becomes a raging inferno, and we can speak again of your part in the Immortal Flames."
12,"TEXT_COMDEFGRANDCOMPANYOFFICER_00073_SYSTEM_000_09","In order to join a Grand Company, you must progress further in the main story."
