key,0,1
#,,
int32,str,str
0,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_1","Greetings, adventurer. You stand within Stillglade Fane, home of the Conjurers' Guild. How may I be of service?"
1,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_2","I am Brother E–Sumi–Yan, master of this guild. It is my duty and privilege to provide guidance to those who would walk the path of the conjurer."
2,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_3","Even as I strive to ensure our art's survival for future generations, I commune with the elementals that I might convey their will to the people of Gridania."
3,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_4","Perchance my childlike appearance gives you cause to doubt my words. It is only natural. Why, to you I must seem to be your junior by no small number of years. Know, however, that I have seen more summers than all but a handful of souls in this great nation."
4,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_5","Conjury is an art that takes life and the living for its domain. Its primary purpose is the salving of hurts and the granting of protection."
5,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_6","Adventurers such as yourself oft stand upon the front lines of battle. Owing to this, you are like to find yourself in many situations wherein a capacity for healing would be advantageous. Mind you, there is more to conjury than that."
6,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_7","By harnessing the power of earth, wind, and water, conjurers are also capable of weaving spells that wreak havoc."
7,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_8","In terms of sheer destructive power, conjury may pale in comparison to thaumaturgy, but its capacity to defend one against aggression more than compensates for this relative shortcoming."
8,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_9","In mastering healing and purification, not only will you be able to mend wounds and purge afflictions─you will also be able to breathe life back into the fallen."
9,"TEXT_REGFSTCNJGUILD_00023_ESUMIYAN_000_10","More than simply healers, yet not true dealers of destruction, conjurers realize their full potential when they employ their powers in support of others. This, my dear adventurer, is what it means to be one of us."
10,"TEXT_REGFSTCNJGUILD_00023_Q1_000_1","What will you ask?"
11,"TEXT_REGFSTCNJGUILD_00023_A1_000_1","What do you do here?"
12,"TEXT_REGFSTCNJGUILD_00023_A1_000_2","What is conjury?"
13,"TEXT_REGFSTCNJGUILD_00023_A1_000_3","Nothing."
