key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAREDFARM_00070_ANAOC_000_1","Welcome to the Red Rooster Stead. What I can do for ye?"
1,"TEXT_REGSEAREDFARM_00070_ANAOC_000_2","The name's Anaoc, and I run this here farm. I've been a botanist for...well, for more seasons than I can count."
2,"TEXT_REGSEAREDFARM_00070_ANAOC_000_3","I'd retired once, before all that nasty business with the Calamity came down. But I can hardly sit idle with all the rebuilding that needs doing, now, can I?"
3,"TEXT_REGSEAREDFARM_00070_ANAOC_000_4","I am fortunate enough, however, to have a goodly number of enthusiastic youngsters about the place. With a bit of direction from me, I look forward to seeing what wonders they'll achieve at the Stead."
4,"TEXT_REGSEAREDFARM_00070_ANAOC_000_5","Here at the Red Rooster Stead, we don't shy away from giving the latest farming methods a try."
5,"TEXT_REGSEAREDFARM_00070_ANAOC_000_6","And you can see the results just by taking a look around. The crops are bountiful, and we've had to add pens for the extra livestock."
6,"TEXT_REGSEAREDFARM_00070_ANAOC_000_7","The Admiral herself has praised the Stead as the perfect example of her new settlement initiative."
7,"TEXT_REGSEAREDFARM_00070_ANAOC_000_8","If I were to find flaws, it would have to be with our lack of security. Time was that the local pirates would look out for an old farmer like me, but now their whole way of life has been outlawed."
8,"TEXT_REGSEAREDFARM_00070_Q1_000_1","What will you ask?"
9,"TEXT_REGSEAREDFARM_00070_A1_000_1","What do you do here?"
10,"TEXT_REGSEAREDFARM_00070_A1_000_2","What kind of place is this?"
11,"TEXT_REGSEAREDFARM_00070_A1_000_3","Nothing."
