key,0,1
#,,
int32,str,str
0,"TEXT_CLSHRV009_00011_SEQ_00","園芸師ギルドのフフチャは、冒険者に依頼したい仕事があるようだ。"
1,"TEXT_CLSHRV009_00011_SEQ_01","フフチャから、ヤニに依頼された「<Sheet(ItemHQ,4792,0)/>」50個の調達を頼まれた。<Sheet(ItemHQ,4792,0)/>を採取し、「園芸師ギルド」の「フフチャ」に見せよう。"
2,"TEXT_CLSHRV009_00011_SEQ_02","フフチャはヤニが<Sheet(ItemHQ,4792,0)/>を何のために使うのか、疑問に思っているようだ。園芸師ギルドの「ヤニ」に、「<Sheet(ItemHQ,4792,0)/>」を届けよう。"
3,"TEXT_CLSHRV009_00011_SEQ_03","ヤニに<Sheet(ItemHQ,4792,0)/>を届けた。ヤニはこの<Sheet(ItemHQ,4792,0)/>を使って、特性のラタトゥイユを作り上げる。園芸師ギルドの「フフチャ」に「ヤニ特製のラタトゥイユ」を届けよう。"
4,"TEXT_CLSHRV009_00011_SEQ_04","調理師のヤニが<Sheet(ItemHQ,4792,0)/>を使って作った物は、フフチャの母のレシピを参考にしたラタトゥイユだった。話を聞いたフフチャは、母のことを思い出しながら、じっくりと味わうつもりのようだ。

※園芸師のレベルが45以上になると、フフチャから
　次の園芸師クエストを受注することができます。"
5,"TEXT_CLSHRV009_00011_SEQ_05",""
6,"TEXT_CLSHRV009_00011_SEQ_06",""
7,"TEXT_CLSHRV009_00011_SEQ_07",""
8,"TEXT_CLSHRV009_00011_SEQ_08",""
9,"TEXT_CLSHRV009_00011_SEQ_09",""
10,"TEXT_CLSHRV009_00011_SEQ_10",""
11,"TEXT_CLSHRV009_00011_SEQ_11",""
12,"TEXT_CLSHRV009_00011_SEQ_12",""
13,"TEXT_CLSHRV009_00011_SEQ_13",""
14,"TEXT_CLSHRV009_00011_SEQ_14",""
15,"TEXT_CLSHRV009_00011_SEQ_15",""
16,"TEXT_CLSHRV009_00011_SEQ_16",""
17,"TEXT_CLSHRV009_00011_SEQ_17",""
18,"TEXT_CLSHRV009_00011_SEQ_18",""
19,"TEXT_CLSHRV009_00011_SEQ_19",""
20,"TEXT_CLSHRV009_00011_SEQ_20",""
21,"TEXT_CLSHRV009_00011_SEQ_21",""
22,"TEXT_CLSHRV009_00011_SEQ_22",""
