key,0,1
#,,
int32,str,str
0,"TEXT_CLSTAN010_00066_SEQ_00","革細工師ギルドのゲヴァは、冒険者に頼みたいことがあるようだ。"
1,"TEXT_CLSTAN010_00066_SEQ_01","「ゲヴァのチョーカー」の配達を依頼された。「口笛粉屋」にいる依頼人に届けよう。"
2,"TEXT_CLSTAN010_00066_SEQ_02","依頼人に配達を終えた。「革細工師ギルド」の「ゲヴァ」に報告しよう。"
3,"TEXT_CLSTAN010_00066_SEQ_03","ゲヴァから品評会に出品するよう依頼された。「<Sheet(Item,5611,0)/>」を装着した「<Sheet(ItemHQ,3206,0)/>」を仕立て、「ミィ・ケット野外音楽堂」にいる「品評会の受付」に渡そう。"
4,"TEXT_CLSTAN010_00066_SEQ_04","「革細工師ギルド」に戻り、「ゲヴァ」に声をかけよう。"
5,"TEXT_CLSTAN010_00066_SEQ_05","ゲヴァから一人前の革細工師だと認めてもらうことができた。アンクル・ボサへと流れていた職人たちが戻ってきて、指導で忙しくなると言うゲヴァ。彼女に胸を張れるよう、これからもギルドで学んだことを活かして革細工に励もう。"
6,"TEXT_CLSTAN010_00066_SEQ_06",""
7,"TEXT_CLSTAN010_00066_SEQ_07",""
8,"TEXT_CLSTAN010_00066_SEQ_08",""
9,"TEXT_CLSTAN010_00066_SEQ_09",""
10,"TEXT_CLSTAN010_00066_SEQ_10",""
11,"TEXT_CLSTAN010_00066_SEQ_11",""
12,"TEXT_CLSTAN010_00066_SEQ_12",""
13,"TEXT_CLSTAN010_00066_SEQ_13",""
14,"TEXT_CLSTAN010_00066_SEQ_14",""
15,"TEXT_CLSTAN010_00066_SEQ_15",""
16,"TEXT_CLSTAN010_00066_SEQ_16",""
17,"TEXT_CLSTAN010_00066_SEQ_17",""
18,"TEXT_CLSTAN010_00066_SEQ_18",""
19,"TEXT_CLSTAN010_00066_SEQ_19",""
20,"TEXT_CLSTAN010_00066_SEQ_20",""
21,"TEXT_CLSTAN010_00066_SEQ_21",""
22,"TEXT_CLSTAN010_00066_SEQ_22",""
23,"TEXT_CLSTAN010_00066_SEQ_23",""
24,"TEXT_CLSTAN010_00066_TODO_00","口笛粉屋の依頼人にゲヴァのチョーカーを渡す"
25,"TEXT_CLSTAN010_00066_TODO_01","革細工師ギルドのゲヴァと話す"
