key,0,1
#,,
int32,str,str
0,"TEXT_TSTPLN035_00146_SEQ_00","パブリックMOBを倒すと、
不可視モンスターがPOPし、それを倒すと
イベントアイテム入手"
1,"TEXT_TSTPLN035_00146_SEQ_01","出現したモンスターを倒し、
アイテムを入手しよう。"
2,"TEXT_TSTPLN035_00146_SEQ_02","無事、倒し終えた。"
3,"TEXT_TSTPLN035_00146_SEQ_03",""
4,"TEXT_TSTPLN035_00146_SEQ_04",""
5,"TEXT_TSTPLN035_00146_SEQ_05",""
6,"TEXT_TSTPLN035_00146_SEQ_06",""
7,"TEXT_TSTPLN035_00146_SEQ_07",""
8,"TEXT_TSTPLN035_00146_SEQ_08",""
9,"TEXT_TSTPLN035_00146_SEQ_09",""
10,"TEXT_TSTPLN035_00146_SEQ_10",""
11,"TEXT_TSTPLN035_00146_SEQ_11",""
12,"TEXT_TSTPLN035_00146_SEQ_12",""
13,"TEXT_TSTPLN035_00146_SEQ_13",""
14,"TEXT_TSTPLN035_00146_SEQ_14",""
15,"TEXT_TSTPLN035_00146_SEQ_15",""
16,"TEXT_TSTPLN035_00146_SEQ_16",""
17,"TEXT_TSTPLN035_00146_SEQ_17",""
18,"TEXT_TSTPLN035_00146_SEQ_18",""
19,"TEXT_TSTPLN035_00146_SEQ_19",""
20,"TEXT_TSTPLN035_00146_SEQ_20",""
21,"TEXT_TSTPLN035_00146_SEQ_21",""
22,"TEXT_TSTPLN035_00146_SEQ_22",""
23,"TEXT_TSTPLN035_00146_SEQ_23",""
24,"TEXT_TSTPLN035_00146_TODO_00","～を倒す～がPOPし、それを倒す、アイテム～を貰う"
25,"TEXT_TSTPLN035_00146_TODO_01","～にアイテムを渡す"
26,"TEXT_TSTPLN035_00146_TODO_02",""
27,"TEXT_TSTPLN035_00146_TODO_03",""
28,"TEXT_TSTPLN035_00146_TODO_04",""
29,"TEXT_TSTPLN035_00146_TODO_05",""
30,"TEXT_TSTPLN035_00146_TODO_06",""
31,"TEXT_TSTPLN035_00146_TODO_07",""
32,"TEXT_TSTPLN035_00146_TODO_08",""
33,"TEXT_TSTPLN035_00146_TODO_09",""
34,"TEXT_TSTPLN035_00146_TODO_10",""
35,"TEXT_TSTPLN035_00146_TODO_11",""
36,"TEXT_TSTPLN035_00146_TODO_12",""
37,"TEXT_TSTPLN035_00146_TODO_13",""
38,"TEXT_TSTPLN035_00146_TODO_14",""
39,"TEXT_TSTPLN035_00146_TODO_15",""
40,"TEXT_TSTPLN035_00146_TODO_16",""
41,"TEXT_TSTPLN035_00146_TODO_17",""
42,"TEXT_TSTPLN035_00146_TODO_18",""
43,"TEXT_TSTPLN035_00146_TODO_19",""
44,"TEXT_TSTPLN035_00146_TODO_20",""
45,"TEXT_TSTPLN035_00146_TODO_21",""
46,"TEXT_TSTPLN035_00146_TODO_22",""
47,"TEXT_TSTPLN035_00146_TODO_23",""
48,"TEXT_TSTPLN035_00146_TALK_SCENE00000_000","「倒す/敵POP」テストです。
ファンガーを倒すと、クエスト発行人の後ろに
モンスターが出現します。"
49,"TEXT_TSTPLN035_00146_TALK_SCENE00000_001","さらにそのモンスターを倒すと
イベントアイテムをドロップします。"
50,"TEXT_TSTPLN035_00146_TALK_SCENE00001_000","ありがとう！！"
