key,0,1
#,,
int32,str,str
0,"TEXT_CLSARM351_00281_SEQ_00","甲冑師ギルドのハ・ナンザは、冒険者に頼みたい仕事があるようだ。"
1,"TEXT_CLSARM351_00281_SEQ_01","ハ・ナンザは、ブランシュティルとの勝負を経た冒険者の心の揺れが、集中力を乱していないかを心配していた。心配を払拭するため、「<Sheet(ItemHQ,2502,0)/>」を1個製作し、甲冑師ギルドの「ハ・ナンザ」に渡そう。"
2,"TEXT_CLSARM351_00281_SEQ_02","<Sheet(ItemHQ,2502,0)/>をハ・ナンザに渡した。ハ・ナンザは、フライパンの出来を認め、冒険者に新人たちの手本になってほしいと語った。

※甲冑師のレベルが40以上になると、ハ・ナンザから
　次の甲冑師クエストを受注することができます。"
3,"TEXT_CLSARM351_00281_SEQ_03",""
4,"TEXT_CLSARM351_00281_SEQ_04",""
5,"TEXT_CLSARM351_00281_SEQ_05",""
6,"TEXT_CLSARM351_00281_SEQ_06",""
7,"TEXT_CLSARM351_00281_SEQ_07",""
8,"TEXT_CLSARM351_00281_SEQ_08",""
9,"TEXT_CLSARM351_00281_SEQ_09",""
10,"TEXT_CLSARM351_00281_SEQ_10",""
11,"TEXT_CLSARM351_00281_SEQ_11",""
12,"TEXT_CLSARM351_00281_SEQ_12",""
13,"TEXT_CLSARM351_00281_SEQ_13",""
14,"TEXT_CLSARM351_00281_SEQ_14",""
15,"TEXT_CLSARM351_00281_SEQ_15",""
16,"TEXT_CLSARM351_00281_SEQ_16",""
17,"TEXT_CLSARM351_00281_SEQ_17",""
18,"TEXT_CLSARM351_00281_SEQ_18",""
19,"TEXT_CLSARM351_00281_SEQ_19",""
20,"TEXT_CLSARM351_00281_SEQ_20",""
21,"TEXT_CLSARM351_00281_SEQ_21",""
22,"TEXT_CLSARM351_00281_SEQ_22",""
23,"TEXT_CLSARM351_00281_SEQ_23",""
24,"TEXT_CLSARM351_00281_TODO_00","甲冑師ギルドのハ・ナンザに<Sheet(ItemHQ,2502,0)/>を納品"
25,"TEXT_CLSARM351_00281_TODO_01",""
26,"TEXT_CLSARM351_00281_TODO_02",""
27,"TEXT_CLSARM351_00281_TODO_03",""
28,"TEXT_CLSARM351_00281_TODO_04",""
29,"TEXT_CLSARM351_00281_TODO_05",""
30,"TEXT_CLSARM351_00281_TODO_06",""
