key,0,1
#,,
int32,str,str
0,"TEXT_SUBWIL054_00237_SEQ_00","シルバーバザーの研ぎ師ユモンドは、タダ働きであることをゴネはじめ……"
1,"TEXT_SUBWIL054_00237_SEQ_01","ユモンドはタダ働きの条件として、冒険者がユモンドのためにタダで働くことを提示してきた。シルバーバザーの港にいる「フロドガル」に「固く縛られた荷物（仮）」を届けよう。"
2,"TEXT_SUBWIL054_00237_SEQ_02","フロドガルに固く縛られた荷物（仮）を届けた。酔っぱらったフロドガルによれば、荷物の中身は禁制品らしいが……？　シルバーバザーの「ユモンド」に報告しよう。"
3,"TEXT_SUBWIL054_00237_SEQ_03","荷物の中身についてはとぼけられてしまった。ともかくも、ユモンドは腕輪を研いでくれるようだ。シルバーバザーの「オリヴァー」に報告しよう。"
4,"TEXT_SUBWIL054_00237_SEQ_04",""
5,"TEXT_SUBWIL054_00237_SEQ_05",""
6,"TEXT_SUBWIL054_00237_SEQ_06",""
7,"TEXT_SUBWIL054_00237_SEQ_07",""
8,"TEXT_SUBWIL054_00237_SEQ_08",""
9,"TEXT_SUBWIL054_00237_SEQ_09",""
10,"TEXT_SUBWIL054_00237_SEQ_10",""
11,"TEXT_SUBWIL054_00237_SEQ_11",""
12,"TEXT_SUBWIL054_00237_SEQ_12",""
13,"TEXT_SUBWIL054_00237_SEQ_13",""
14,"TEXT_SUBWIL054_00237_SEQ_14",""
15,"TEXT_SUBWIL054_00237_SEQ_15",""
16,"TEXT_SUBWIL054_00237_SEQ_16",""
17,"TEXT_SUBWIL054_00237_SEQ_17",""
18,"TEXT_SUBWIL054_00237_SEQ_18",""
19,"TEXT_SUBWIL054_00237_SEQ_19",""
20,"TEXT_SUBWIL054_00237_SEQ_20",""
21,"TEXT_SUBWIL054_00237_SEQ_21",""
22,"TEXT_SUBWIL054_00237_SEQ_22",""
23,"TEXT_SUBWIL054_00237_SEQ_23",""
24,"TEXT_SUBWIL054_00237_TODO_00","フロドガルに固く縛られた荷物（仮）を届ける"
25,"TEXT_SUBWIL054_00237_TODO_01","ユモンドに報告"
26,"TEXT_SUBWIL054_00237_TODO_02","オリヴァーに報告"
27,"TEXT_SUBWIL054_00237_TODO_03",""
28,"TEXT_SUBWIL054_00237_TODO_04",""
29,"TEXT_SUBWIL054_00237_TODO_05",""
30,"TEXT_SUBWIL054_00237_TODO_06",""
31,"TEXT_SUBWIL054_00237_TODO_07",""
32,"TEXT_SUBWIL054_00237_TODO_08",""
33,"TEXT_SUBWIL054_00237_TODO_09",""
34,"TEXT_SUBWIL054_00237_TODO_10",""
35,"TEXT_SUBWIL054_00237_TODO_11",""
36,"TEXT_SUBWIL054_00237_TODO_12",""
37,"TEXT_SUBWIL054_00237_TODO_13",""
38,"TEXT_SUBWIL054_00237_TODO_14",""
39,"TEXT_SUBWIL054_00237_TODO_15",""
40,"TEXT_SUBWIL054_00237_TODO_16",""
41,"TEXT_SUBWIL054_00237_TODO_17",""
42,"TEXT_SUBWIL054_00237_TODO_18",""
43,"TEXT_SUBWIL054_00237_TODO_19",""
44,"TEXT_SUBWIL054_00237_TODO_20",""
45,"TEXT_SUBWIL054_00237_TODO_21",""
46,"TEXT_SUBWIL054_00237_TODO_22",""
47,"TEXT_SUBWIL054_00237_TODO_23",""
48,"TEXT_SUBWIL054_00237_EWMOND_000_1","腕輪を研いでやらないのか、ですって？
たしかに材料はいただきましたが、
タダ働きに違いないんじゃねえ……"
49,"TEXT_SUBWIL054_00237_EWMOND_000_2","そうだ、これならどうです？
あなたが私のために、タダで働くんです。"
50,"TEXT_SUBWIL054_00237_EWMOND_000_3","ここの船頭フロドガルに、荷物を届けてください。
それさえしていただければ、
腕輪を研いでさしあげますよ。"
51,"TEXT_SUBWIL054_00237_HRODGAR_000_10","ういーっく！
俺だってなー！　でかい船を持ってたんだー！
海賊どもだってなー！　裸足で逃げだすような奴だー！"
52,"TEXT_SUBWIL054_00237_HRODGAR_000_11","これだー、これこれー！
禁制品がー、どんなもんだー！
こいつはー、俺のー、ミルクなんだよー！！"
53,"TEXT_SUBWIL054_00237_HRODGAR_000_12","おー、おめー、ごくろー！
ユモンドにー、よろしくなー！！"
54,"TEXT_SUBWIL054_00237_OLYVER_000_20","あ、冒険者さん！
ユモンドおじちゃん、腕輪をといでくれそう？"
55,"TEXT_SUBWIL054_00237_OLYVER_000_21","……といでくれてるんだ！
やったあ、これでピッカピカだ！！"
56,"TEXT_SUBWIL054_00237_OLYVER_000_22","父ちゃんのぶんも、おれいを言うよ！
ありがとう、ほんとうにありがとう、冒険者さん！"
57,"TEXT_SUBWIL054_00237_EWMOND_000_30","届けてくれたようですね。
それでは、こちらも作業にかかりましょう。"
58,"TEXT_SUBWIL054_00237_EWMOND_000_31","……え、禁制品？
フロドガルが言っていた？
さあ、なんのことだか、私にはさっぱり。"
59,"TEXT_SUBWIL054_00237_EWMOND_000_32","腕輪は研いでおきますから。
あとで取りに来るよう、
オリヴァー坊ちゃんに伝えてください。"
