key,0,1
#,,
int32,str,str
0,"TEXT_CLSBSM451_00301_SEQ_00","鍛冶師ギルドのブリサエルは、冒険者に感謝しているようだ。"
1,"TEXT_CLSBSM451_00301_SEQ_01","ブリサエルは、フェーズアールを通じて知り合ったコロセウムの闘士ミュリエルからの注文を、冒険者に任せたようだ。アスタリシア号にいる「ミュリエル」と話をしよう。"
2,"TEXT_CLSBSM451_00301_SEQ_02","ミュリエルは冒険者の鍛冶師としての評判を聞きつけ、装備品を注文したいとのことだった。「<Sheet(ItemHQ,1723,0)/>」「バッカニアバルティッシュ」「<Sheet(ItemHQ,1659,0)/>」を1個ずつ用意し、フェーズアールに見せよう。"
3,"TEXT_CLSBSM451_00301_SEQ_03","フェーズアールに装備品を届けた。フェーズアールは受け取った装備品が、ミュリエルが持つにふさわしいものだと判断したようだ。「<Sheet(ItemHQ,1723,0)/>」「バッカニアバルティッシュ」「<Sheet(ItemHQ,1659,0)/>」をミュリエルに届けよう。"
4,"TEXT_CLSBSM451_00301_SEQ_04","ミュリエルに装備品を届けた。ミュリエルは海賊相手に腕試しをするつもりで、リムサ・ロミンサを訪れたのだが、見かけ倒しの海賊ばかりで、彼女の強さについてこられず、リムサ・ロミンサという街は紛い物ばかりかと、がっかりしていたらしい。しかし鍛冶師という畑違いながら、冒険者という本物の職人と出会えたことが、大きな収穫だったと思い直したようだった。

※鍛冶師のレベルが50以上になると、ブリサエルから
　次の鍛冶師クエストを受注することができます。"
5,"TEXT_CLSBSM451_00301_SEQ_05",""
6,"TEXT_CLSBSM451_00301_SEQ_06",""
7,"TEXT_CLSBSM451_00301_SEQ_07",""
8,"TEXT_CLSBSM451_00301_SEQ_08",""
9,"TEXT_CLSBSM451_00301_SEQ_09",""
10,"TEXT_CLSBSM451_00301_SEQ_10",""
11,"TEXT_CLSBSM451_00301_SEQ_11",""
12,"TEXT_CLSBSM451_00301_SEQ_12",""
13,"TEXT_CLSBSM451_00301_SEQ_13",""
14,"TEXT_CLSBSM451_00301_SEQ_14",""
15,"TEXT_CLSBSM451_00301_SEQ_15",""
16,"TEXT_CLSBSM451_00301_SEQ_16",""
17,"TEXT_CLSBSM451_00301_SEQ_17",""
18,"TEXT_CLSBSM451_00301_SEQ_18",""
19,"TEXT_CLSBSM451_00301_SEQ_19",""
