key,0,1
#,,
int32,str,str
0,"TEXT_CLSACN250_00460_SEQ_00",""
1,"TEXT_CLSACN250_00460_SEQ_01",""
2,"TEXT_CLSACN250_00460_SEQ_02",""
3,"TEXT_CLSACN250_00460_SEQ_03",""
4,"TEXT_CLSACN250_00460_SEQ_04",""
5,"TEXT_CLSACN250_00460_SEQ_05",""
6,"TEXT_CLSACN250_00460_SEQ_06",""
7,"TEXT_CLSACN250_00460_SEQ_07",""
8,"TEXT_CLSACN250_00460_SEQ_08",""
9,"TEXT_CLSACN250_00460_SEQ_09",""
10,"TEXT_CLSACN250_00460_SEQ_10",""
11,"TEXT_CLSACN250_00460_SEQ_11",""
12,"TEXT_CLSACN250_00460_SEQ_12",""
13,"TEXT_CLSACN250_00460_SEQ_13",""
14,"TEXT_CLSACN250_00460_SEQ_14",""
15,"TEXT_CLSACN250_00460_SEQ_15",""
16,"TEXT_CLSACN250_00460_SEQ_16",""
17,"TEXT_CLSACN250_00460_SEQ_17",""
18,"TEXT_CLSACN250_00460_SEQ_18",""
19,"TEXT_CLSACN250_00460_SEQ_19",""
20,"TEXT_CLSACN250_00460_SEQ_20",""
21,"TEXT_CLSACN250_00460_SEQ_21",""
22,"TEXT_CLSACN250_00460_SEQ_22",""
23,"TEXT_CLSACN250_00460_SEQ_23",""
24,"TEXT_CLSACN250_00460_TODO_00","～にイベントアクションする、アイテム～を貰う"
25,"TEXT_CLSACN250_00460_TODO_01","～にイベントアクションする、アイテム～を貰う"
26,"TEXT_CLSACN250_00460_TODO_02","～にイベントアクションする、アイテム～を貰う"
27,"TEXT_CLSACN250_00460_TODO_03","～にイベントアクションする、アイテム～を貰う"
28,"TEXT_CLSACN250_00460_TODO_04","～にイベントアクションする、アイテム～を貰う"
29,"TEXT_CLSACN250_00460_TODO_05","～にエモートする"
30,"TEXT_CLSACN250_00460_TODO_06","～にエモートする"
31,"TEXT_CLSACN250_00460_TODO_07","～にアイテムを渡す"
32,"TEXT_CLSACN250_00460_TODO_08","～と話す"
33,"TEXT_CLSACN250_00460_TODO_09",""
34,"TEXT_CLSACN250_00460_TODO_10",""
35,"TEXT_CLSACN250_00460_TODO_11",""
36,"TEXT_CLSACN250_00460_TODO_12",""
37,"TEXT_CLSACN250_00460_TODO_13",""
