key,0,1
#,,
int32,str,str
0,"TEXT_CLSCNJ006_00441_SEQ_00","Brother E–Sumi–Yan would have you investigate the creeping corruption which threatens the Twelveswood."
1,"TEXT_CLSCNJ006_00441_SEQ_01","Brother E–Sumi–Yan has tasked you and Sylphie with discerning the nature of the corruption spreading through the Twelveswood. Head to Quarrymill in the South Shroud and search the surrounding area for elemental disturbances."
2,"TEXT_CLSCNJ006_00441_SEQ_02","You have located and cleansed a patch of corrupted soil. Speak with Sylphie and determine your next move."
3,"TEXT_CLSCNJ006_00441_SEQ_03","Sylphie senses the taint of further corruption. Follow her directions, and seek out another disturbance."
4,"TEXT_CLSCNJ006_00441_SEQ_04","You have cleansed a second patch of corrupted soil. Speak with Sylphie once more."
5,"TEXT_CLSCNJ006_00441_SEQ_05","Despite your best efforts, Sylphie is certain that the forest still harbors unseen corruption. Trust in her senses, and search for a further elemental disturbance."
6,"TEXT_CLSCNJ006_00441_SEQ_06","You have cleansed a third patch of corrupted soil. Consult Sylphie as to whether your work in the forest is done."
7,"TEXT_CLSCNJ006_00441_SEQ_07","Worryingly, Sylphie insists that an even greater source of corruption yet remains... Follow the young conjurer to the southeast."
8,"TEXT_CLSCNJ006_00441_SEQ_08","You have defeated Akoman. Return to Stillglade Fane and report to Brother E–Sumi–Yan."
9,"TEXT_CLSCNJ006_00441_SEQ_09","At last, Sylphie has felt the embrace of nature and is ready to set forth upon the path of conjury alone. Observing that your experiences alongside the young conjurer have served to deepen your own understanding of the art, Brother E–Sumi rewards you with the potent healing spell Cure II. Though your tutelage under the guildmaster has come to an end, your journey as a conjurer continues ever onwards."
10,"TEXT_CLSCNJ006_00441_SEQ_10","dummy"
11,"TEXT_CLSCNJ006_00441_SEQ_11","dummy"
12,"TEXT_CLSCNJ006_00441_SEQ_12","dummy"
13,"TEXT_CLSCNJ006_00441_SEQ_13","dummy"
14,"TEXT_CLSCNJ006_00441_SEQ_14","dummy"
15,"TEXT_CLSCNJ006_00441_SEQ_15","dummy"
16,"TEXT_CLSCNJ006_00441_SEQ_16","dummy"
17,"TEXT_CLSCNJ006_00441_SEQ_17","dummy"
18,"TEXT_CLSCNJ006_00441_SEQ_18","dummy"
19,"TEXT_CLSCNJ006_00441_SEQ_19","dummy"
