key,0,1
#,,
int32,str,str
0,"TEXT_CLSWDK009_00538_SEQ_00","木工師ギルドのベアティヌは、なにやらひどく落ち込んでいるようだが……。"
1,"TEXT_CLSWDK009_00538_SEQ_01","落ち込んでいるベアティヌから、子供と遊んでいてほしいと頼まれた。「どんぐり遊園」にいる「ニコリオー」に声をかけよう。"
2,"TEXT_CLSWDK009_00538_SEQ_02","ゲイルハードとベアティヌが、仲たがいしてしまったらしい。ニコリオーから、仲直りさせるのを手伝うよう頼まれた。依頼を引き受けるため、「双蛇党の統合司令部」にいる「ゲイルハード」に声をかけよう。"
3,"TEXT_CLSWDK009_00538_SEQ_03","ゲイルハードから「<Sheet(ItemHQ,1937,0)/>」「<Sheet(ItemHQ,1862,0)/>」「<Sheet(ItemHQ,2039,0)/>」をひとつずつ製作し、ベアティヌに見てもらうよう頼まれた。依頼された品を、それぞれひとつ調達し「木工師ギルド」の「ベアティヌ」に見せよう。"
4,"TEXT_CLSWDK009_00538_SEQ_04","ベアティヌから、出来栄えを褒めてもらうことができた。「<Sheet(ItemHQ,1937,0)/>」「itemNameHQ=1862>」「<Sheet(ItemHQ,2039,0)/>」を、「双蛇党の統合司令部」にいる「ゲイルハード」に届けよう。"
5,"TEXT_CLSWDK009_00538_SEQ_05","ゲイルハードは、冒険者の作った武器に感銘を受けたようだ。「木工師ギルド」の「ベアティヌ」に報告に戻ろう。"
6,"TEXT_CLSWDK009_00538_SEQ_06","ベアティヌは、遠征に発ったゲイルハードに、最後まで新しい弓を渡せなかったことを心残りにしているようだ。過酷な戦場に赴いた彼が、無事、戻ってくることを願おう。

※木工師のレベルが50になると、ベアティヌから
　次の木工師クエストを受注することができます。"
7,"TEXT_CLSWDK009_00538_SEQ_07",""
8,"TEXT_CLSWDK009_00538_SEQ_08",""
9,"TEXT_CLSWDK009_00538_SEQ_09",""
10,"TEXT_CLSWDK009_00538_SEQ_10",""
11,"TEXT_CLSWDK009_00538_SEQ_11",""
12,"TEXT_CLSWDK009_00538_SEQ_12",""
13,"TEXT_CLSWDK009_00538_SEQ_13",""
14,"TEXT_CLSWDK009_00538_SEQ_14",""
15,"TEXT_CLSWDK009_00538_SEQ_15",""
16,"TEXT_CLSWDK009_00538_SEQ_16",""
17,"TEXT_CLSWDK009_00538_SEQ_17",""
