key,0,1
#,,
int32,str,str
0,"TEXT_MANWIL201_00547_SEQ_00",""
1,"TEXT_MANWIL201_00547_SEQ_01",""
2,"TEXT_MANWIL201_00547_SEQ_02","-1"
3,"TEXT_MANWIL201_00547_SEQ_03",""
4,"TEXT_MANWIL201_00547_SEQ_04",""
5,"TEXT_MANWIL201_00547_SEQ_05",""
6,"TEXT_MANWIL201_00547_SEQ_06",""
7,"TEXT_MANWIL201_00547_SEQ_07",""
8,"TEXT_MANWIL201_00547_SEQ_08",""
9,"TEXT_MANWIL201_00547_SEQ_09",""
10,"TEXT_MANWIL201_00547_SEQ_10",""
11,"TEXT_MANWIL201_00547_SEQ_11",""
12,"TEXT_MANWIL201_00547_SEQ_12",""
13,"TEXT_MANWIL201_00547_SEQ_13",""
14,"TEXT_MANWIL201_00547_SEQ_14",""
15,"TEXT_MANWIL201_00547_SEQ_15",""
16,"TEXT_MANWIL201_00547_SEQ_16",""
17,"TEXT_MANWIL201_00547_SEQ_17",""
18,"TEXT_MANWIL201_00547_SEQ_18",""
19,"TEXT_MANWIL201_00547_SEQ_19",""
20,"TEXT_MANWIL201_00547_SEQ_20",""
21,"TEXT_MANWIL201_00547_SEQ_21",""
22,"TEXT_MANWIL201_00547_SEQ_22",""
23,"TEXT_MANWIL201_00547_SEQ_23",""
24,"TEXT_MANWIL201_00547_TODO_00",""
25,"TEXT_MANWIL201_00547_TODO_01",""
26,"TEXT_MANWIL201_00547_TODO_02",""
27,"TEXT_MANWIL201_00547_TODO_03",""
28,"TEXT_MANWIL201_00547_TODO_04",""
29,"TEXT_MANWIL201_00547_TODO_05",""
30,"TEXT_MANWIL201_00547_TODO_06",""
31,"TEXT_MANWIL201_00547_TODO_07",""
32,"TEXT_MANWIL201_00547_TODO_08",""
33,"TEXT_MANWIL201_00547_TODO_09",""
34,"TEXT_MANWIL201_00547_TODO_10",""
35,"TEXT_MANWIL201_00547_TODO_11",""
36,"TEXT_MANWIL201_00547_TODO_12",""
37,"TEXT_MANWIL201_00547_TODO_13",""
38,"TEXT_MANWIL201_00547_TODO_14",""
39,"TEXT_MANWIL201_00547_TODO_15",""
40,"TEXT_MANWIL201_00547_TODO_16",""
41,"TEXT_MANWIL201_00547_TODO_17",""
42,"TEXT_MANWIL201_00547_TODO_18",""
