key,0,1
#,,
int32,str,str
0,"TEXT_CLSGLD450_00657_SEQ_00","彫金師ギルドのセレンディピティーは、冒険者に仕事を紹介したいようだ。"
1,"TEXT_CLSGLD450_00657_SEQ_01","おなじみのロロトンから、また依頼があった。今度の注文は依頼品は「<Sheet(ItemHQ,2876,0)/>」、「<Sheet(ItemHQ,2872,0)/>」、「<Sheet(ItemHQ,2878,0)/>」。完成したら、「彫金師ギルド」の「セレンディピティー」に見せよう。"
2,"TEXT_CLSGLD450_00657_SEQ_02","冒険者の作ったサークレットは、ネジによるとちょっぴりエクセレンツ、だったようだ。銀冑団の「ロバート」が冒険者に折り入って相談したいことがあるそうだ。ロロトンに届ける前に、彼に話を聞こう。"
3,"TEXT_CLSGLD450_00657_SEQ_03","ロバートは、ロロトンが「狐のジェイド」ではないかと疑っているようだ。「ルビーロード国際市場」の「ロロトン」に一度問いただしてみよう。"
4,"TEXT_CLSGLD450_00657_SEQ_04","ロロトンに納品し、素性を問いただしてみた。しかし、ロロトンには後ろ暗いところはなさそうだ。ナナモ女王陛下の誕生式典で何も起こらなければよいが……。「彫金師ギルド」の「セレンディピティー」にも伝えておこう。"
5,"TEXT_CLSGLD450_00657_SEQ_05","

※彫金師のレベルが50以上になると、セレンディピティーから次の彫金師クエストを受注することができます。"
6,"TEXT_CLSGLD450_00657_SEQ_06",""
7,"TEXT_CLSGLD450_00657_SEQ_07",""
8,"TEXT_CLSGLD450_00657_SEQ_08",""
9,"TEXT_CLSGLD450_00657_SEQ_09",""
10,"TEXT_CLSGLD450_00657_SEQ_10",""
11,"TEXT_CLSGLD450_00657_SEQ_11",""
12,"TEXT_CLSGLD450_00657_SEQ_12",""
13,"TEXT_CLSGLD450_00657_SEQ_13",""
14,"TEXT_CLSGLD450_00657_SEQ_14",""
15,"TEXT_CLSGLD450_00657_SEQ_15",""
16,"TEXT_CLSGLD450_00657_SEQ_16",""
17,"TEXT_CLSGLD450_00657_SEQ_17",""
18,"TEXT_CLSGLD450_00657_SEQ_18",""
19,"TEXT_CLSGLD450_00657_SEQ_19",""
20,"TEXT_CLSGLD450_00657_SEQ_20",""
21,"TEXT_CLSGLD450_00657_SEQ_21",""
22,"TEXT_CLSGLD450_00657_SEQ_22",""
23,"TEXT_CLSGLD450_00657_SEQ_23",""
