key,0,1
#,,
int32,str,str
0,"TEXT_CLSMIN400_00644_SEQ_00","採掘師ギルドのアダルベルタは、冒険者に仕事を依頼したいようだ。"
1,"TEXT_CLSMIN400_00644_SEQ_01","「ワイド・ガリー」が冒険者に話があるらしい。採掘の仕事にとりかかる前に、彼と話してみよう。"
2,"TEXT_CLSMIN400_00644_SEQ_02","ワイド・ガリーから、依頼された鉱石を手に入れられるのはどちらか、勝負を挑まれた。彼に負けてはいられない。「<Sheet(ItemHQ,5168,0)/>」を入手し、「採掘師ギルド」の「アダルベルタ」に納品しよう。"
3,"TEXT_CLSMIN400_00644_SEQ_03","「<Sheet(ItemHQ,5168,0)/>」を無事納品した。一方、ワイド・ガリーは鉱石を入手する途中で魔物に襲われて怪我をしたらしい。勝負に負けたことで、彼はひどく落ち込んでいるらしい。このまま挫折してしまわなければよいが……。

※採掘師のレベルが45以上になると、アダルベルタから次の採掘師クエストを受注することができます。"
4,"TEXT_CLSMIN400_00644_SEQ_04",""
5,"TEXT_CLSMIN400_00644_SEQ_05",""
6,"TEXT_CLSMIN400_00644_SEQ_06",""
7,"TEXT_CLSMIN400_00644_SEQ_07",""
8,"TEXT_CLSMIN400_00644_SEQ_08",""
9,"TEXT_CLSMIN400_00644_SEQ_09",""
10,"TEXT_CLSMIN400_00644_SEQ_10",""
11,"TEXT_CLSMIN400_00644_SEQ_11",""
12,"TEXT_CLSMIN400_00644_SEQ_12",""
13,"TEXT_CLSMIN400_00644_SEQ_13",""
14,"TEXT_CLSMIN400_00644_SEQ_14",""
15,"TEXT_CLSMIN400_00644_SEQ_15",""
16,"TEXT_CLSMIN400_00644_SEQ_16",""
17,"TEXT_CLSMIN400_00644_SEQ_17",""
18,"TEXT_CLSMIN400_00644_SEQ_18",""
19,"TEXT_CLSMIN400_00644_SEQ_19",""
20,"TEXT_CLSMIN400_00644_SEQ_20",""
21,"TEXT_CLSMIN400_00644_SEQ_21",""
22,"TEXT_CLSMIN400_00644_SEQ_22",""
23,"TEXT_CLSMIN400_00644_SEQ_23",""
24,"TEXT_CLSMIN400_00644_TODO_00","採掘師ギルドのワイド・ガリーと話す"
25,"TEXT_CLSMIN400_00644_TODO_01","採掘師ギルドのアダルベルタに<Sheet(ItemHQ,5168,0)/>を納品"
