key,0,1
#,,
int32,str,str
0,"TEXT_CLSWVR450_00653_SEQ_00","裁縫師ギルドのレドレント・ローズは、ワワルッカからの注文を冒険者に任せたい。"
1,"TEXT_CLSWVR450_00653_SEQ_01","ワワルッカがまた服を注文してきた。しかし、このまま彼のセンスにまかせていては、いつまでたっても告白できない。レドレント・ローズは独断で、別の服を作ることにしてしまった。「採掘師ギルド」の「ワワルッカ」に納品物が変わることを伝えよう。"
2,"TEXT_CLSWVR450_00653_SEQ_02","納品物が変わることに、ワワルッカは異論がないようだ。自分で選んでいるとどうしても変になる、とわかっていたらしい。彼のために「<Sheet(ItemHQ,3176,0)/>」と「<Sheet(ItemHQ,3429,0)/>」、「<Sheet(ItemHQ,2829,0)/>」を作ろう。納品先は「裁縫師ギルド」の「レドレント・ローズ」だ。"
3,"TEXT_CLSWVR450_00653_SEQ_03","立派な紳士の姿になったワワルッカだが、この服は無駄になったと言い出した。どうやら、裁縫師ギルドに来る前に、ココモが別の男性とデートしているのを目撃したらしい。自分がどんなに頑張っても、金持ちのまね事、ココモの隣には立てないと言って去ってしまった。レドレント・ローズは放っておくしかないと言うが……。

※裁縫師のレベルが50以上になると、レドレント・ローズから
　次の裁縫師クエストを受注することができます。"
4,"TEXT_CLSWVR450_00653_SEQ_04",""
5,"TEXT_CLSWVR450_00653_SEQ_05",""
6,"TEXT_CLSWVR450_00653_SEQ_06",""
7,"TEXT_CLSWVR450_00653_SEQ_07",""
8,"TEXT_CLSWVR450_00653_SEQ_08",""
9,"TEXT_CLSWVR450_00653_SEQ_09",""
10,"TEXT_CLSWVR450_00653_SEQ_10",""
11,"TEXT_CLSWVR450_00653_SEQ_11",""
12,"TEXT_CLSWVR450_00653_SEQ_12",""
13,"TEXT_CLSWVR450_00653_SEQ_13",""
14,"TEXT_CLSWVR450_00653_SEQ_14",""
15,"TEXT_CLSWVR450_00653_SEQ_15",""
16,"TEXT_CLSWVR450_00653_SEQ_16",""
17,"TEXT_CLSWVR450_00653_SEQ_17",""
18,"TEXT_CLSWVR450_00653_SEQ_18",""
19,"TEXT_CLSWVR450_00653_SEQ_19",""
20,"TEXT_CLSWVR450_00653_SEQ_20",""
21,"TEXT_CLSWVR450_00653_SEQ_21",""
22,"TEXT_CLSWVR450_00653_SEQ_22",""
