key,0,1,2
#,Item,Order,Category
int32,Item,uint16,CabinetCategory
0,2897,1,1
1,3220,2,1
2,3458,3,1
3,3682,4,1
4,3889,5,1
5,2898,6,1
6,3221,7,1
7,3459,8,1
8,3683,9,1
9,3890,10,1
10,2899,11,1
11,3222,12,1
12,3460,13,1
13,3684,14,1
14,3891,15,1
15,2900,16,1
16,3223,17,1
17,3461,18,1
18,3685,19,1
19,3892,20,1
20,2901,21,1
21,3224,22,1
22,3462,23,1
23,3686,24,1
24,3893,25,1
25,2902,26,1
26,3225,27,1
27,3463,28,1
28,3687,29,1
29,3894,30,1
30,2903,31,1
31,3226,32,1
32,3464,33,1
33,3690,34,1
34,3895,35,1
35,2645,1,2
36,2646,2,2
37,2647,3,2
38,2648,4,2
39,4301,10,2
40,4302,11,2
41,4303,12,2
42,4200,13,2
43,2659,14,2
44,2707,15,2
45,2751,16,2
46,2809,17,2
47,2671,18,2
48,4404,19,2
49,4407,20,2
50,4406,21,2
51,4405,22,2
52,4408,23,2
53,2973,24,2
54,2974,25,2
55,2975,26,2
56,2976,27,2
57,2977,28,2
58,2978,31,2
59,2979,32,2
60,2980,33,2
61,2981,34,2
62,2982,35,2
63,3286,38,2
64,3287,39,2
65,3288,40,2
66,3289,41,2
67,3290,42,2
68,3291,45,2
69,3292,46,2
70,3293,47,2
71,3294,48,2
72,3295,49,2
73,2638,66,2
74,2639,67,2
75,2640,68,2
76,2641,69,2
77,2643,72,2
78,2966,73,2
79,4199,74,2
80,4319,14,4
81,2967,52,2
82,2968,53,2
83,2969,54,2
84,2970,55,2
85,2971,56,2
86,2972,57,2
87,3280,58,2
88,3281,59,2
89,3282,60,2
90,3283,61,2
91,3284,62,2
92,3285,63,2
93,3748,64,2
94,3749,65,2
95,2773,15,4
96,3323,16,4
97,2752,17,4
98,2649,18,4
99,4287,19,4
100,2907,1,3
101,2908,2,3
102,2909,3,3
103,2910,5,3
104,2326,8,3
105,2353,9,3
106,2378,10,3
107,2403,11,3
108,2428,12,3
109,2454,13,3
110,2479,14,3
111,2505,15,3
112,2531,16,3
113,2557,17,3
114,2583,18,3
115,2222,38,3
116,2223,40,3
117,2221,39,3
118,4274,41,3
119,4275,43,3
120,4276,42,3
121,4517,44,3
122,4518,46,3
123,4519,45,3
124,2784,51,3
125,2914,50,3
126,2904,36,1
127,3227,37,1
128,3465,38,1
129,3688,39,1
130,3896,40,1
131,2905,41,1
132,3228,42,1
133,3466,43,1
134,3689,44,1
135,3897,45,1
136,2633,5,4
137,2634,6,4
138,4201,7,4
139,4202,8,4
140,4203,9,4
141,6102,10,4
142,6103,11,4
143,6104,12,4
144,6105,13,4
145,0,0,0
146,0,0,0
147,0,0,0
148,0,0,0
149,0,0,0
150,2632,1,4
151,2637,2,4
152,3519,3,4
153,3744,4,4
154,0,5,2
155,0,6,2
156,0,7,2
157,0,8,2
158,0,9,2
159,6094,29,2
160,6096,30,2
161,6098,36,2
162,6100,37,2
163,6095,43,2
164,6097,44,2
165,6099,50,2
166,6101,51,2
167,6107,70,2
168,6108,71,2
169,6111,4,3
170,0,6,3
171,6110,7,3
172,6119,19,3
173,6120,20,3
174,6121,21,3
175,6122,22,3
176,6123,23,3
177,6124,24,3
178,6125,25,3
179,6126,26,3
180,6127,27,3
181,6128,28,3
182,6129,29,3
183,6130,30,3
184,6131,31,3
185,6132,32,3
186,6133,33,3
187,6134,34,3
188,6135,35,3
189,6136,36,3
190,6137,37,3
191,6116,47,3
192,6117,48,3
193,6118,49,3
194,2994,52,3
195,2327,46,1
196,2354,47,1
197,2379,48,1
198,2404,49,1
199,2429,50,1
200,2455,51,1
201,2480,52,1
202,2506,53,1
203,2532,54,1
204,2558,55,1
205,2584,56,1
206,6033,75,2
207,6035,76,2
208,6034,77,2
209,6036,78,2
210,6037,79,2
211,6038,80,2
212,6039,81,2
213,6040,82,2
214,6045,83,2
215,6046,84,2
216,6047,85,2
217,6048,86,2
218,6041,87,2
219,6042,88,2
220,6043,89,2
221,6044,90,2
222,0,0,0
223,0,0,0
224,0,0,0
225,0,0,0
226,0,0,0
227,0,0,0
228,0,0,0
229,0,0,0
230,0,0,0
231,0,0,0
232,0,0,0
233,0,0,0
234,0,0,0
235,0,0,0
236,0,0,0
237,0,0,0
238,0,0,0
239,0,0,0
240,0,0,0
241,0,0,0
242,0,0,0
243,0,0,0
244,0,0,0
245,0,0,0
246,0,0,0
247,0,0,0
248,0,0,0
249,0,0,0
250,0,0,0
251,0,0,0
252,0,0,0
253,0,0,0
254,0,0,0
255,0,0,0
