key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
#,Name,Abbreviation,,ClassJobCategory,ExpArrayIndex,BattleClassIndex,,JobIndex,DohDolJobIndex,Modifier{HitPoints},Modifier{ManaPoints},Modifier{Strength},Modifier{Vitality},Modifier{Dexterity},Modifier{Intelligence},Modifier{Mind},Modifier{Piety},,,,,,,,,,PvPActionSortRow,,ClassJob{Parent},Name{English},Item{StartingWeapon},
int32,str,str,str,ClassJobCategory,sbyte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,byte,bool,str,int32,int32,byte,byte,sbyte,byte,ClassJob,uint16,Item,byte
0,"adventurer","ADV","",30,-1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,False,"Adventurer",0,0,0,0,127,0,0,0,0,0
1,"gladiator","GLA","剣",30,1,110,50,95,100,90,50,95,80,100,100,100,100,100,100,1,False,"Gladiator",1601,0,1,3,0,3,197,198,199,1
2,"pugilist","PGL","格",30,0,105,35,100,95,100,45,85,60,100,100,100,100,100,100,2,False,"Pugilist",1680,0,2,3,1,1,200,201,202,2
3,"marauder","MRD","斧",30,2,115,30,100,100,90,30,50,40,100,100,100,100,100,100,3,False,"Marauder",1749,0,1,1,2,3,197,198,199,3
4,"lancer","LNC","槍",30,4,110,40,105,100,95,40,60,70,100,100,100,100,100,100,4,False,"Lancer",1819,0,2,2,3,1,200,201,202,4
5,"archer","ARC","弓",30,3,100,70,85,95,105,80,75,80,100,100,100,100,100,100,5,False,"Archer",1889,0,3,2,4,2,206,207,208,5
6,"conjurer","CNJ","幻",31,6,100,115,50,95,100,100,105,110,100,100,100,100,100,100,6,False,"Conjurer",1995,0,4,2,5,5,206,207,208,6
7,"thaumaturge","THM","呪",31,5,100,120,40,95,95,105,70,115,100,100,100,100,100,100,7,False,"Thaumaturge",2055,0,3,3,6,4,203,204,205,7
8,"carpenter","CRP","木",33,7,100,100,90,105,100,90,90,90,100,100,100,100,100,100,8,False,"Carpenter",0,0,0,0,127,0,0,0,0,101
9,"blacksmith","BSM","鍛",33,8,100,100,105,90,90,90,100,90,100,100,100,100,100,100,9,False,"Blacksmith",0,0,0,0,127,0,0,0,0,102
10,"armorer","ARM","甲",33,9,100,100,100,105,90,90,90,90,100,100,100,100,100,100,10,False,"Armorer",0,0,0,0,127,0,0,0,0,103
11,"goldsmith","GSM","彫",33,10,100,100,90,90,105,100,90,90,100,100,100,100,100,100,11,False,"Goldsmith",0,0,0,0,127,0,0,0,0,104
12,"leatherworker","LTW","革",33,11,100,100,90,105,90,100,90,90,100,100,100,100,100,100,12,False,"Leatherworker",0,0,0,0,127,0,0,0,0,105
13,"weaver","WVR","裁",33,12,100,100,90,90,105,90,100,90,100,100,100,100,100,100,13,False,"Weaver",0,0,0,0,127,0,0,0,0,106
14,"alchemist","ALC","錬",33,13,100,100,90,90,90,105,90,100,100,100,100,100,100,100,14,False,"Alchemist",0,0,0,0,127,0,0,0,0,107
15,"culinarian","CUL","調",33,14,100,100,90,90,90,90,105,100,100,100,100,100,100,100,15,False,"Culinarian",0,0,0,0,127,0,0,0,0,108
16,"miner","MIN","採",32,15,100,100,100,90,90,90,100,90,100,100,100,100,100,100,16,False,"Miner",0,0,0,0,127,0,0,0,0,201
17,"botanist","BTN","園",32,16,100,100,90,90,100,100,90,90,100,100,100,100,100,100,17,False,"Botanist",0,0,0,0,127,0,0,0,0,202
18,"fisher","FSH","漁",32,17,100,100,100,100,100,100,100,100,100,100,100,100,100,100,18,False,"Fisher",0,0,0,0,127,0,0,0,0,203
19,"paladin","PLD","ナ",30,1,120,60,100,110,95,60,100,85,100,100,100,100,100,100,1,True,"Paladin",0,0,1,0,0,3,197,198,199,51
20,"monk","MNK","モ",30,0,110,45,110,100,105,50,90,65,100,100,100,100,100,100,2,True,"Monk",0,0,2,0,1,1,200,201,202,52
21,"warrior","WAR","戦",30,2,125,40,105,110,95,40,55,45,100,100,100,100,100,100,3,True,"Warrior",0,0,1,0,2,3,197,198,199,53
22,"dragoon","DRG","竜",30,4,115,50,115,105,100,45,65,75,100,100,100,100,100,100,4,True,"Dragoon",0,0,2,0,3,1,200,201,202,54
23,"bard","BRD","吟",30,3,105,80,90,100,115,85,80,85,100,100,100,100,100,100,5,True,"Bard",0,0,3,0,4,2,206,207,208,55
24,"white mage","WHM","白",31,6,105,120,55,100,105,105,115,120,100,100,100,100,100,100,6,True,"White Mage",0,0,4,0,5,5,206,207,208,56
25,"black mage","BLM","黒",31,5,105,125,45,100,100,115,75,120,100,100,100,100,100,100,7,True,"Black Mage",0,0,3,0,6,4,203,204,205,57
26,"arcanist","ACN","巴",31,18,100,110,85,95,95,105,75,100,100,100,100,100,100,100,26,False,"Arcanist",2142,0,3,1,7,4,203,204,205,8
27,"summoner","SMN","召",31,18,105,110,90,100,100,115,80,105,100,100,100,100,100,100,26,True,"Summoner",0,0,3,0,7,4,203,204,205,58
28,"scholar","SCH","学",31,18,105,115,90,100,100,105,115,120,100,100,100,100,100,100,26,True,"Scholar",0,0,4,0,7,6,206,207,208,59
