key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
#,Name,Description,Animation{Start},Animation{End},Icon,ClassJob,ClassJobCategory,ClassJobLevel,QuestRequirement,Specialist,,Cost,CRP,BSM,ARM,GSM,LTW
int32,str,str,ActionTimeline,ActionTimeline,Image,ClassJob,ClassJobCategory,byte,Quest,int32,int32,int32,CraftAction,CraftAction,CraftAction,CraftAction,CraftAction
100000,"","",0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0
100001,"Basic Synthesis","Increases progress.
<Color(52258)>Efficiency:</Color> 100%  <Color(52258)>Success Rate:</Color> 90%",239,246,2001,8,9,1,0,100001,100015,100030,100075,100045,100060,100090,100105
100002,"Basic Touch","Increases quality.
<Color(52258)>Efficiency:</Color> 100%  <Color(52258)>Success Rate:</Color> 70%",240,247,2002,8,9,5,18,100002,100016,100031,100076,100046,100061,100091,100106
100003,"Master's Mend","Restores item durability by 30.",242,249,2007,8,9,7,92,100003,100017,100032,100077,100047,100062,100092,100107
100004,"Standard Touch","Increases quality.
<Color(52258)>Efficiency:</Color> 125%  <Color(52258)>Success Rate:</Color> 80%",240,247,2016,8,9,18,32,100004,100018,100034,100078,100048,100064,100093,100109
100005,"Master's Mend II","Restores item durability by 60.",242,249,2020,8,9,25,160,100005,100019,100035,100079,100049,100065,100094,100110
100006,"Brand of Wind","Increases progress. Progress doubles when recipe affinity is wind.
<Color(52258)>Efficiency:</Color> 100% (200%)  <Color(52258)>Success Rate:</Color> 90%",239,246,2009,8,33,37,15,100006,100006,100006,100006,100006,100006,100006,100006
100007,"Standard Synthesis","Increases progress.
<Color(52258)>Efficiency:</Color> 150%  <Color(52258)>Success Rate:</Color> 90%",239,246,2015,8,9,31,15,100007,100021,100037,100080,100051,100067,100096,100111
100008,"Advanced Touch","Increases quality.
<Color(52258)>Efficiency:</Color> 150%  <Color(52258)>Success Rate:</Color> 90%",240,247,2017,8,9,43,48,100008,100022,100038,100081,100052,100068,100097,100112
