key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
#,EventHandler,Important,ENpcData[0],ENpcData[1],ENpcData[2],ENpcData[3],ENpcData[4],ENpcData[5],ENpcData[6],ENpcData[7],ENpcData[8],ENpcData[9],ENpcData[10],ENpcData[11],ENpcData[12],ENpcData[13],ENpcData[14],ENpcData[15],ENpcData[16],ENpcData[17],ENpcData[18],ENpcData[19],ENpcData[20],ENpcData[21],ENpcData[22],ENpcData[23],ENpcData[24],ENpcData[25],ENpcData[26],ENpcData[27],ENpcData[28],ENpcData[29],ENpcData[30],ENpcData[31],Scale,ModelChara,Race,Gender,BodyType,Height,Tribe,Face,HairStyle,HairHighlight,SkinColor,EyeHeterochromia,HairColor,HairHighlightColor,FacialFeature,FacialFeatureColor,Eyebrows,EyeColor,EyeShape,Nose,Jaw,Mouth,LipColor,BustOrTone1,ExtraFeature1,ExtraFeature2OrBust,FacePaint,FacePaintColor,,NpcEquip,Behavior,Model{MainHand},Dye{MainHand},Dye2{MainHand},Model{OffHand},Dye{OffHand},Dye2{OffHand},Model{Head},Dye{Head},Dye2{Head},Visor,Model{Body},Dye{Body},Dye2{Body},Model{Hands},Dye{Hands},Dye2{Hands},Model{Legs},Dye{Legs},Dye2{Legs},Model{Feet},Dye{Feet},Dye2{Feet},Model{Ears},Dye{Ears},Dye2{Ears},Model{Neck},Dye{Neck},Dye2{Neck}
int32,uint16,bool,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,Row,single,ModelChara,Race,byte,byte,byte,Tribe,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,byte,NpcEquip,Behavior,byte,Stain,Stain,uint32,Stain,Stain,uint32,Stain,Stain,byte,uint32,Stain,Stain,byte,Stain,Stain,uint32,Stain,Stain,byte,Stain,Stain,uint32,Stain,Stain,byte,Stain,Stain
1000000,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000001,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000002,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000003,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000004,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000005,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000006,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
1000007,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0, 0, 0, 0",0,"0, 0, 0, 0",0,0,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,0
