key,0,1,2
#,,,
int32,str,str,str
0,"You do understand this is dummy text, right?","Of course","Er..."
1,"Collect the magitek photocell?","Yes","No"
2,"Leave <Sheet(InstanceContent,PlayerParameter(73),13)/>?","Yes","No"
3,"Leave <Sheet(InstanceContent,PlayerParameter(73),13)/>?","Yes","No"
4,"Destroy the cultist rosary?","Yes","No"
5,"Affix the magitek photocells to the terminal?","Yes","No"
6,"Leave <Sheet(InstanceContent,PlayerParameter(73),13)/>?","Yes","No"
7,"Leave <Sheet(InstanceContent,PlayerParameter(73),13)/> with your party?
※Do not forget to collect your reward if applicable.
※Refer to the Timers tab for information on how long you must wait to return to this area.","Yes","No"
8,"Leave duty?","Yes","No"
9,"Open the sealed door with a tiny key?","Yes","No"
10,"Activate the crane?","Yes","No"
11,"Proceed with the detonation?","Yes","No"
12,"You find a switch. Press it?","Yes","No"
13,"Pick up the key?","Yes","No"
14,"専用鍵Aを取得しますか？","はい","いいえ"
15,"専用鍵Bを取得しますか？","はい","いいえ"
16,"専用鍵Cを取得しますか？","はい","いいえ"
17,"専用鍵Dを取得しますか？","はい","いいえ"
18,"Use a tiny key to unlock the door?","Yes","No"
19,"Unlock the Ivy Door?","Yes","No"
20,"Unlock the Carnation Door?","Yes","No"
21,"Unlock the Lily Door?","Yes","No"
22,"Unlock the Rose Door?","Yes","No"
23,"Extinguish the flame?","Yes","No"
24,"Destroy the crystal ball?","Yes","No"
25,"Extinguish the void lamp?","Yes","No"
26,"Pull the lever and open the gate?","Yes","No"
27,"(仮)怪樹の根に触れますか？","はい","いいえ"
28,"(仮)怪樹の実に触れますか？","はい","いいえ"
29,"Use the cultist rosary?","Yes","No"
30,"Use the magitek transporter?","Yes","No"
31,"Read from the bloody parchment?","Yes","No"
32,"Pull the lift lever?","Yes","No"
33,"Pull the lift lever?","Yes","No"
34,"Activate the blasting device?","Yes","No"
35,"Add 12 onzes of firesand to the powder chamber?","Yes","No"
36,"Utilize the shortcut?","Yes","No"
37,"Unlock the Runstop Headgate?","Yes","No"
38,"Use <SheetEn(EventItem,2,IntegerParameter(1),1,1)/>?","Yes","No"
39,"You find a switch. Press it?","Yes","No"
40,"Enter the aetherial flow?","Yes","No"
41,"Enter the aetherial flow?","Yes","No"
42,"Trigger the trap?","Yes","No"
43,"Pull the lever and open the gate?","Yes","No"
44,"Unlock the door to the captain's quarters?","Yes","No"
45,"Unlock Waverider Gate?","Yes","No"
46,"Unlock the door to the Hole?","Yes","No"
47,"Tip the Scales of Judgment?","Yes","No"
48,"Jump into the quicksand?","Yes","No"
49,"Use the imperial identification key to deactivate the lock?","Yes","No"
50,"Jump into the disposal chute?","Yes","No"
51,"Proceed to the next area?","Yes","No"
52,"Use the imperial identification key?","Yes","No"
53,"Use the incendiary #37?","Yes","No"
54,"Activate the Echelon?
※All party members will join you.","Yes","No"
55,"Open the Porta Decumana entryway?
※All party members will join you.","Yes","No"
56,"Summon the lift?","Yes","No"
57,"Activate the lift?","Yes","No"
58,"Strap into the magitek armor?","Yes","No"
59,"Use the lantern oil?","Yes","No"
60,"Teleport onward?","Yes","No"
61,"","",""
62,"","",""
63,"","",""
64,"Entrust yourself to the crystal ball's light?","Yes","No"
65,"Entrust yourself to the crystal ball's light?","Yes","No"
66,"Unlock the Lily Door?","Yes","No"
67,"Unlock the Rose Door?","Yes","No"
68,"Open the sealed door with a tiny key?","Yes","No"
69,"","",""
70,"","",""
