key,0,1,2,3,4,5
#,ModelKey,HousingItemCategory,UsageType,UsageParameter,,CustomTalk
int32,byte,byte,byte,uint32,uint32,CustomTalk
131072,0,17,0,0,0,False
131073,1,17,0,0,6686,False
131074,2,17,0,0,6476,False
131075,3,17,0,0,6479,False
131076,4,17,2,720898,6475,True
131077,5,17,0,0,6481,False
131078,6,17,0,0,6482,False
131079,7,17,0,0,6483,False
131080,8,17,0,0,6484,False
131081,9,17,0,0,6485,False
131082,10,17,0,0,6486,False
131083,11,17,0,0,6487,False
131084,12,17,20,0,6502,True
131085,13,17,0,0,6488,False
131086,14,17,0,0,6489,False
131087,15,17,0,0,6477,False
131088,16,17,0,0,6478,False
131089,17,17,0,0,6480,False
131090,18,17,0,0,6490,False
131091,19,17,0,0,6491,False
131092,20,17,0,0,6687,False
131093,21,17,0,0,6492,False
131094,22,17,0,0,6493,False
131095,23,17,0,0,6494,False
131096,24,17,0,0,6495,False
131097,25,17,0,0,6496,False
131098,26,17,11,0,6497,True
131099,27,17,0,0,6503,False
131100,28,17,12,721037,6498,True
131101,29,17,13,721037,6499,True
131102,30,17,14,0,6500,True
131103,31,17,15,0,6501,True
131104,32,17,0,0,6504,False
131105,33,17,0,0,6505,False
131106,34,17,0,721037,6506,False
131107,35,17,0,0,6507,False
131108,36,17,0,0,6508,False
131109,37,17,0,0,6509,False
131110,38,17,0,0,6510,False
131111,39,17,0,0,6511,False
131112,40,17,0,721037,6512,False
