key,0,1,2,3,4,5,6
#,Type,IconType,Image,TextType,Text[0],Text[1],Text[2]
int32,byte,byte,Image,byte,str,str,str
0,0,0,0,0,"","",""
1,0,0,150011,0,"テキストなし","",""
2,0,0,150012,0,"","",""
3,0,0,0,0,"","",""
4,0,0,0,0,"","",""
5,1,1,150021,1,"Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. Right-click the mark to bring up the quest window.","Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. Right-click the mark to bring up the quest window."
6,1,1,150023,1,"Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <Color(-34022)>confirm</Color> button.","Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <Color(-34022)>confirm</Color> button.","Non-player characters (NPCs) offering quests can be recognized by the <Color(-34022)>exclamation marks</Color> above their heads. To bring up the quest window, speak with the NPC by first targeting him, then pressing the <Color(-34022)>confirm</Color> button."
7,0,0,0,0,"","",""
8,0,0,0,0,"","",""
9,0,0,0,0,"","",""
10,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Click on the <Color(-34022)>Accept</Color> button in the lower left to add the quest to your list of current duties.","",""
11,1,1,150121,0,"Once you've initiated a quest, a prompt will appear detailing its objectives and rewards. Press the <Color(-34022)>Accept</Color> button in the lower left to add the quest to your list of current duties.","",""
12,0,0,0,0,"","",""
13,0,0,0,0,"","",""
14,0,0,0,0,"","",""
15,1,1,150811,1,"Complete a quest by right-clicking the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by right-clicking the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
16,1,1,150812,1,"Complete a quest by speaking to the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points.","Complete a quest by speaking to the NPC with a <Color(-34022)>check mark</Color> displayed above his or her head. Completing quests will earn you a variety of rewards, from items and gil to experience points."
17,0,0,0,0,"","",""
18,0,0,0,0,"","",""
19,0,0,0,0,"","",""
20,1,0,150141,0,"The <Color(-34022)>main menu</Color> grants quick and easy access to most of the game's main features. For example, selecting <Color(-34022)>Character</Color> opens a window containing your character's various attributes and currently equipped gear. Selecting <Color(-34022)>Journal</Color> displays a list of current and completed quests and levequests.","",""
21,1,0,150142,0,"If you wish to customize the game's various settings, including <Color(-34022)>key binding</Color>, <Color(-34022)>HUD layout</Color>, and <Color(-34022)>system configuration</Color>, they all can be accessed via <Color(-34022)>System</Color>.

Select <Color(-34022)>Active Help</Color> to redisplay these tutorial messages.","",""
22,1,0,150143,0,"Game progress is saved automatically, so there are no in-game save or load functions. However, to prevent data from being lost or corrupted, it is strongly recommended that you end each playing session by selecting <Color(-34022)>Log Out</Color> or <Color(-34022)>Exit Game</Color> from the System menu.","",""
23,0,0,0,0,"","",""
24,0,0,0,0,"","",""
25,1,0,150131,0,"The spell <Color(-34022)>Return</Color> can be used to instantly travel back to the aetheryte set as your <Color(-34022)>home point</Color>. Casting the spell does not require any <Color(-34022)>MP</Color> and can be accessed by clicking on the Return icon located in the <Color(-34022)>main menu</Color>. The sole limitation of the spell is that it can only be cast once every <Color(-34022)>15 minutes</Color> (Earth time).","",""
26,1,0,150132,0,"Only one home point may be set at any time. To make an aetheryte your new home point, right-click on the crystal to bring up the aetheryte menu.","",""
27,1,0,150131,0,"The spell <Color(-34022)>Return</Color> can be used to instantly travel back to the aetheryte set as your <Color(-34022)>home point</Color>. Casting the spell does not require any <Color(-34022)>MP</Color> and can be accessed by selecting <Color(-34022)>Return</Color> from the <Color(-34022)>main menu</Color>. The sole limitation of the spell is that it can only be cast once every <Color(-34022)>15 minutes</Color> (Earth time).","",""
28,1,0,150133,0,"Only one home point may be set at any time. To make an aetheryte your new home point, target and select the crystal to bring up the aetheryte menu.","",""
29,0,0,0,0,"","",""
30,1,1,150041,0,"Pressing <Color(-34022)>M</Color> on your keyboard, or clicking the map icon located in the <Color(-34022)>main menu</Color> in the lower right-hand corner of your screen will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.","",""
31,1,1,150042,0,"The location of quest objectives can also be confirmed by clicking on the objective in the <Color(-34022)>duty list</Color>. ","",""
32,1,1,150041,0,"Selecting <Color(-34022)>Map</Color> from the <Color(-34022)>main menu</Color> will bring up the area map. If a quest objective is located in that area, it will be indicated with a special icon.","",""
33,1,1,150042,0,"The location of quest objectives can also be confirmed by selecting the objective in the <Color(-34022)>duty list</Color>. ","",""
34,0,0,0,0,"","",""
35,1,0,150181,0,"You can view, equip, and remove gear by either selecting <Color(-34022)>Character</Color> from the <Color(-34022)>main menu</Color>, or by pressing <Color(-34022)>C</Color> on your keyboard.","",""
