key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
#,Name,Description,LeveClient,,LeveAssignmentType,Town,ClassJobLevel,TimeLimit,AllowanceCost,PlaceName{Start},PlaceName{Issued},FishingSpot,,ClassJobCategory,JournalGenre,PlaceName{StartZone},Icon{CityState},DataId,CanCancel,MaxDifficulty,ExpFactor,ExpReward,GilReward,LeveRewardItem,LeveVfx,LeveVfx{Frame},Level{Levemete},Icon{Issuer},LockedLeve
int32,str,str,LeveClient,int32,LeveAssignmentType,Town,byte,int32,int32,PlaceName,PlaceName,FishingSpot,int32,ClassJobCategory,JournalGenre,PlaceName,Image,Row,uint32,uint32,int32,int32,byte,LeveRewardItem,LeveVfx,LeveVfx,Level,Image,uint16
0,"","",0,0,0,0,0,0,0,False,0,0,0,1,20011,0,True,1,0,0,0,0,0,0,0,0,True,0,14
1,"リーヴテスト01","グリダニア園芸テスト10-0",1,3,2,1,5,1,123,False,18,59,0,17,80012,131074,True,1.5,0,77777,0,0,6,1,4104768,110001,True,0,67
2,"リーヴテスト02","グリダニア園芸テスト10-1",1,3,2,1,5,1,123,False,18,59,0,17,80012,131073,True,1,0,0,0,0,6,1,4104768,110001,True,0,67
3,"リーヴテスト03","グリダニア園芸テスト10-2",1,3,2,1,5,1,123,False,18,59,0,17,80012,131075,True,1,0,0,0,0,6,1,4104768,110001,True,0,67
4,"リーヴテスト04","グリダニア園芸テスト10-3",1,3,2,1,5,1,123,False,18,59,0,17,80012,131076,True,1,0,0,0,0,6,1,4104768,110001,True,0,67
5,"リーヴテスト05","園芸テスト用リーヴ",1,3,2,1,5,1,123,False,18,59,0,17,80012,131076,True,1,0,0,0,0,6,1,4104768,110001,True,0,67
6,"リーヴテスト06","グリダニア傭兵(耐久1)",1,16,2,1,5,1,123,False,34,49,0,17,80012,196609,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
7,"リーヴテスト07","グリダニア傭兵(耐久2)",2,17,2,1,5,2,123,False,34,49,0,17,80012,196610,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
8,"リーヴテスト08","グリダニア傭兵(耐久3)",1,18,2,1,5,3,123,True,34,49,0,17,80012,196611,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
9,"リーヴテスト09","グリダニア傭兵(懐柔1)",2,16,2,1,5,1,123,False,34,49,0,17,80012,196612,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
10,"リーヴテスト10","グリダニア傭兵(懐柔2)",1,1,2,1,5,2,123,False,34,49,0,17,80012,65551,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
11,"リーヴテスト11","グリダニア傭兵(サーチ1)",2,1,2,1,5,3,123,False,34,49,0,17,80012,65538,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
12,"リーヴテスト12","グリダニア傭兵(サーチ2)",1,1,2,1,5,1,123,True,34,49,0,17,80012,65553,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
13,"リーヴテスト13","グリダニア傭兵(サーチ3)",2,1,2,1,5,2,123,False,34,49,0,17,80012,65554,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
14,"リーヴテスト14","グリダニア傭兵(見破り1)",1,1,2,1,5,3,123,False,34,49,0,17,80012,65555,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
15,"リーヴテスト15","グリダニア傭兵(見破り2)",2,1,2,1,5,1,123,True,34,49,0,17,80012,65556,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
16,"リーヴテスト16","傭兵テスト用リーヴ",2,1,2,1,5,1,123,True,34,49,0,17,80012,65557,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
17,"リーヴテスト17","傭兵テスト用リーヴ",2,1,2,1,5,1,123,True,34,49,0,17,80012,65558,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
18,"リーヴテスト18","傭兵テスト用リーヴ",2,1,2,1,5,1,123,True,34,49,0,17,80012,65559,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
19,"リーヴテスト19","傭兵テスト用リーヴ",2,1,2,1,5,1,123,True,34,49,0,17,80012,65560,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
20,"リーヴテスト20","傭兵テスト用リーヴ",2,1,2,1,5,1,123,True,34,49,0,17,80012,65561,True,1,0,0,0,0,6,1,4104768,110001,True,0,14
21,"In with the New","Anticipating an influx of new recruits, the Order of the Twin Adder has requested that Black Rabbit Traders supply them with a large quantity of spears. To ensure the weapons' timely delivery, the consortium is appealing to any carpenters willing to lend their talents.",9,5,2,1,0,0,51,False,9,50,0,51,80012,917649,True,1,728,94,2,0,18,5,2257767,110007,True,0,14
22,"Touch and Heal","Company regulations state that all Order of the Twin Adder units must employ at least one conjurer at all times, so that he or she may attend to the wounds of any injured unit members. To see that the healers are able to endure the constant running about the position requires, the company is in constant need of basic, durable footwear and seek local carpenters to assist in their creation.",9,5,2,1,0,0,51,False,9,50,0,51,80012,917650,True,1,860,94,2,0,18,5,2257767,110007,True,0,14
23,"A Clogful of Camaraderie","On the night when recruits complete their basic training and are inducted into the Wood Wailers' hallowed ranks, each is given a pair of wooden clogs which symbolizes the forest's enduring support. Happily, the clogs also make admirable receptacles for the copious amounts of mead which the initiates are honor-bound to consume before the sun rises. A new batch of green recruits is scheduled to be sworn in over the next few suns, and the Lancers' Guild seeks skilled carpenters to help prepare the footwear to be presented during the ceremony.",19,5,2,1,0,0,90,False,9,50,0,54,80012,917651,True,1,720,93,2,0,19,5,2648092,110010,True,0,14
24,"Bowing Out","While in pursuit of an escaped firestarter imp, a unit of Wood Wailers chased the changeling into a Gods' Quiver storehouse. Thus cornered, the imp unsuccessfully attempted to burn its way out of the building, and was quickly subdued─though not before it had reduced several crates of shortbows to ashes. Conscious of their culpability, the Wood Wailers have agreed to replace all the damaged arms with new ones and are currently seeking local carpenters to assist them.",19,5,2,1,0,0,90,False,9,50,0,54,80012,917655,True,1,584,93,3,0,18,5,2648092,110010,True,0,14
25,"Got Your Back","Ixali invaders will oft arrive to the battlefield in baskets carried by lighter-than-air balloons. This gives their archers an extreme advantage while putting many of our men in danger of taking an arrow. When searching for a way to better protect those fighting on the ground, we found that simply having them wear a shield on their backs improves survival rates threefold. To see all of our units equipped with this potentially life-saving device, the Wood Wailers are hiring competent carpenters to craft wooden shields in bulk.",19,5,2,1,0,0,90,False,9,50,0,54,80012,917656,True,1,1770,94,3,0,18,5,2648092,110010,True,0,14
26,"Gridania's Got Talent","The Homunculi─a band of traveling bards known for their golden locks, honey-tongues, and flamboyant raiments─have the maidens of Gridania swooning. Their popularity is so great, in fact, that many of the sylvan city-state's menfolk have taken up the harp with dreams of emulating the bards─in particular, Homunculus high harpist Nolan Ninestring. Never ones to allow a business opportunity to slip through their fingers, Black Rabbit Traders are seeking skilled carpenters to prepare maple lumber for their contracted crafters, it being their intention to produce a range of attractive yet affordable harps.",9,5,2,1,0,0,51,False,9,50,0,51,80012,917657,True,1,720,94,3,0,19,5,2257767,110007,True,0,14
27,"Bows for the Boys","Anticipating an influx of new recruits, the Order of the Twin Adder has requested that Black Rabbit Traders supply them with a large quantity of bows. To ensure the weapons' timely delivery, the consortium is appealing to any carpenters willing to lend their talents.",9,5,2,5,0,0,51,False,9,50,0,51,80012,917652,True,1,2274,117,4,0,18,5,2257767,110007,True,0,14
28,"Shields for the Serpents","Anticipating an influx of new recruits, the Order of the Twin Adder has requested that Black Rabbit Traders supply it with a large quantity of shields. To ensure the items' timely delivery, the consortium is appealing to any carpenters willing to lend their talents.",9,5,2,5,0,0,51,False,9,50,0,51,80012,917653,True,1,2514,140,4,0,18,5,2257767,110007,True,0,14
29,"Spears and Sorcery","In the aftermath of the Calamity, the Wood Wailers found themselves ill equipped to solve the problems that confronted them, spears being of little benefit to the sick and wounded. At the recommendation of Stillglade Fane, many of the guild's lancers accordingly took up staves and crooks that they might wield the magicks of the conjurers and thereby help set the city-state's people back on their feet. Five years on, this practice has become official policy, each new member of the Wood Wailers now being required to learn several basic restorative spells. To aid their training, the guild requires large quantities of conjurer's arms and seeks talented carpenters to craft them.",19,5,2,5,0,0,90,False,9,50,0,54,80012,917654,True,1,3430,116,4,0,19,5,2648092,110010,True,0,14
30,"Leaving without Leave","For every five recruits who complete their training at the Bannock, there are ten who prove unable to cope with the rigorous daily drills and abandon their brothers. As one might expect, most of these deserters fail to return the equipment issued to them, resulting in a constant shortage of spears and bows for new initiates. The Wood Wailers are seeking to purchase spare arms and will generously reward carpenters for each weapon produced and delivered.",19,5,2,5,0,0,90,False,9,50,0,54,80012,917658,True,1,2106,117,5,0,18,5,2648092,110010,True,0,14
31,"A Sword in Hand","For many Ixal, the weapon of choice is the sword, meaning that training new Wood Wailer recruits on how to use one's spear to defend against the flurry of a short blade is crucial to ensuring their success in combat. The wooden swords used in these rigorous exercises are damaged easily, and therefore a constant supply is required to make sure that not a day of training is missed. Quick-working carpenters are sought to replenish depleted Wood Wailer supplies.",19,5,2,5,0,0,90,False,9,50,0,54,80012,917659,True,1,4044,142,5,0,18,5,2648092,110010,True,0,14
32,"Compulsory Conjury","An edict recently passed by Stillglade Fane requiring all children between the ages of six and nine to train in the art of conjury has parents scrambling to find reasonably priced canes and crooks. To make sure they are not undersold by any second-rate foreign merchant, Black Rabbit Traders are urgently seeking carpenters willing to lend their services in the crafting of various conjurer's arms.",9,5,2,5,0,0,51,False,9,50,0,51,80012,917660,True,1,3160,116,5,0,19,5,2257767,110007,True,0,14
33,"Citizens' Canes","The recent rise in the number of adventurers entering Gridania has caused demand for canes and crooks to increase dramatically─so much so, in fact, that the woodworkers of the Oak Atrium cannot craft enough to replenish the stocks of the local weaponry shops. To help bear this burden, Black Rabbit Traders are currently seeking Disciples of the Hand with applicable skills.",9,5,2,10,0,0,51,False,9,50,0,51,80012,917523,True,1,5132,142,6,0,18,5,2257767,110007,True,0,14
