key,0,1,2,3,4,5,6,7,8,9,10,11,12
#,Radius,Height,VFXScale,,,,,,,,,FloatHeight,FloatDown
int32,single,single,single,single,single,single,single,single,single,single,byte,bool,byte
0,0.5,1,1,1,2.4,6,0,0,3,3,0,False,0
1,1.2,2.5,1,1,2,5,0,0,3,3,0,False,1
2,0.3,0.3,0.7,0.5,1.2,3.7,0,0,3,3,0,False,1
3,0.3,1,0.75,0.5,2,4,0,0,3,3,0,False,1
4,0.7,0.6,0.8,0.8,1.5,4.5,0,0,3,3,0,False,1
5,1.6,4.3,1.5,1.3,2,5,0,0,3,3,0,False,1
6,0.4,0.7,0.7,0.3,1,4,0,0,3,3,0,False,1
7,0.6,1.1,0.8,1,2.5,5.5,1.1,1.5,8,3,1,False,1
8,2,1.9,1.8,1.5,2,6,0,0,3,3,1,False,1
9,0.4,1.3,0.8,0.8,2,4.5,0,0,3,3,0,False,1
10,0.4,0.7,0.7,0.5,2,4,0,0,3,3,0,False,1
11,0.6,1.6,0.9,1,2,5,0.2,0.6,8,3,1,True,1
12,0.6,0.4,1,1,2,6,1.2,1.5,8,3,1,True,1
13,0.3,0.2,0.6,0.2,1.5,4,0,0,3,3,0,False,1
14,0.4,0.8,0.7,1,2,4.5,1.3,1.7,8,3,1,True,1
15,1.3,1.9,1.3,1,2,5,0,0,3,3,0,False,1
16,0.3,0.8,0.7,1,2.5,5.5,1.2,1.5,8,3,1,False,1
17,2.1,2.3,1.5,2,2.5,8,0,0,3,3,1,False,1
18,1.3,2.9,1.8,1.5,2,5,0,0,3,3,0,True,2
19,1.3,2,1,0.5,5,5,0,0,3,3,0,False,1
20,0.2,0.3,0.7,1,2,5,1.5,1.9,2,3,1,True,1
21,1.1,2.8,1.8,1.5,2,6,0,0,3,3,0,False,2
22,0.5,1,0.7,0.6,2,5,0,0,3,3,0,False,1
23,5,5.5,4,4,2,5,0,0,3,3,1,False,2
24,1.4,1.5,1.4,1.5,2,8,0,0,3,3,0,False,1
25,0.2,0.3,0.6,1,2,5,1.3,1.7,8,3,1,True,1
26,0.3,0.4,0.6,1,3,6,1.3,1.7,8,3,1,True,1
27,3,4.4,2.5,2,2,5,0,0,3,3,0,False,2
28,0.3,0.8,0.6,0.5,2.5,5.5,0,0,3,3,0,False,1
29,1,2,1.3,0.5,3,6,0,0,3,3,0,False,1
30,2.4,2.6,2.2,2,2.5,5.5,0,0,3,3,1,False,1
31,0.4,1.7,1,1,2,5,0,0,3,3,0,False,1
32,0.5,0.7,0.7,0.5,1.5,4,0,0,3,3,0,False,1
33,1.1,1.2,1,1,2,5,0,0,3,3,0,False,1
34,2.2,3.2,2.5,1.7,2,5.5,0,0,3,3,0,False,2
35,4,4.6,4.5,3,3,6,0,0,3,3,1,False,2
36,0.4,1,0.7,0.7,2,5,0,0,3,3,0,False,1
37,3.5,4.5,2.7,1,2,5,0,0,3,3,1,False,2
38,2,1.5,1.6,1,2,5,0,0,3,3,0,False,1
39,2.7,1.5,2.2,2,2,4.5,0,0,3,3,0,False,1
40,2,2.9,2.1,2,2,5,0,0,3,3,0,False,2
41,1.1,1.2,1,1,2,6,0,0,3,3,0,False,1
42,5.8,3.5,4.7,3,2,5,0,0,3,3,0,False,2
43,0.9,1,1,1,2,6,0.4,0.8,3,3,1,False,1
44,0.9,1.3,0.9,1.2,1.7,4.7,0,0,3,3,0,False,1
45,1.1,1.1,0.8,0.5,2,5,0,0,3,3,0,False,1
46,1.8,1.3,1.5,1.5,3,6,0,0,3,3,0,False,1
47,1.6,1.6,1.6,1.2,2,5,0,0,3,3,0,False,1
48,3.5,1,3,2,2,5,0,0,3,3,1,False,1
49,1.3,2.9,2.1,2,2.4,5.5,0,0,3,3,0,False,2
50,0.5,1,0.7,0.6,2,3.5,0,0,3,3,0,False,1
51,1.5,1,1.6,1,2.5,5.5,0,0,3,3,0,False,1
52,1.5,1,1.6,1,2,5,0,0,3,3,0,False,1
53,3.7,5.3,3,3,2,7,0,0,3,3,1,False,2
54,1.9,3.2,2.4,1,2.5,5.5,0,0,3,3,1,False,2
55,1.2,1.6,1.2,1.2,1,5,0,0,3,3,0,False,1
56,1.4,2.4,1.8,1.5,2,5,0,0,3,3,0,False,1
57,2.3,3.2,2,2,2,6,0,0,3,3,1,False,1
58,4,6,3.6,3.2,3,6,0,0,3,3,1,False,2
59,0.1,1,0.7,0.6,2,5,0,0,3,3,0,False,1
60,3.6,5.7,2.6,1,2,5,0,0,6,10,1,False,2
61,1,1,2.3,1,2,5,0,0,3,3,1,False,1
62,2.5,2,2.4,2,2,5,0,0,3,3,0,False,2
63,5,4.1,3.5,5,2,5,0,0,3,3,0,False,2
64,2,2,1.6,1.4,2,5,1.8,2.5,6,3,1,False,1
65,1.2,3,1.8,1.4,5,5,0,0,3,3,0,False,1
66,1,1,3.5,1,2,5,0,0,3,3,0,False,2
67,1.3,2,1,3,2,6,0,0,3,3,0,False,1
68,3,3,3,2.5,2,5,0,0,3,3,1,False,2
69,2.4,4,2,1,2,5,2.4,2.4,8,3,1,True,1
70,4,5,3.5,3,2,5,0,0,3,3,0,False,2
71,1,1,1,1,2,5,0,0,3,3,0,False,1
72,1.8,2.9,1,1,2,6,0,0,3,3,0,False,1
73,1,1,1.3,1.3,2,60,0,0,3,3,1,False,2
74,1,1,1,1,2,5,0,0,3,3,0,False,1
75,1,1,0.7,1,2,5,0,0,3,3,0,False,1
76,1,2,1.4,1.3,3,6,0,0,3,3,1,False,2
77,2.8,2.7,2.5,1,2,5,0,0,3,3,0,False,1
78,1,1,1.5,1,2,5,0,0,3,3,1,False,1
79,0.2,0.5,0.7,1,2,5,0,0,3,3,0,False,1
80,0.4,0.6,0.7,1,2.5,5.5,1.3,1.7,8,3,1,False,1
81,0.3,0.3,0.6,0.5,1,3.5,0,0,3,3,0,False,1
82,0.4,1,0.7,0.5,1.2,3.5,0,0,3,3,0,False,1
83,0.2,0.6,0.5,0.5,2,6,0.8,1.2,8,3,1,True,1
84,0.5,2,0.7,1,2,4.5,0.8,1.2,8,3,1,False,1
85,0.7,1,0.8,1,2,5,0,0,3,3,0,False,1
86,0.7,1.2,0.8,1,1.2,3.5,0,0,3,3,0,False,1
87,1,1,1,1,2,6,0,0,3,3,0,False,1
88,0.3,0.7,0.6,0.5,2,5,0,0,3,3,0,False,1
89,1,1,1,1,2,6,0,0,3,3,0,False,1
90,1,2,1.5,1,2,5,0,0,3,3,0,False,1
91,0.4,1,1.5,0.5,2,5,0,0,3,3,0,False,1
92,2.3,4,2.4,1,2,5,0,0,3,3,0,False,1
93,0.5,0.8,0.6,1,2,5,1,1.3,8,3,1,False,1
94,1,1,1,1,2,6,0,0,3,3,0,False,1
95,1.7,3.8,1.9,1,2,5,0,0,3,3,1,False,2
96,5,4,4.2,4,3,8,0,0,3,3,1,False,2
97,0.5,1,3,2,2,5,0,0,3,3,1,False,2
98,3.5,5.3,3.8,3.5,2,5,0,0,3,3,1,False,2
99,6,10,6.2,1,6,6,0,0,3,3,1,False,1
100,2,2,1.7,1,1,5,0,0,3,3,0,False,2
101,1,1,1,1,2,5,0,0,3,3,0,False,1
102,4.5,1,1,1,2,5,0,0,3,3,0,False,1
103,0.5,1,1.16,1.1,2,5,0,0,3,3,0,False,1
104,1,1,1,1,2,5,0,0,3,3,0,False,1
105,2.3,4.1,2,1,2,5,0,0,3,3,0,False,1
106,1.2,1.1,1,1,2,5,0,0,3,3,0,False,1
