key,0,1,2,3
#,InternalName,Name,Region,UserType
int32,str,str,byte,byte
0,"Zvahl","GM Test World",0,0
1,"c-funereus","Type C World",0,0
2,"c-contents","Type C World - Finder",0,0
3,"c-whiteae","Type C World",0,0
4,"c-baudinii","Type C World",0,0
16,"konconv","1.0 Data Conversion Slot",0,0
23,"Asura","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
24,"Belias","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
25,"Chaos","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0
26,"Hecatoncheir","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0
27,"Moomba","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0
28,"Pandaemonium","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
29,"Quetzalcoatl","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0
30,"Unicorn","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,1
31,"Yojimbo","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,2
32,"Zeromus","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,2
33,"Adrammelech","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,0
34,"Brynhildr","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,5
35,"Famfrit","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,5
36,"Lich","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",5,6
37,"Mateus","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,4
38,"Shemhazai","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,0
39,"Syldra","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,0
40,"Valigarmanda","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,0
41,"Zalera","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",3,4
42,"Zodiark","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",5,0
43,"Alexander","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,2
44,"Anima","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
45,"Carbuncle","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,1
46,"Fenrir","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,2
47,"Hades","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
48,"Ixion","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,3
