key,0,1
#,,
int32,str,str
0,"TEXT_CMNDEFMRHOUSING_00140_CHOICE1Q1_100_000","何を聞く？"
1,"TEXT_CMNDEFMRHOUSING_00140_CHOICE1A1_101_000","あなたはここで何をしている？"
2,"TEXT_CMNDEFMRHOUSING_00140_CHOICE1A2_102_000","ここはどんな場所？"
3,"TEXT_CMNDEFMRHOUSING_00140_CHOICE1A3_103_000","キャンセル"
4,"TEXT_CMNDEFMRHOUSING_00140_MRHOUSING_000_001","おじさんね、そうとう家造りが好きでね。
各国の「冒険者居住区」を見てまわってるんだよねぇ。"
5,"TEXT_CMNDEFMRHOUSING_00140_MRHOUSING_100_001","おや、君も家造りに興味があるのかい？
だったら「居住区担当官」から詳しい話を聞けるよ。
いやぁ、家造りは実に奥が深いねぇ。"
6,"TEXT_CMNDEFMRHOUSING_00140_MRHOUSING_000_002","海賊王「霧髭」の伝説残る入江……
リムサ・ロミンサの冒険者居住区「ミスト・ヴィレッジ」！
いやぁ、リゾート気分だねぇ。"
7,"TEXT_CMNDEFMRHOUSING_00140_MRHOUSING_000_003","荒野にそびえる勝利の酒杯……
ウルダハの冒険者居住区「ゴブレットビュート」！
いやぁ、見てみたかったんだよねぇ。"
8,"TEXT_CMNDEFMRHOUSING_00140_MRHOUSING_000_004","母なる大樹に、美しい草花……
グリダニアの冒険者居住区「ラベンダーベッド」！
いやぁ、そうとうくつろげますねぇ。"
