key,0,1
#,,
int32,str,str
0,"TEXT_CMNDUNBAHAMUT_00105_JBROHKA_000_000","地下に広がる「メテオの傷痕」は未知の領域だ。
帝国の要塞以上の危険も予想される。
仲間と共に、しっかりと準備を整えてくれ！"
1,"TEXT_CMNDUNBAHAMUT_00105_Q1_000_010","「大迷宮バハムート」へ行く？"
2,"TEXT_CMNDUNBAHAMUT_00105_A1_000_011","「大迷宮バハムート」の開始条件について聞く"
3,"TEXT_CMNDUNBAHAMUT_00105_A1_000_012","「<Sheet(InstanceContent,IntegerParameter(1),13)/>」を開始する"
4,"TEXT_CMNDUNBAHAMUT_00105_A1_000_013","キャンセル"
5,"TEXT_CMNDUNBAHAMUT_00105_JBROHKA_000_020","アリゼーお嬢様の話によれば、
地下には空間が広がり、まるで迷宮のようだとか……。
なんでも、「大迷宮バハムート」と呼んでいるらしい。"
6,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_050","「大迷宮バハムート」は複数のダンジョンで構成されます。
中には「デジョン」が使えないダンジョンも存在します。"
7,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_051","「大迷宮バハムート」の攻略進行度は、
プレイヤーごとに、特定のタイミングで「記録」され、
再開時に続きから攻略することができます。"
8,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_052","攻略進行度の記録は、
（地球時間）毎週月曜日、午前1時にリセットされます。"
9,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_053","「大迷宮バハムート」を開始するためには、
ファイター＆ソーサラーのレベル50以上のプレイヤー8名で
パーティを組む必要があります。"
10,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_054","また、挑戦資格として、参加するプレイヤー全員が、
クエスト「咆吼の影を追って」を受注し、
クリアしておく必要があります。"
11,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_055","「大迷宮バハムート」の攻略開始地点は、
パーティリーダーの攻略進行度によって決定されます。"
12,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_056","「大迷宮バハムート」の開始条件を満たしていれば、
パーティリーダーより、進行度の進んでいないメンバーも、
同じダンジョンから再開することができます。"
13,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_057","ただし、パーティリーダーよりも
進行度が進んでいるメンバーを連れて
攻略を再開することはできません。"
14,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_058","「大迷宮バハムート」には、制限時間が存在します。
（地球時間）90分が経過すると
強制的に「大迷宮バハムート」は終了します。"
15,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_059","戦利品が残っている状態で
「大迷宮バハムート」から退出すると
戦利品目録にあるすべてのアイテムを自動的に入手します。"
16,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_060","その場合、持ちきれなかったアイテムは破棄されますので、
ご注意ください。"
17,"TEXT_CMNDUNBAHAMUT_00105_Q2_000_100","「<Sheet(InstanceContent,IntegerParameter(1),13)/>」を開始しますか？"
18,"TEXT_CMNDUNBAHAMUT_00105_A2_000_101","はい"
19,"TEXT_CMNDUNBAHAMUT_00105_A2_000_102","いいえ"
20,"TEXT_CMNDUNBAHAMUT_00105_SYSTEM_000_110","<Sheet(InstanceContentTextData,IntegerParameter(1),0)/>「<Sheet(InstanceContent,IntegerParameter(2),13)/>」を開始できませんでした。
開始条件を確認してください。"
21,"TEXT_CMNDUNBAHAMUT_00105_JBROHKA_000_200","帝国の重要拠点が目と鼻の先で、緊張する……。
うう……入団早々こんなところに回されるなんて、
運が良いのか、悪いのか……。"
