key,0,1
#,,
int32,str,str
0,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_000","Hm? You wish words with me, adventurer?"
1,"TEXT_REGLAKSAINTCOINACHSFIND_00113_Q1_000_000","What will you ask?"
2,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_000_001","What do you do here?"
3,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_000_002","What kind of place is this?"
4,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_100_001","NOAH Report: The Eight Sentinels"
5,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_100_002","NOAH Report: Labyrinth of the Ancients"
6,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_100_003","NOAH Report: Acheron"
7,"TEXT_REGLAKSAINTCOINACHSFIND_00113_A1_000_003","Nothing."
8,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_010","I am an historian hailing from Sharlayan, great seat of knowledge. I have the pleasure of leading the excavation efforts at Saint Coinach's Find."
9,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_011","I was formerly of the Circle of Knowing, come to Eorzea to research the diffusion of knowledge across the realm."
10,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_012","These days, I am wholly dedicated to the restoration and preservation of ancient Allagan wisdom─delving into the past, that we might safeguard the future."
11,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_020","You stand amidst the ruins of ancient Allag, an empire which reached its zenith during the Third Astral Era, some five millennia ago."
12,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_021","The excavation effort is presided over by the Sons of Saint Coinach, a Sharlayan order. Lest you wonder, we name ourselves for the man who was raised to sainthood for proving the existence of the Allagan Empire, which was long thought to be naught but the stuff of myths."
13,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_022","From the crystalline tower that threatens to pierce the very heavens to the immense ruins that stretch in all directions below, there is no shortage of new discoveries here."
14,"TEXT_REGLAKSAINTCOINACHSFIND_00113_RAMMBROES_000_030","Ah, allow me to find the relevant page..."
