key,0,1
#,,
int32,str,str
0,"TEXT_REGSEAPVPCOLOSSEUM_00102_LOETAHLSYN_000_1","Ye've come to the Wolves' Den, maggot! If ye've got business with me, state it loud and clear!"
1,"TEXT_REGSEAPVPCOLOSSEUM_00102_LOETAHLSYN_000_10","The Wolves' Den is a battle arena built by the Maelstrom to train Alliance soldiers into an elite fighting force! Here, pups at the teat are made into fearsome hunters!"
2,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_11","The Wolves' Den is a PvP arena which hosts battles between adventurers."
3,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_12","To take part in a match at the Wolves' Den, open the Duty Finder and select it from the Coliseum category."
4,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_13","Please be informed that construction of the Wolves' Den is still in progress, and no matches are being held at this time. We thank you for your patience and understanding."
5,"TEXT_REGSEAPVPCOLOSSEUM_00102_LOETAHLSYN_000_20","The rules, ye ask!? <Emphasis>What rules</Emphasis>, I answer! Ye step inside the arena! The enemy steps inside the arena! Ye beat each other senseless! The end!"
6,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_21","Party battles are hosted in the Wolves' Den."
7,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_22","The Duty Finder automatically matches players, placing them on one of two sides: the Claws or the Fangs."
8,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_23","The match ends when one side has no members standing. The surviving side is declared the victor."
9,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_24","In the event that the time limit runs out before a victor can be decided, both sides will be declared losers."
10,"TEXT_REGSEAPVPCOLOSSEUM_00102_LOETAHLSYN_000_30","The victor earns glory and respect! The loser earns contempt reserved for steaming piles of chocobo dung! Couldn't be any simpler!"
11,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_31","<Color(-34022)>PvP EXP</Color> is awarded for dispatching opposing team members or emerging victorious in a match."
12,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_100_31","By accumulating PvP EXP, you will rise in <Color(-34022)>PvP rank</Color>."
13,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_101_31","Increasing your PvP rank will in turn earn you <Color(-34022)>Action Points</Color>."
14,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_32","These points can be exchanged for PvP-exclusive actions and equipment."
15,"TEXT_REGSEAPVPCOLOSSEUM_00102_SYSTEM_000_33","Please be informed that construction of the Wolves' Den is still in progress, and no points are being awarded at this time. We thank you for your patience and understanding."
16,"TEXT_REGSEAPVPCOLOSSEUM_00102_Q1_000_1","What will you ask?"
17,"TEXT_REGSEAPVPCOLOSSEUM_00102_A1_000_1","What is the Wolves' Den?"
18,"TEXT_REGSEAPVPCOLOSSEUM_00102_A1_000_2","What are the rules of engagement?"
19,"TEXT_REGSEAPVPCOLOSSEUM_00102_A1_000_3","Are there any rewards?"
20,"TEXT_REGSEAPVPCOLOSSEUM_00102_A1_000_4","Nothing."
