key,0,1
#,,
int32,str,str
0,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_000","What brings you to me, adventurer?"
1,"TEXT_REGWILRINGOFASH_00143_SCENE00000Q","What will you ask?"
2,"TEXT_REGWILRINGOFASH_00143_SCENE00000A1","Tell me about yourself."
3,"TEXT_REGWILRINGOFASH_00143_SCENE00000A2","What is this place?"
4,"TEXT_REGWILRINGOFASH_00143_SCENE00000A3","Nothing."
5,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_010","I am Loonh Gah, and I am a warrior of the Brotherhood of Ash. That is all there is worth knowing."
6,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_011","You may see before you the body of a Miqo'te, but my soul burns bright with the pride of the Amalj'aa. Do not expect me to sympathize with your “civilized” ways!"
7,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_012","Do you see this mask? It is a symbol of my will and resolve. When I received this gift from Hamujj Gah, our warleader, I was born anew─freed from the enfeebling chains of my past."
8,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_020","You stand in the Ring of Ash, the main camp of the Brotherhood. We are a gathering of Amalj'aa soldiers who follow the command of Warleader Hamujj Gah."
9,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_021","It was our warleader who liberated the honorable and the strong from the corrupting influence of his fallen brethren, and established this final bastion of Amalj'aa pride."
10,"TEXT_REGWILRINGOFASH_00143_LLOONGAH_022","We have but one goal, and that is to attain the peak of martial perfection! The fanatical cowards that grovel at Ifrit's feet for scraps of power are a stain of shame upon this holy land!"
