key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSD004_01158_SEQ_00","Y'shtola would entrust you with the titanic task of defeating a greatly strengthened Titan."
1,"TEXT_GAIUSD004_01158_SEQ_01","As if on cue, the kobolds have succeeded in summoning Titan. According to Y'shtola, in his current incarnation, Titan now surpasses even Garuda in strength. Report to Maelstrom Command and speak with Commander Rhiki to learn how you might arrange a confrontation with the Lord of Crags."
2,"TEXT_GAIUSD004_01158_SEQ_02","According to Commander Rhiki, a beastman aetheryte leading to Titan's domain, the Navel, has been discovered within U'Ghamaro Mines in outer La Noscea. Fight your way to the innermost depths of the kobold stronghold, and attune to the aetheryte."
3,"TEXT_GAIUSD004_01158_SEQ_03","You have successfully attuned yourself to the U'Ghamaro aetheryte, and the path to the Navel lies wide open. Assemble your stoutest adventuring comrades, and vanquish the Lord of Crags.

※The Navel (Hard) can be accessed via the Duty Finder."
4,"TEXT_GAIUSD004_01158_SEQ_04","dummy"
5,"TEXT_GAIUSD004_01158_SEQ_05","dummy"
6,"TEXT_GAIUSD004_01158_SEQ_06","dummy"
7,"TEXT_GAIUSD004_01158_SEQ_07","dummy"
8,"TEXT_GAIUSD004_01158_SEQ_08","dummy"
9,"TEXT_GAIUSD004_01158_SEQ_09","dummy"
10,"TEXT_GAIUSD004_01158_SEQ_10","dummy"
11,"TEXT_GAIUSD004_01158_SEQ_11","dummy"
12,"TEXT_GAIUSD004_01158_SEQ_12","dummy"
13,"TEXT_GAIUSD004_01158_SEQ_13","dummy"
14,"TEXT_GAIUSD004_01158_SEQ_14","dummy"
15,"TEXT_GAIUSD004_01158_SEQ_15","dummy"
16,"TEXT_GAIUSD004_01158_SEQ_16","dummy"
17,"TEXT_GAIUSD004_01158_SEQ_17","dummy"
18,"TEXT_GAIUSD004_01158_SEQ_18","dummy"
19,"TEXT_GAIUSD004_01158_SEQ_19","dummy"
20,"TEXT_GAIUSD004_01158_SEQ_20","dummy"
21,"TEXT_GAIUSD004_01158_SEQ_21","dummy"
22,"TEXT_GAIUSD004_01158_SEQ_22","dummy"
23,"TEXT_GAIUSD004_01158_SEQ_23","dummy"
24,"TEXT_GAIUSD004_01158_TODO_00","Speak with R'ashaht Rhiki at Maelstrom Command."
