key,0,1
#,,
int32,str,str
0,"TEXT_GAIUSE106_01180_SEQ_00","Minfilia has a mind to dispatch you to Revenant's Toll."
1,"TEXT_GAIUSE106_01180_SEQ_01","Minfilia has entrusted you with a number of documents relating to the upcoming relocation. She bids you not only to deliver them to Slafborn in Mor Dhona's Revenant's Toll, but also to offer your services to him and the Adventurers' Guild."
2,"TEXT_GAIUSE106_01180_SEQ_02","Slafborn is pleased to see that you were the Scion dispatched to Revenant's Toll, and half-jests that he intends to impose the work of a dozen men upon you. Precisely how much will be asked of you remains to be seen; regardless, you must represent the Scions and do everything you can."
3,"TEXT_GAIUSE106_01180_SEQ_03","dummy"
4,"TEXT_GAIUSE106_01180_SEQ_04","dummy"
5,"TEXT_GAIUSE106_01180_SEQ_05","dummy"
6,"TEXT_GAIUSE106_01180_SEQ_06","dummy"
7,"TEXT_GAIUSE106_01180_SEQ_07","dummy"
8,"TEXT_GAIUSE106_01180_SEQ_08","dummy"
9,"TEXT_GAIUSE106_01180_SEQ_09","dummy"
10,"TEXT_GAIUSE106_01180_SEQ_10","dummy"
11,"TEXT_GAIUSE106_01180_SEQ_11","dummy"
12,"TEXT_GAIUSE106_01180_SEQ_12","dummy"
13,"TEXT_GAIUSE106_01180_SEQ_13","dummy"
14,"TEXT_GAIUSE106_01180_SEQ_14","dummy"
15,"TEXT_GAIUSE106_01180_SEQ_15","dummy"
16,"TEXT_GAIUSE106_01180_SEQ_16","dummy"
17,"TEXT_GAIUSE106_01180_SEQ_17","dummy"
18,"TEXT_GAIUSE106_01180_SEQ_18","dummy"
19,"TEXT_GAIUSE106_01180_SEQ_19","dummy"
20,"TEXT_GAIUSE106_01180_SEQ_20","dummy"
21,"TEXT_GAIUSE106_01180_SEQ_21","dummy"
22,"TEXT_GAIUSE106_01180_SEQ_22","dummy"
23,"TEXT_GAIUSE106_01180_SEQ_23","dummy"
24,"TEXT_GAIUSE106_01180_TODO_00","Deliver the relocation schedule to Slafborn in Revenant's Toll."
25,"TEXT_GAIUSE106_01180_TODO_01","dummy"
26,"TEXT_GAIUSE106_01180_TODO_02","dummy"
27,"TEXT_GAIUSE106_01180_TODO_03","dummy"
28,"TEXT_GAIUSE106_01180_TODO_04","dummy"
29,"TEXT_GAIUSE106_01180_TODO_05","dummy"
30,"TEXT_GAIUSE106_01180_TODO_06","dummy"
31,"TEXT_GAIUSE106_01180_TODO_07","dummy"
32,"TEXT_GAIUSE106_01180_TODO_08","dummy"
33,"TEXT_GAIUSE106_01180_TODO_09","dummy"
34,"TEXT_GAIUSE106_01180_TODO_10","dummy"
35,"TEXT_GAIUSE106_01180_TODO_11","dummy"
36,"TEXT_GAIUSE106_01180_TODO_12","dummy"
37,"TEXT_GAIUSE106_01180_TODO_13","dummy"
38,"TEXT_GAIUSE106_01180_TODO_14","dummy"
39,"TEXT_GAIUSE106_01180_TODO_15","dummy"
40,"TEXT_GAIUSE106_01180_TODO_16","dummy"
41,"TEXT_GAIUSE106_01180_TODO_17","dummy"
42,"TEXT_GAIUSE106_01180_TODO_18","dummy"
43,"TEXT_GAIUSE106_01180_TODO_19","dummy"
44,"TEXT_GAIUSE106_01180_TODO_20","dummy"
45,"TEXT_GAIUSE106_01180_TODO_21","dummy"
46,"TEXT_GAIUSE106_01180_TODO_22","dummy"
47,"TEXT_GAIUSE106_01180_TODO_23","dummy"
48,"TEXT_GAIUSE106_01180_MINFILIA_000_000","Do you not wonder sometimes just how he does that? Alphinaud, I mean. It is as if he is blessed with a preternatural insight..."
49,"TEXT_GAIUSE106_01180_MINFILIA_000_001","Setting that mystery aside for now─I have two tasks of great import for you."
50,"TEXT_GAIUSE106_01180_MINFILIA_000_002","First, I wish you to deliver these documents to Slafborn. They concern our upcoming relocation. Second─and this is perhaps the more important of the two─I would have you offer your services to the Adventurers' Guild, in accordance with our agreement. Represent us well, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>."
51,"TEXT_GAIUSE106_01180_SLAFBORN_000_010","I was told to expect a Scion, but I didn't expect it to be you. It has been far too long, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. You have something for me, yes?"
52,"TEXT_GAIUSE106_01180_SLAFBORN_000_011","Let's see now... Yes, everything appears to be in order."
53,"TEXT_GAIUSE106_01180_SLAFBORN_000_012","You'll be staying with us for a time, yes? Excellent. Would that we had a dozen more like you. Since we don't, we'll instead impose upon you the work of a dozen men. Heh─I only jest in part. You'll see so soon enough."
