key,0,1
#,,
int32,str,str
0,"TEXT_SUBCTS102_01216_SEQ_00","Hugubert of Revenant's Toll has news he would share in the strictest of confidence."
1,"TEXT_SUBCTS102_01216_SEQ_01","His voice trembling with a palpable fear, Hugubert speaks of ill tidings from the mines of Copperbell. The fiendish hecatoncheires─believed to have been driven back to the umbral depths─have resurfaced, and many a roseate miner has paid the eternal price for resuming their work too hastily. He encourages you to speak to the Stone Torch posted outside the mines in western Thanalan to see if aught can be done about the situation."
2,"TEXT_SUBCTS102_01216_SEQ_02","The proud Stone Torch admits, albeit grudgingly, that the reinvigorated hecatoncheires that plague the mines have proven too formidable a foe for his unit to handle. Indeed, the entire mining operation is at risk for termination if this new threat is not dealt with, and swiftly. It would seem that once more Copperbell dost want for an adventurer's capable hand.

※Copperbell Mines (Hard) can be accessed via the Duty Finder."
3,"TEXT_SUBCTS102_01216_SEQ_03","dummy"
4,"TEXT_SUBCTS102_01216_SEQ_04","dummy"
5,"TEXT_SUBCTS102_01216_SEQ_05","dummy"
6,"TEXT_SUBCTS102_01216_SEQ_06","dummy"
7,"TEXT_SUBCTS102_01216_SEQ_07","dummy"
8,"TEXT_SUBCTS102_01216_SEQ_08","dummy"
9,"TEXT_SUBCTS102_01216_SEQ_09","dummy"
10,"TEXT_SUBCTS102_01216_SEQ_10","dummy"
11,"TEXT_SUBCTS102_01216_SEQ_11","dummy"
12,"TEXT_SUBCTS102_01216_SEQ_12","dummy"
13,"TEXT_SUBCTS102_01216_SEQ_13","dummy"
14,"TEXT_SUBCTS102_01216_SEQ_14","dummy"
15,"TEXT_SUBCTS102_01216_SEQ_15","dummy"
16,"TEXT_SUBCTS102_01216_SEQ_16","dummy"
17,"TEXT_SUBCTS102_01216_SEQ_17","dummy"
18,"TEXT_SUBCTS102_01216_SEQ_18","dummy"
19,"TEXT_SUBCTS102_01216_SEQ_19","dummy"
20,"TEXT_SUBCTS102_01216_SEQ_20","dummy"
21,"TEXT_SUBCTS102_01216_SEQ_21","dummy"
22,"TEXT_SUBCTS102_01216_SEQ_22","dummy"
23,"TEXT_SUBCTS102_01216_SEQ_23","dummy"
24,"TEXT_SUBCTS102_01216_TODO_00","Speak with the Stone Torch at Copperbell Mines."
25,"TEXT_SUBCTS102_01216_TODO_01","dummy"
