key,0,1
#,,
int32,str,str
0,"TEXT_FESPDY004_01305_SEQ_00","※本クエストは、期間限定のクエストとなります。

セレンディピティーは、今からでもエドヴィア姫人形と過ごせる方法を冒険者に教えようとしている。"
1,"TEXT_FESPDY004_01305_SEQ_01","※本クエストは、シーズナルイベント開催中にかぎり、
　受注、進行できます。
　開催期間終了後は進行できませんので、ご注意ください。
　期間等の詳細についてはLodestoneをご覧ください。

宝飾店「エシュテム」名義でエントリーされたエドヴィア姫人形の宣伝を依頼された。エドヴィア姫をミニオンとして出している状態で、グリダニアにいる「噂好きの女の子」に「<Sheet(Item,2001158,0)/>」を配ろう。

※エドヴィア姫人形を帰還させる、
　もしくはプレイヤーがログアウトした場合、
　エドヴィア姫人形が消失します。
※再びエドヴィア姫人形を連れて歩きたいときは
　セレンディピティーに話しかけてください。"
2,"TEXT_FESPDY004_01305_SEQ_02","グリダニアでの宣伝活動を終えた。エドヴィア姫をミニオンとして出している状態で、ウルダハの彫金師ギルドにいる「セレンディピティー」に報告しよう。"
3,"TEXT_FESPDY004_01305_SEQ_03","冒険者が預かっているエドヴィア姫人形は、優勝を狙える順位にいるようだ。エドヴィア姫人形が冒険者との外出を喜んでいるため、宣伝効果が高まっているらしい。この調子で、人形の宣伝に励もう。"
4,"TEXT_FESPDY004_01305_SEQ_04",""
5,"TEXT_FESPDY004_01305_SEQ_05",""
6,"TEXT_FESPDY004_01305_SEQ_06",""
7,"TEXT_FESPDY004_01305_SEQ_07",""
8,"TEXT_FESPDY004_01305_SEQ_08",""
9,"TEXT_FESPDY004_01305_SEQ_09",""
10,"TEXT_FESPDY004_01305_SEQ_10",""
11,"TEXT_FESPDY004_01305_SEQ_11",""
12,"TEXT_FESPDY004_01305_SEQ_12",""
13,"TEXT_FESPDY004_01305_SEQ_13",""
14,"TEXT_FESPDY004_01305_SEQ_14",""
15,"TEXT_FESPDY004_01305_SEQ_15",""
16,"TEXT_FESPDY004_01305_SEQ_16",""
17,"TEXT_FESPDY004_01305_SEQ_17",""
18,"TEXT_FESPDY004_01305_SEQ_18",""
19,"TEXT_FESPDY004_01305_SEQ_19",""
20,"TEXT_FESPDY004_01305_SEQ_20",""
21,"TEXT_FESPDY004_01305_SEQ_21",""
22,"TEXT_FESPDY004_01305_SEQ_22",""
