key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str,uint16,byte,byte,byte,byte,byte,byte,byte,byte,byte,bit&01,bit&02,bit&04,bit&08,uint16,bit&10,bit&20,uint16,byte,byte,byte,uint16
0,"",0,"",0,0,1,0,0,"","","",0,100,0,0,0,0,0,0,8,0,False,False,False,False,0,False,True,0,10,100,100,0
1,"cherry bomb",0,"cherry bombs",0,0,0,0,0,"Summon your cherry bomb minion─a miniature recreation of a voidsent bomb, created via the thaumaturgical rendering of umbrally charged aetherial energy. Guaranteed never to self-destruct, or your gil back.","To maintain the white-hot temperatures within their cores, bombs will feed upon almost any combustible material, including wood, charcoal, ceruleum, fire crystals, even dragon peppers.","Brilliant bombs─
breathtaking,
beautiful, brilliant!
  - Ba Go",427,100,30,0,0,0,2,0,8,1,True,True,False,False,0,False,True,3,10,100,100,4503
2,"mammet #001",0,"mammets #001",0,0,0,0,1,"Summon your mammet #001 minion─a fully operational clockwork puppet built in a joint effort by the Alchemists' and Goldsmiths' Guilds.","The standard frill-free #001 model is not only the best-selling mammet on the market, but is the blueprint on which all other clockwork servitors are based.","Mammets can't
even taste food!
  - Serendipity",419,100,30,0,0,0,1,0,8,2,False,False,False,False,0,False,True,200,10,100,100,4501
3,"wayward hatchling",0,"wayward hatchlings",0,0,0,0,0,"Summon your wayward hatchling minion. Until he finds his real mother, you'll have to suffice.","Even if this orphaned avian were to stumble across his birth parent, chances are he would not even blink an eye, for it is well documented that immediately after hatching, chocobos recognize the first thing they see as their mother─that being
you.","Whoa, whoa, whoa!
Hooold your chocobos.
  - Buscarron",423,100,30,0,30,0,2,0,8,3,True,True,False,True,0,False,True,1,10,100,100,4502
4,"Cait Sith doll",0,"Cait Sith dolls",0,0,0,1,0,"Summon your Cait Sith doll. The ever-extended tail helps the kitten keep her balance.","The clockwork rendition of an enigmatic cat spirit from the pages of Midlander mythology, Goldsmiths' Guild guildmaster Serendipity crafted this lifelike figurine to bring joy to those children who were orphaned in the Calamity.","What may be a few to
you was everything to
those who died...
  - Cait Sith",430,100,30,0,0,0,1,0,8,0,False,False,False,False,0,False,True,201,20,100,100,4504
5,"baby behemoth",0,"baby behemoths",0,0,0,0,0,"Summon your baby behemoth. We can only hope his mother doesn't come looking for him.","Obtainable in Ul'dah's Sapphire Avenue Exchange for a fistful of coin and a smile, the pedigree of this baby beast is questionable at best. While displaying many behemoth-like features─a sleek violet hide, hungry eyes, and two polished
horns─its squealing is not
unlike a boar at slaughter.","Disaster follows the man
like a behemoth chasing
a butterfly.
  - Chechezan",428,100,30,0,0,0,2,0,8,5,True,True,False,True,0,False,True,5,10,100,100,4505
6,"mammet #003L",0,"mammets #003L",0,0,1,0,1,"Summon your mammet #003L minion─a fully operational clockwork puppet built for the Maelstrom.","Designed to be a standard-bearer in Maelstrom company parades, these hand-crafted automatons were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just
doesn't feel like part of
the team!?
  - Wedge",420,100,30,0,0,0,1,0,8,2,False,False,False,False,0,False,True,200,10,100,100,4506
7,"mammet #003G",0,"mammets #003G",0,0,1,0,1,"Summon your mammet #003G minion─a fully operational clockwork puppet built for the Order of the Twin Adder.","Designed to be a standard-bearer in Order of the Twin Adder company parades, these hand-crafted automatons were soon decommissioned due to the fact that their small stature ensured that no one could see the flags they carried.","Feelings! Maybe she just
doesn't feel like part of
the team!?
  - Wedge",421,100,30,0,0,0,1,0,8,2,False,False,False,False,0,False,True,200,10,100,100,4507
