key,0
#,
int32,str
0,""
1,"Named after a man-eating creature from Padjali folklore, the Thousand Maws of Toto-Rak was built on the site of a natural cave system beneath Silent Arbor. Until recently, it held all of Gridania's foulest criminals, from arsonists to poachers, but the completion of a new gaol closer to the city heralded its abandonment."
2,"Since its establishment during Gelmorran times, this subterranean crypt has been used for generations as a final resting place for the remains of rulers and nobles. Since the Calamity, however, the tunnels have become overrun with the Lambs of Dalamud─a deadly cult who worships the now-fallen satellite as their savior. It is in the Deepcroft that these twisted souls silently plot revenge against those who fought to prevent the advent of Dalamud, summoning any dark presence who will aid them to this end...no matter what the cost."
3,"Abandoned once purged of ore, Copperbell Mines lay untouched for nigh on three centuries until Amajina & Sons Mineral Concern reclaimed the shafts─the guild's sights set on expanding the mines downward in an attempt to tap yet undiscovered veins of valuable metal. Unfortunately, it was not riches the powder kegs uncovered, but sheer terror, for when the smoke cleared, out poured an army of raging giants from the darkest recesses of the mines. The hecatoncheires─thralls of the lost Thorne Dynasty─were, at last, free from their lightless prison, three hundred years of hate fueling their madness."
4,"After a period of relative silence following the Calamity, the Serpent Reavers have once again taken to terrorizing the inland hamlets of La Noscea─killing the men, kidnapping the women and children, plundering the storehouses, and burning what little they leave behind. For years, it was not known how the pirates were able to raid areas so far from the coast, until a local shepherd sighted a band of painted ruffians entering the Sastasha Seagrot, carrying large quantities of sacks and crates. Could it be that there is more to this cave than meets the eye?"
5,"Soon after its discovery, miners from across the realm flocked to the Aurum Vale, driven by rumors that deep within lay endless veins of mythril. What they found instead was gold, but not the sort which would make them rich. Believing the substance precious aurum, miners unknowingly stumbled into deep pools of glowing venom thereafter known as goldbile. Not only did the liquid burn their skin, but the noisome fumes given off by the foul ooze cooked their lungs when inhaled, bringing on a quick, yet excruciating death. These truths, however, have done little to prevent new miners from braving the suffocating shafts, now even more driven to find what those who entered before could not."
6,"Once used by Seedseers as a place for spiritual reflection and meditation, Haukke Manor was long frowned upon by the people of Gridania as a symbol of excess. After years of protest, the building was finally sold to a wealthy Duskwight by the name of Lady Amandine.

While little is known of the lady, it was said that she was exceptionally vain, and that to maintain her impeccable beauty, she would spare no expense. From facial creams concocted from rare Coerthan honeys to shampoos derived from the milk of exotic phurbles, her daily ritual of beauty treatments escalated until it was rumored she was bathing in the blood of her virgin maidservants. No amount of man-made tinctures, however, could hide the hideous scars she eventually suffered during the Calamity, and soon she was forced to turn to a darker solution, signing away her very soul in a final effort to literally ""save face."""
7,"Originally a holy place for the first Lalafell arrived in Eorzea, the twisting labyrinth of natural caverns which wind through this massive mesa was transformed by the Gladiators' Guild into a series of training pits, animal pens, and holding cells to accommodate the ever-growing popularity of Ul'dah's Coliseum. After the Calamity, however, the location was abandoned─those remaining in the pens, left for dead. Not all of them, however, met that fate, and now the tunnels are rife with those who survived...as well as the tormented spirits of those who did not."
8,"After a tiring journey across Eorzea, it is deep within the quiet jungles of Raincatcher Gully where the charismatic and enterprising young goblin, Brayflox Alltalks, chooses to build her tiny empire. What she does not realize, however, is that something else─something sinister─has also made the lush forest its home. Now driven from their rightful(?) claim, Brayflox and her brethren seek to retake the land, and are not above asking the help of lesser races (that would be you) to help them do so."
9,"Under the unforgiving Thanalan sun lie the ruins of an ancient temple half-devoured by the shifting sands of a timeless desert. Though used by ancient Belah'dians as a place to worship the sun goddess, Azeyma, portions of the massive underground structure appear to be far older than this Sixth Astral Era civilization. That, however, did not deter Belah'dian sultans from each adding their own chambers to the original construct in a bid to achieve immortality through creation. In the subsequent years since the fall of Belah'dia, many an adventurer has sought to explore the temple's mysteries and perhaps return with the treasure of a lost era...only to fall victim to one of the complex traps set to prevent that very thing from happening."
10,"Decades of kobold mining deep beneath O'Ghomoro gradually weakened upper La Noscea to the point that when the Calamity struck, the land surrounding Bronze Lake collapsed, draining its waters and revealing a palace of unparalleled beauty. Thought to have been built by the Nymian civilization, which thrived in the area some fifteen centuries ago, the palace appears to have been dedicated to their patron deity, Oschon, the Wanderer. In search of the bounty she may hold, treasure hunters have already begun to delve into this forsaken place...but will treasure be the only thing they find?"
11,"One of four watchtowers built along the Sea of Clouds by the city-state of Ishgard, the Stone Vigil was overrun and occupied by the Dravanian Horde not long after the Calamity. The following years have seen the knights of House Durendaire make several attempts at reclaiming the fortress, but to no avail. What could it be that thwarts their every effort?"
12,"Near an old mountain path once used by Sixth Astral Era woodcutters as a detour through the more perilous stretches of northern Thanalan, lies a cave sought out only by the ignorant or the foolish. Upon first glance, the shade of its maw might appear inviting to one who seeks to escape the punishing rays of the midday sun. However, any good woodcutter knows to keep his distance, for it is said that those who enter never return─the cries of the damned echoing up from the depths the only testament to their folly. Heed this dire warning, and you may live. Ignore it, and soon it shall be your screams that add to the cacophony."
13,"Seeking to utilize an existing labyrinth of natural caves, the Ishgardian house of Dzemael began construction on their eponymous Darkhold near the end of the Sixth Astral Era, intending it to serve as a refuge for those fleeing the flames of the Dravanian Horde. When the house's digging uncovered an entrance to the void, allowing an army of voidsent into this realm, however, they immediately abandoned their plans and withdrew from the subterrane, sealing it off so that they might contain the otherworldly invaders within. Despite all this, the house is unwilling to relinquish its claim to the caves, and believes that if they can be cleared of the voidsent, they might still be able to see their original plan brought to fruition."
