key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint32,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,str,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,uint32,bit&01,str,bit&02,bit&04,bit&08,bit&10,bit&20,bit&40
720896,0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720897,0,"TstPrgTest_00001","SCENE0","SCENE1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720898,60551,"CmnDefMogLetter_00002","HOWTO_MOGLETTER","DENINED_LETTERS","LETTER_BOX_USAGE","CLEAR_QUEST0","CLEAR_QUEST1","CLEAR_QUEST2","","","","","","","","","","","","","","","","","","","","","","","","",22,3902,3903,67017,67106,65898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,True,False,False,False,False
720899,0,"TstPlnTest_00003","","","","","","","","","","","","","","","","","","","","","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","GRIDANIA","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_GRIDANIA","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,394,396,2,395,3,1000233,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720900,0,"CmnRadEnterTotorak_00004","INSTANCE_CONTENT_ID","TERRITORY_TYPE","SCREENIMAGE0","","","","","","","","","","","","","","","","","","","","","","","","","","","",1,169,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720901,0,"RegFstAdvGuild_00005","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720902,0,"CmnDefLinkShell_00006","SUCCESS_LOG","HOWTO_LINKSHELL","INFO_ERROR_1","INFO_ERROR_2","","","","","","","","","","","","","","","","","","","","","","","","","","",485,17,6091,6092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720903,0,"RegFstLncGuild_00007","QUEST0","QUEST1","QUEST2","QUEST3","","","","","","","","","","","","","","","","","","","","","","","","","","",65975,66608,65964,66604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720904,0,"RegFstArcGuild_00008","QUEST0","QUEST1","QUEST2","QUEST3","","","","","","","","","","","","","","","","","","","","","","","","","","",65612,66626,65964,66622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Small Talk",False,False,False,False,False,False
720905,0,"CmnDefRetainerDesk_00009","RETAINER_SUCCESS_EMPLOY","RETAINER_SUCCESS_ASSIGN_MARKET","LIMSA","GRIDANIA","ULDAH","RETAINER_SUCCESS_DISMISS","REWARD_RETAINER","NPC_OF_LIMSA","NPC_OF_GRIDANIA","NPC_OF_ULDAH","REGISTERING_CONTENT_FINDER","OTHER_WORLD","RETAINER_REMAKE_COMPLETE","","","","","","","","","","","","","","","","","",394,396,1,2,3,395,3,1003275,1000233,1001963,22,30,406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,"Retainer Options",False,False,False,False,False,False
