key,0,1,2,3
#,,,,
int32,uint32,uint16,uint32,bit&01
0,0,0,0,False
1,4785,2,66501,False
2,4777,2,66502,False
3,4778,2,66503,False
4,4782,2,66504,False
5,4804,2,66505,False
6,4787,2,66506,False
7,4821,2,66507,False
8,4788,2,66508,False
9,4789,2,66509,False
10,6148,2,66510,False
11,4809,3,66551,False
12,4808,3,66552,False
13,4810,3,66553,False
14,4811,3,66554,False
15,4812,3,66555,False
16,4814,3,66556,False
17,6146,3,66557,False
18,4815,3,66558,False
19,6147,3,66559,False
20,4816,3,66560,False
21,4829,1,66601,False
22,5539,1,66602,False
23,4830,1,66603,False
24,4835,1,66604,False
25,4836,1,66605,False
26,5542,1,66606,False
27,5346,1,66607,False
28,4837,1,66608,False
29,5543,1,66609,False
30,4842,1,66610,False
31,7768,1,66651,False
32,7769,1,66652,False
33,7770,1,66653,False
34,7602,1,66654,False
35,7603,2,66655,False
36,7604,3,66656,False
37,7592,3,66657,False
38,7593,2,66661,False
39,7591,1,66660,False
40,7773,3,66701,True
41,7774,1,66702,True
42,7775,3,66703,True
43,7776,1,66704,True
44,7894,4,66511,False
45,7895,4,66512,False
46,7897,4,66513,False
47,7898,4,66508,False
48,7900,4,66510,False
49,8165,4,66503,False
50,8166,4,66502,True
51,8192,5,66662,True
52,8193,5,66663,True
53,8194,5,66664,True
54,8195,5,66665,True
55,8196,5,66666,True
56,8023,1,66667,True
57,4868,4,66514,False
58,8157,4,66553,False
59,8158,4,66555,False
60,8159,4,66515,False
61,8160,4,66556,False
62,8161,4,66552,False
63,8162,4,66560,False
64,8163,4,66554,False
65,0,0,0,False
66,0,0,0,False
67,0,0,0,False
68,0,0,0,False
69,0,0,0,False
70,0,0,0,False
