key,0,1,2,3,4,5,6
#,,,,,,,
int32,str,str,uint16,byte,byte,byte,int32
0,"","",0,0,0,0,0
1,"Auto-attack","Automatically attack your current target at a set interval determined by your weapon.",0,0,0,1,101
2,"Jump","Make a spring from the ground or other base by flexion and sudden muscular extension of the legs.",0,0,0,2,102
3,"Limit Break","Spend energy stored in your party's limit gauge to execute a powerful battle technique. The technique executed is determined by the <Color(-34022)>role</Color> of the party member who initiates it.
Tank: Increase party defense.
Melee: Single target attack.
Caster: Area of effect attack.
Healer & Ranged: HP restoration (Raise at level 3).",0,0,0,3,103
4,"Sprint","Use current TP to increase movement speed for the number of seconds equaling your current TP divided by 50.",3,0,56,4,104
5,"Desynthesis","Break down an item into one or more of its original materials.",0,95,0,21,120
6,"Repair","Use dark matter to mend damaged equipment.",0,0,0,5,106
7,"Teleport","Reduce your body to aether and instantly teleport to any aetheryte to which you have previously attuned. Requires a gil fee paid upon arrival at your destination.",5,4,0,6,111
8,"Return","Instantly return to your current home point.",6,1,57,7,112
9,"Mount Roulette","Summon a mount at random.",0,0,0,17,118
10,"Minion Roulette","Summon a minion at random.",0,0,0,18,117
11,"","",0,0,0,0,0
12,"Materia Melding","Use carbonized matter to affix materia onto weapons and armor.",0,11,0,8,107
13,"Advanced Materia Melding","Use carbonized matter to affix materia onto weapons and armor. Can also affix materia to items with no slots remaining, but success is not guaranteed.",0,12,0,9,108
14,"Materia Assimilating","Reduce an item with a complete spiritbond to aether, and then recrystallize the resulting residue into a concentrated substance known as “materia.”",0,13,0,10,109
15,"Dye","Use dye to color gear.",0,14,0,11,110
16,"Target Forward","Toggle forward through nearby enemies.",0,0,0,12,113
17,"Target Back","Toggle back through nearby enemies.",0,0,0,13,114
18,"Set Down","Put down the object you are carrying.",0,0,0,0,61112
19,"Decipher","Remove a timeworn map from its glass prison and unlock its mysteries.",1694,25,0,15,115
20,"Dig","Locate a buried treasure coffer within a 30-yalm radius and extract it from the ground.",1695,25,67,16,116
21,"","",0,0,0,0,0
22,"Cast Glamour","Use a glamour prism to cast an optical illusion upon a piece of equipment, thus altering its appearance.",0,15,0,20,119
23,"","",0,0,0,0,0
24,"","",0,0,0,0,0
25,"","",0,0,0,0,0
