key,0,1,2,3,4,5
#,,,,,,
int32,byte,byte,byte,byte,bit&01,bit&02
0,255,255,255,255,True,True
1,1,1,1,1,True,True
2,1,1,1,1,True,True
3,1,1,1,1,True,True
4,1,1,1,1,True,True
5,1,1,1,1,True,True
6,1,1,1,1,True,True
7,1,1,1,1,True,True
8,1,1,1,1,True,True
9,1,1,1,1,True,True
10,1,1,1,1,True,True
11,1,1,1,1,True,True
12,1,1,1,1,True,True
13,1,1,1,1,True,True
14,1,1,1,1,True,True
15,1,1,1,1,True,True
16,1,1,1,1,True,True
17,1,1,1,1,True,True
18,1,1,1,1,True,True
19,1,1,1,1,True,True
20,1,1,1,1,True,True
21,1,2,3,4,True,True
22,2,4,6,8,True,True
23,1,1,2,3,True,True
24,1,1,1,1,True,True
25,1,1,1,1,True,True
26,1,1,1,1,True,True
27,1,1,1,1,True,True
28,1,1,1,1,True,True
29,1,1,1,1,True,True
30,3,3,3,3,True,True
31,1,1,1,1,True,True
32,1,1,1,1,True,True
33,1,1,1,1,True,True
34,1,1,1,1,True,True
35,1,1,1,1,True,True
36,0,1,1,1,False,False
37,1,1,1,1,True,True
38,1,1,2,3,True,True
39,1,1,1,1,True,True
