key,0,1,2
#,,,
int32,int32,byte,str
0,0,0,""
1,61412,1,"Seventh Umbral Era"
2,61412,1,"Seventh Astral Era"
3,61411,2,"Primal Quests"
4,61411,2,"Bahamut Quests"
5,61411,2,"Crystal Tower Quests"
6,61411,3,"Main Quests"
7,61411,3,"Side Quests"
8,61411,4,"Main Quests"
9,61411,4,"Side Quests"
10,61411,5,"Main Quests"
11,61411,5,"Side Quests"
12,61411,6,"Main Quests"
13,61411,6,"Side Quests"
14,61411,7,"Main Quests"
15,61411,7,"Side Quests"
16,61411,8,"Hildibrand Quests"
17,61411,8,"Wandering Minstrel Quests"
18,61411,8,"Zodiac Weapons"
19,61411,8,"Delivery Moogle Quests"
20,61411,8,"Allied Beast Tribe Quests"
21,61411,9,"La Noscean Sidequests"
22,61411,10,"Gridanian Sidequests"
23,61411,11,"Ul'dahn Sidequests"
24,61411,12,"Ishgardian Sidequests"
25,61411,13,"Mor Dhonan Sidequests"
26,62301,14,"Gladiator Quests"
27,62302,14,"Pugilist Quests"
28,62303,14,"Marauder Quests"
29,62304,14,"Lancer Quests"
30,62305,14,"Archer Quests"
31,62309,14,"Rogue Quests"
32,62306,14,"Conjurer Quests"
33,62307,14,"Thaumaturge Quests"
34,62308,14,"Arcanist Quests"
35,62310,14,"Carpenter Quests"
36,62311,14,"Blacksmith Quests"
37,62312,14,"Armorer Quests"
38,62313,14,"Goldsmith Quests"
39,62314,14,"Leatherworker Quests"
40,62315,14,"Weaver Quests"
41,62316,14,"Alchemist Quests"
42,62317,14,"Culinarian Quests"
43,62318,14,"Miner Quests"
44,62319,14,"Botanist Quests"
45,62320,14,"Fisher Quests"
46,62401,15,"Paladin Quests"
47,62402,15,"Monk Quests"
48,62403,15,"Warrior Quests"
49,62404,15,"Dragoon Quests"
50,62405,15,"Bard Quests"
51,62410,15,"Ninja Quests"
52,62406,15,"White Mage Quests"
53,62407,15,"Black Mage Quests"
54,62408,15,"Summoner Quests"
55,62409,15,"Scholar Quests"
56,61401,16,"Maelstrom Quests"
57,61402,16,"Order of the Twin Adder Quests"
58,61403,16,"Immortal Flames Quests"
59,61411,17,"Seasonal Events"
60,61411,18,"Special Quests"
61,62501,19,"Battlecraft Levequests"
62,62502,23,"Carpenter Levequests"
63,62503,24,"Blacksmith Levequests"
64,62504,25,"Armorer Levequests"
65,62505,26,"Goldsmith Levequests"
66,62506,27,"Leatherworker Levequests"
67,62507,28,"Weaver Levequests"
68,62508,29,"Alchemist Levequests"
69,62509,30,"Culinarian Levequests"
70,62510,20,"Miner Levequests"
71,62511,21,"Botanist Levequests"
72,62512,22,"Fisher Levequests"
73,0,0,""
74,0,0,""
75,0,0,""
76,62513,32,"Maelstrom Levequests"
77,62514,32,"Order of the Twin Adder Levequests"
78,62515,32,"Immortal Flames Levequests"
79,61801,33,"Instanced Dungeons"
80,61802,33,"Instanced Raids"
81,61804,33,"Trials"
82,61803,33,"Guildhests"
83,0,34,"Legacy Main Scenario Quests"
84,0,34,"Legacy Sidequests"
85,0,34,"Legacy Class Quests"
86,0,34,"Legacy Job Quests"
87,0,34,"Legacy Grand Company Quests"
