key,0
#,
int32,str
0,""
1,"Need some face time with your alter ego?
Hit the Pause key to have your PC face the camera."
2,"Craving some face time?
Use the Face Camera feature and your PC will only have eyes for you."
3,"Memories fade, but pictures last a lifetime.
Use the Print Screen key to save a screenshot to your hard drive."
4,"Too much clutter on your screen?
Remove it all by pressing the Scroll Lock key."
5,"Give one of your hands a break by using the mouse for movement. Simply hold down the right and left buttons simultaneously to enter “steer mode.”"
6,"Do you always feel like somebody's watching you? A quick press of the V key is almost as good as having eyes in the back of your head."
7,"Enable Direct Chat mode and all keyboard
functionality will default to chat log text input."
8,"When is down up, and up down? When you reverse the X and Y axes of your camera in Character Configuration."
9,"Is the NPC you are looking for buried in a sea of PCs?
Filter out player display names by pressing the X key."
10,"Customizing target cycling settings in Character Configuration can save you time in battle by making sure you skip over unnecessary targets."
11,"Player order in your party list can be customized to sort by roles."
12,"Have you opened Character Configuration lately?
There may be a whole world of helpful features you are missing out on."
13,"Tired of assigning the same general actions to your hotbars for each class? Try hotbar sharing in Character Configuration."
14,"Mouse over the image in your Minion and Mount Guides and you'll be rewarded with a memorable quote from one of Eorzea's fine citizens."
15,"Be kind to your eyes. If you are having trouble reading messages in your chat log, change the font size in Character Configuration."
16,"Are you missing important messages from your friends?
Assign them a notification sound in Character Configuration."
17,"Enable time stamps on the messages in your log
to keep track of when all the action took place."
18,"Is the button layout all wrong on your <If(GreaterThan(PlayerParameter(75),0))>controller<Else/>gamepad</If>? Try calibrating in game with the calibration feature located in System Configuration."
19,"In addition to moving, you can also press the <CommandIcon(11)/> button to interrupt a spell."
20,"You haven't forgotten about the <CommandIcon(16)/> and <CommandIcon(17)/> buttons, have you? Customize your controller by using the Button Configuration feature."
21,"The location of almost every UI element is customizable via the HUD Layout feature. Use the on-screen grid to ensure each is placed perfectly."
22,"Individual crafting recipes can be set to your hotbars.
Click the icons to instantly bring up the synthesis interface."
23,"Memories fade, but pictures last a lifetime.
Press <CommandIcon(12)/>+<CommandIcon(18)/> to save a screenshot to your hard drive."
24,"Too much clutter on your screen?
Remove it all by pressing <CommandIcon(12)/>+<CommandIcon(19)/>."
25,"Cross hotbars. Cross hotbars. One a penny, ten a penny, cross hotbars. Enable up to ten horizontal and vertical hotbars in Character Configuration."
26,"Did you know that even the category icons in
Character and System Configuration can be set to your hotbars?"
27,"Not happy with all those changes you made to your UI? Type the text command /uireset to restore all default UI element locations."
28,"Did you know that you can still toggle through targets with the <CommandIcon(12)/> and <CommandIcon(13)/> buttons, even while activating the cross hotbar?"
29,"Sharing is caring, and the same goes for maps. Use the map link function to share your map with a party member."
30,"Three chat log tabs not enough? Press the plus icon below the log window to add a new tab, then customize it by pressing the cog icon."
31,"Orders from your party leader to concentrate all attacks on
a certain enemy? Press F10 to target a focus target."
32,"Don't let another adventurer claim your kill!
Press F11 to target the nearest visible enemy."
33,"See a townsperson you simply have to speak with? Don't waste time fumbling with your mouse. Press F12 to target the nearest visible NPC."
34,"The Keybind option located under System is a great place for
learning commands and features you ever never knew existed."
35,"Having trouble relaying battle strategy to your party or alliance?
Use waymarks to provide them with visual guides."
36,"Consult The Unending Journey in any inn room
to recall the events of your past adventures."
37,"Run out of USB ports on your console?
Click the touch pad to bring up a virtual mouse cursor."
38,"Does low grass quality have you seeing red...er, green?
Boost resolution in System Configuration."
39,"You can register up to three aetherytes as
favored destinations to reduce teleportation fees by half."
40,"In gamepad mode but still want to use keyboard commands?
Uncheck “Enable Direct Chat” in the Keybind menu."
41,"/cheer! Many emotes can be performed while sitting or on chocoback.
Open the Emotes menu to peruse your options."
42,"Feel like the mini map is guiding your every step?
Try turning it off under UI Settings in Character Configuration."
43,"Press the <CommandIcon(11)/> button when creating user macros to bring up
the complete list of in-game text commands and their usage."
44,"Forget how many potions or elixirs you brought to battle?
Drag them onto your hotbar to keep track of your reserves."
45,"Too much on-screen text ruining your immersion?
Shorten, or even turn off PC display names in Character Configuration."
46,"Gear sets are a quick and easy way to change what you're wearing.
Dragging them onto your hotbar makes it even easier."
47,"Attuning with all the Aethernet crystals in a city-state unlocks
Aethernet access to locations directly outside city gates."
48,"Too much time in front of a monitor doing a number on your eyesight?
Increase log window font size in Character Configuration!"
49,"When using Duty Roulette, be mindful of the bonus for adventurers
in need, as it often changes between tanks, healers, and DPS."
50,"Do you prefer to be seen rather than heard? Add the word “motion”
after an emote text command to hide the accompanying message."
51,"Don't underestimate the value of damage over time attacks like
Aero and Bio. That last tick of damage might just save your life!"
52,"Once you have successfully crafted an item, you can recraft it
with a single press of a button by using the Quick Synthesis option."
53,"Is the Recommendations list in your way every time you log in?
Uncheck “Show upon login” in Character Configuration to turn it off."
54,"Throw away a quest or event item by accident? Well, you're in luck!
Speak with a Calamity salvager NPC to repurchase your lost items."
55,"Did some ***** tell you to **** off? Do you want to know what they
truly said? Disable the Profanity Filter in Character Configuration."
56,"Clicking the gil icon in the lower left of the UI will switch the display
to the current amount of Grand Company seals in your possession."
57,"Even if you can't see them, sending friends a tell or inviting them
to a party is as simple as right-clicking their name in the log window."
58,"If the arrangement of quests in the duty list is not to your liking,
check the box next to the quests in your Journal to customize their order."
59,"Retainers are always ready to help! Have them sell items on your behalf,
store your gear, and venture across the land to procure resources."
60,"Did you take part in a holiday event but forget to check out the seasonal shop? Speak to a Calamity salvager! They're festive all year long."
61,"Could you have traveled here for free? Make use of the Return action,
available every fifteen minutes, to teleport back to your home point."
62,"To set your character’s idle stance, use /cpose. To change stances automatically, check Enable idle animation in Character Configuration."
63,"Make your smartphone even smarter by downloading the free Libra Eorzea app. It's the best way to keep track of your character while on the go."
64,"Did you know the abbreviation for “cross hotbar” is XHB?
Did you even care?"
