key,0,1,2,3,4,5,6,7,8
#,,,,,,,,,
int32,int16,int16,uint16,uint16,byte,byte,byte,uint16,byte
0.0,0,0,0,0,0,0,0,0,255
0.1,0,0,0,0,0,0,0,0,255
0.2,0,0,0,0,0,0,0,0,255
0.3,0,0,0,0,0,0,0,0,255
1.0,256,128,60436,153,3,0,0,0,255
1.1,300,500,60436,152,2,0,0,0,255
1.2,500,600,60436,151,1,0,0,0,255
1.3,0,0,0,0,0,0,0,0,255
1.4,0,0,0,0,0,0,0,0,255
1.5,0,0,0,0,0,0,0,0,255
2.0,256,128,60436,151,1,0,0,0,255
2.1,300,500,60436,152,2,1,0,0,255
2.2,500,600,60436,151,1,0,0,0,255
2.3,1024,500,60441,52,2,0,1,4,5
2.4,0,0,0,0,0,0,0,0,255
2.5,0,0,0,0,0,0,0,0,255
3.0,1078,1222,60436,548,2,0,0,0,255
3.1,1078,1260,60314,547,3,0,0,0,255
3.2,1035,1280,60352,549,1,0,0,0,255
3.3,1025,1058,60442,551,1,0,0,0,255
3.4,1326,1329,60442,552,4,0,0,0,255
3.5,948,1130,60321,554,4,0,0,0,255
3.6,1010,1205,60442,556,1,0,0,0,255
3.7,878,1130,60442,557,1,0,0,0,255
3.8,813,1199,60442,559,4,0,0,0,255
3.9,985,1238,60442,560,1,0,0,0,255
3.10,1460,1102,60320,563,2,0,0,0,255
3.11,950,925,0,585,2,0,0,0,255
3.12,935,1315,0,587,2,0,0,0,255
3.13,1094,1080,60453,590,2,0,3,2,255
3.14,886,1010,60568,591,4,0,0,0,255
3.15,1085,1160,60311,593,2,0,0,0,255
3.16,1225,1054,60441,53,2,0,1,3,16
3.17,1046,998,60441,53,2,0,1,3,17
3.18,815,1044,60441,53,1,0,1,3,18
3.19,792,1211,0,54,0,0,0,0,255
3.20,1364,1348,60441,54,2,0,1,4,0
3.21,1364,1348,0,54,0,0,0,0,255
3.22,1007,1020,60412,0,2,0,0,0,255
3.23,1074,1207,60434,0,2,0,0,0,255
3.24,991,1110,60412,0,2,0,0,0,255
3.25,1356,1199,60430,0,2,0,0,0,255
3.26,1050,1028,60412,0,2,0,0,0,255
3.27,866,1019,60460,0,2,0,0,0,255
3.28,795,1211,60442,473,1,0,0,0,255
3.29,735,1231,0,54,2,0,1,4,41
3.30,888,1002,60412,0,2,0,0,0,255
3.31,875,1031,60412,0,2,0,0,0,255
3.32,868,1028,60571,0,2,0,0,0,255
3.33,997,1040,60581,0,2,0,0,0,255
3.34,0,0,0,0,0,0,0,0,255
3.35,0,0,0,0,0,0,0,0,255
4.0,1350,773,60442,564,2,0,0,0,255
4.1,1350,888,60442,565,2,0,0,0,255
4.2,1156,698,60326,568,4,0,0,0,255
4.3,1189,863,60442,569,3,0,0,0,255
4.4,1350,477,60322,572,4,0,0,0,255
4.5,1233,582,0,0,4,0,0,0,255
4.6,1224,416,60442,574,4,0,0,0,255
4.7,1012,540,60442,575,4,0,0,0,255
4.8,512,977,60319,578,4,0,0,0,255
4.9,705,993,60442,579,4,0,0,0,255
4.10,926,843,60442,580,4,0,0,0,255
4.11,549,733,60318,582,4,0,0,0,255
4.12,834,691,0,0,2,0,0,0,255
4.13,920,935,0,585,2,0,0,0,255
4.14,1560,710,0,586,2,0,0,0,255
4.15,1389,543,60456,595,2,0,0,0,255
4.16,1305,981,60441,52,3,0,1,2,16
4.17,1053,849,60441,52,3,0,1,2,17
4.18,767,952,60441,52,4,0,1,2,18
4.19,590,832,60441,57,4,0,1,7,18
4.20,1352,904,60412,0,2,0,0,0,255
4.21,1361,876,60412,0,2,0,0,0,255
4.22,1332,889,60412,0,2,0,0,0,255
4.23,1342,870,60412,0,2,0,0,0,255
4.24,1363,786,60412,0,2,0,0,0,255
4.25,1342,795,60412,0,2,0,0,0,255
4.26,1336,779,60412,0,2,0,0,0,255
4.27,1351,758,60412,0,2,0,0,0,255
4.28,1330,765,60434,0,2,0,0,0,255
4.29,842,679,60412,584,3,0,0,0,255
4.30,911,723,60551,0,2,0,0,0,255
4.31,617,831,60442,135,3,0,0,0,255
4.32,1188,855,0,135,0,0,0,0,255
4.33,1232,594,60412,573,4,0,0,0,255
4.34,1154,739,60412,0,2,0,0,0,255
4.35,648,827,60434,0,2,0,0,0,255
4.36,1222,802,60430,0,2,0,0,0,255
4.37,1258,562,60430,0,2,0,0,0,255
4.38,735,1001,60430,0,2,0,0,0,255
4.39,398,669,60430,0,2,0,0,0,255
4.40,874,734,60430,0,2,0,0,0,255
4.41,531,629,60442,581,4,0,0,0,255
4.42,1429,568,0,55,4,0,1,5,19
4.43,919,733,60427,0,2,0,0,0,255
4.44,1363,821,60425,0,2,0,0,0,255
4.45,1360,832,60426,0,2,0,0,0,255
4.46,1353,830,60442,566,2,0,0,0,255
4.47,1291,844,60460,0,2,0,0,0,255
4.48,1344,912,60425,0,2,0,0,0,255
4.49,1363,860,60425,0,2,0,0,0,255
4.50,1345,751,60425,0,2,0,0,0,255
4.51,1429,588,0,426,4,0,1,82,54
4.52,1346,740,60570,0,4,0,0,0,255
4.53,1328,752,60570,0,4,0,0,0,255
4.54,1345,823,60570,0,4,0,0,0,255
4.55,1346,840,60570,0,4,0,0,0,255
4.56,1347,925,60570,0,4,0,0,0,255
4.57,1327,911,60570,0,4,0,0,0,255
4.58,904,742,60412,0,2,0,0,0,255
4.59,0,0,0,0,0,0,0,0,255
4.60,0,0,0,0,0,0,0,0,255
5.0,1151,725,60441,52,2,0,1,2,20
5.1,721,732,0,52,0,0,0,0,255
5.2,1440,791,60441,55,2,0,1,5,0
5.3,1185,1575,60441,56,2,0,1,6,0
5.4,521,661,60441,57,2,0,1,7,17
5.5,1155,900,0,68,2,1,0,0,255
5.6,1151,745,60442,87,2,0,0,0,255
5.7,721,752,60442,88,2,0,0,0,255
5.8,1244,926,60442,89,2,0,0,0,255
5.9,1107,921,60412,0,2,0,0,0,255
5.10,1112,941,60448,90,2,0,0,0,255
5.11,1355,1073,0,69,2,1,0,0,255
5.12,1305,991,60442,91,2,0,0,0,255
5.13,1481,961,60442,92,2,0,0,0,255
5.14,1340,1160,60442,93,2,0,0,0,255
5.15,1089,1141,0,70,2,1,0,0,255
5.16,1037,1059,60453,0,4,0,3,3,255
5.17,1062,1248,60442,95,2,0,0,0,255
5.18,860,949,60442,96,2,0,0,0,255
5.19,904,1372,60414,97,3,0,0,0,255
5.20,1207,1350,60442,98,3,0,0,0,255
5.21,1392,1455,60442,99,2,0,0,0,255
5.22,959,1494,60442,100,2,0,0,0,255
5.23,701,1212,60442,419,4,0,0,0,255
5.24,691,944,0,71,2,1,0,0,255
5.25,432,1092,60414,102,3,0,0,0,255
5.26,805,1059,60442,103,2,0,0,0,255
5.27,623,1036,60442,104,2,0,0,0,255
5.28,511,958,60442,105,2,0,0,0,255
5.29,526,847,0,72,2,1,0,0,255
5.30,469,815,60442,106,2,0,0,0,255
5.31,1054,961,0,156,2,0,0,0,255
5.32,1280,956,0,157,2,0,0,0,255
5.33,1007,1049,60448,94,4,0,0,0,255
5.34,1040,1006,60412,0,2,0,0,0,255
5.35,1020,1075,60551,0,2,0,0,0,255
5.36,1200,1340,60412,0,3,0,0,0,255
5.37,1045,1107,60311,593,1,0,0,0,255
5.38,1346,717,60442,348,4,0,0,0,255
5.39,800,904,60442,439,2,0,0,0,255
5.40,725,738,60442,473,2,0,0,0,255
5.41,785,718,0,52,2,0,1,2,29
5.42,1242,1349,60456,475,2,0,0,0,255
5.43,1292,1364,0,426,2,0,1,82,1
5.44,971,1090,60412,0,2,0,0,0,255
5.45,0,0,0,0,0,0,0,0,255
5.46,0,0,0,0,0,0,0,0,255
5.47,0,0,0,0,0,0,0,0,255
5.48,0,0,0,0,0,0,0,0,255
5.49,0,0,0,0,0,0,0,0,255
5.50,0,0,0,0,0,0,0,0,255
6.0,511,1314,60441,54,2,0,1,4,2
6.1,862,1474,60441,56,2,0,1,6,1
6.2,640,1227,0,73,2,0,0,0,255
6.3,446,1094,60456,155,1,0,0,0,255
