key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,str,sbyte,str,sbyte,sbyte,sbyte,sbyte,sbyte,str,str,str,int32,uint16,bit&01,byte,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,single,uint16,str,str,str,byte,byte,bit&02,int32,int32,int32,int32,sbyte,uint16,byte,byte,byte,byte,byte,uint16,uint16,bit&04,bit&08
0,"",0,"",0,0,1,0,0,"","","",0,0,False,90,-1,30,12,6,2.4,6,2.4,2.4,12.56,1.57,3,12.56,60,30,60,6,6,2.4,1,1,1,1,1,1,1,1,1,1,1,1,0,"","","",10,10,True,0,0,0,0,-1,0,0,100,0,0,0,0,0,False,False
1,"company chocobo",0,"company chocobos",0,0,1,0,0,"Summon your Grand Company-issued battle chocobo.","Born and bred in the city-state of Ishgard, the majority of company chocobos are geldings of the rouncey variety; however, massive destriers and miniature Belah'dian jennets are also raised to accommodate the builds of Roegadyn and
Lalafell riders respectively.","Chocobos are stout-
hearted creatures, but
they have their limits.
  - Mimigun",1,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,True,65536,65536,65537,0,0,4401,1,100,0,0,0,0,0,False,False
2,"",0,"",0,0,1,0,0,"","","",1,3,False,90,-1,24,9.6,9,3.2,8,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,61,"","","SE_Bt_Etc_ChocoboBye",20,20,True,65537,65537,65537,65537,-1,0,0,100,0,0,0,0,0,False,False
3,"",0,"",0,0,1,0,0,"","","",1,3,False,90,-1,24,9.6,9,3.2,8,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,61,"","","SE_Bt_Etc_ChocoboBye",2,9,True,65552,65552,65537,0,-1,0,0,100,0,0,0,0,0,False,False
4,"goobbue",0,"goobbues",0,0,1,0,0,"Use the odd-shaped horn gifted to you by the wandering minstrel to call a massive goobbue to your side.","Traded for a song by the High Satrap of a distant land, the secret to taming these creatures once thought to be unbreakable was introduced to Eorzea by a mysterious wandering minstrel who journeyed through the realm in the final
days before the Calamity.","Would that I had the
girth of a goobbue!
  - Nanamo Ul Namo",200,4,False,90,-1,30,12,9,2,9,1.6,2,12.56,1.57,3,12.56,60,30,60,3,2.4,1.2,1,1,1,1,1,1,1,1,1,1,1,1,121,"SE_Bt_Etc_GuuBooWhistle","SE_Bt_Etc_GuuBooWhistle_only","SE_Bt_Etc_GuuBooBye",15,9,True,0,1,0,0,1,4403,4,100,0,0,0,2437,0,False,True
5,"legacy chocobo",0,"legacy chocobos",0,0,1,0,0,"Five years and a realm-shaking Calamity were not enough to break the bonds between you and your loyal steed. A single whistle and he will be at your side once again.","In the five years following your sudden disappearance from the Carteneau Flats, your ever-faithful chocobo spent each waking moment galloping across the realm in search of his lost master. His myriad adventures are nothing less than fantastical
and heartbreaking...but that is
a story for another day.","Go find the chocobo you
rode in on, and ride on out.
  - Sevrin",1,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,62,"SE_Bt_Etc_ChocoboWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_ChocoboBye",20,20,True,65545,65545,65545,65545,2,4402,1,100,0,0,0,0,0,False,False
6,"magitek armor",0,"suits of magitek armor",0,0,1,0,0,"Call into battle your suit of Garlond Ironworks-modified magitek armor.","This suit of Garlean-developed reaper-class magitek battle armor has had its original control systems purged and replaced with a new, modified core built by Cid of the Garlond Ironworks.","At last, our very own
suit of magitek armor!
  - Cid Garlond",2,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,1,1,1,1,1,1,1,1,1,1,1,262,"SE_Bt_Etc_MadoWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_MadoBye",0,10,True,0,131073,0,0,3,4406,3,77,0,0,0,2434,2435,False,True
7,"",0,"",0,0,1,0,0,"","","",311,5,False,90,-1,24,9.6,9,1,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"","","",0,0,True,0,1,0,0,-1,0,0,100,0,0,0,0,0,False,False
8,"coeurl",0,"coeurls",0,0,1,0,0,"Summon your fleet-footed battle coeurl, trained from a pup to recognize you as a friend...not food.","Native to the jungles of the Near East, coeurls were only recently introduced to Eorzea, brought over from faraway lands such as Thavnair by Ul'dahn nobles who thought to breed them as pets. Now, but a handful of skilled tamers living in recluse on the Pearl are
said to be able to train them.","Hey, good lookin'!
Catch my coeurl yet?
  - Swygrael",70,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1,0.9,1.05,1,0.6,0.6,0.9,0.85,1.1,1.1,1.2,0.82,121,"SE_Bt_Etc_CuahrWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_CuahrBye",20,10,True,0,1,0,0,4,4405,5,60,0,0,0,0,0,False,False
9,"ahriman",0,"ahrimans",0,1,1,0,0,"Summon forth a riding ahriman, bound to this realm with powerful magicks guaranteed to never fade.","Though little is known of the void and the creatures which call the extra-dimensional realm home, scholars have discovered that there is a strict hierarchy amongst voidsent consisting of twelve distinct tiers. Ahrimans are believed to fall into the fifth, making them formidable foes...
when not enthralled by curses.","Ye'd 'ave t' be blinder'n an
ahriman wi' an eyepatch t'
miss the camp.
  - Baderon Tenfingers",167,2,False,90,-1,24,9.6,9,3.2,9,3.2,3.2,12.56,1.57,3,12.56,30,15,30,8,8,3.2,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,121,"SE_Bt_Etc_AhrimanWhistle","SE_Bt_Etc_ChocoboWhistle_only","SE_Bt_Etc_AhrimanBye",20,10,True,0,1,0,0,5,4404,6,100,0,0,0,0,0,True,False
