key,0,1,2,3
#,,,,
int32,bit&01,byte,str,uint32
0,False,0,"",0
1,False,0,"Producer",61531
2,False,0,"Game Master",61524
3,False,0,"Game Master",61532
4,False,0,"Game Master",61533
5,False,0,"Disconnected",61503
6,True,1,"Waiting for Friend List Approval",61501
7,True,2,"Waiting for Linkshell Approval",61501
8,True,3,"Waiting for Free Company Approval",61501
9,True,4,"Not Found",61502
10,True,5,"Offline",61504
11,True,6,"Busy",61509
12,True,7,"PvP",61510
13,True,8,"Playing Triple Triad",61539
14,True,9,"Viewing Cutscene",61508
15,True,11,"Using a Chocobo Porter",61534
16,True,12,"Away from Keyboard",61511
17,True,13,"Looking for Repairs",61512
18,True,14,"Looking to Repair",61513
19,True,15,"Looking to Meld Materia",61514
20,True,16,"Looking for Party",61515
21,True,17,"",61516
22,True,18,"Waiting for Duty Finder",61517
23,True,19,"Recruiting Party Members",61536
24,True,26,"New Adventurer",61523
25,True,20,"Alliance Leader",61518
26,True,21,"Alliance Party Leader",61519
27,True,22,"Alliance Party Member",61520
28,True,23,"Party Leader",61521
29,True,24,"Party Member",61522
30,True,25,"Another World",61535
31,False,0,"Sharing Duty",61506
32,False,0,"Similar Duty",61507
33,True,10,"In Duty",61510
34,True,28,"Trial Adventurer",61525
35,False,0,"Free Company",0
36,False,0,"Grand Company",0
37,True,27,"Online",61505
