key,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
int32,uint32,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,byte,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16,uint16
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2001298,357,10,358,10,359,10,360,10,361,10,362,10,363,10,371,10,364,10,365,10,446,447,448,0,480,155,589,180,611,152,644,849,868
2,2001299,366,10,396,10,367,10,368,10,369,10,370,10,372,10,373,10,374,10,375,10,449,450,451,0,571,138,424,146,633,154,645,853,875
3,2001300,376,10,377,10,356,10,378,10,379,10,380,10,381,10,383,10,384,10,385,10,452,453,454,0,521,156,620,152,430,146,646,860,863
4,2001301,386,10,387,10,388,10,389,10,390,10,391,10,392,10,393,10,394,10,395,10,455,456,457,0,475,155,577,138,540,145,646,649,865
5,2001302,397,10,398,10,400,10,401,10,402,10,403,10,382,10,413,10,404,10,405,10,458,459,453,0,569,138,516,156,616,152,647,652,870
6,2001303,406,10,407,10,408,10,409,10,399,10,410,10,411,10,412,10,414,10,415,10,460,461,448,0,632,154,642,147,499,155,650,643,873
7,2001304,416,10,417,10,418,10,419,10,420,10,421,10,422,10,423,10,424,10,425,10,462,463,454,0,317,139,604,148,517,156,643,658,848
8,2001305,426,10,427,10,428,10,429,10,430,10,431,10,432,10,433,10,434,10,435,10,464,451,457,0,552,146,486,155,628,153,644,659,855
9,2001306,436,10,437,10,438,10,439,10,440,10,441,10,442,10,443,10,444,10,445,10,465,459,461,0,493,155,587,180,543,145,645,657,859
