key,0,1,2
#,,,
int32,byte,int64,int32
0.0,0,"0, 0, 0, 0",0
1.0,2,"1, 0, 0, 0",0
1.1,2,"2, 0, 0, 0",0
1.2,2,"3, 0, 0, 0",0
1.3,2,"4, 0, 0, 0",0
1.4,2,"5, 0, 0, 0",0
1.5,3,"9, 0, 0, 0",701
1.6,3,"11, 0, 0, 0",701
1.7,3,"21, 0, 0, 0",701
1.8,3,"31, 0, 0, 0",701
1.9,3,"35, 0, 0, 0",701
1.10,3,"47, 0, 0, 0",701
1.11,3,"56, 0, 0, 0",701
1.12,3,"61, 0, 0, 0",701
1.13,3,"74, 0, 0, 0",701
1.14,3,"75, 0, 0, 0",701
1.15,3,"78, 0, 0, 0",701
1.16,3,"84, 0, 0, 0",701
1.17,3,"97, 0, 0, 0",701
1.18,3,"98, 0, 0, 0",701
1.19,3,"120, 0, 0, 0",701
1.20,3,"124, 0, 0, 0",701
1.21,3,"135, 0, 0, 0",701
1.22,3,"141, 0, 0, 0",701
1.23,3,"152, 0, 0, 0",701
1.24,3,"162, 0, 0, 0",701
1.25,3,"163, 0, 0, 0",701
1.26,3,"185, 0, 0, 0",701
1.27,3,"190, 0, 0, 0",701
1.28,3,"53, 0, 0, 0",701
1.29,3,"54, 0, 0, 0",701
1.30,3,"66, 0, 0, 0",701
1.31,3,"2259, 0, 0, 0",701
1.32,3,"2261, 0, 0, 0",701
1.33,3,"2263, 0, 0, 0",701
1.34,7,"1902, 1, 1, 0",0
2.0,1,"17060, 15, 0, 0",0
2.1,0,"0, 0, 0, 0",0
3.0,1,"18313, 15, 0, 0",0
3.1,0,"0, 0, 0, 0",0
4.0,1,"17932, 15, 0, 0",0
4.1,0,"0, 0, 0, 0",0
5.0,2,"6, 0, 0, 0",0
5.1,2,"7, 0, 0, 0",0
5.2,3,"451, 0, 0, 0",304
5.3,3,"452, 0, 0, 0",304
5.4,3,"453, 0, 0, 0",304
5.5,3,"454, 0, 0, 0",304
5.6,3,"455, 0, 0, 0",304
5.7,3,"456, 0, 0, 0",304
5.8,3,"457, 0, 0, 0",304
5.9,3,"458, 0, 0, 0",304
5.10,3,"459, 0, 0, 0",304
5.11,3,"460, 0, 0, 0",304
5.12,3,"733, 0, 0, 0",480
5.13,3,"734, 0, 0, 0",480
5.14,0,"0, 0, 0, 0",0
6.0,2,"9, 0, 0, 0",0
6.1,2,"8, 0, 0, 0",0
6.2,1,"1443, 0, 0, 0",0
6.3,1,"1444, 0, 0, 0",0
6.4,3,"650, 0, 0, 0",306
6.5,3,"973, 0, 0, 0",480
6.6,3,"1363, 0, 0, 0",480
6.7,3,"1364, 0, 0, 0",306
6.8,3,"1052, 0, 0, 0",237
7.0,2,"10, 0, 0, 0",0
7.1,2,"11, 0, 0, 0",0
7.2,2,"21, 0, 0, 0",0
7.3,3,"1073, 0, 0, 0",228
7.4,3,"1074, 0, 0, 0",228
7.5,3,"1077, 0, 0, 0",363
7.6,3,"1045, 0, 0, 0",480
7.7,3,"1046, 0, 0, 0",480
7.8,3,"1050, 0, 0, 0",54
7.9,3,"1084, 0, 0, 0",0
7.10,3,"1085, 0, 0, 0",0
7.11,3,"1086, 0, 0, 0",81
7.12,3,"1087, 0, 0, 0",83
7.13,3,"1048, 0, 0, 0",18
8.0,2,"18, 0, 0, 0",0
8.1,1,"1613, 0, 0, 0",0
8.2,3,"1109, 0, 0, 0",195
8.3,3,"1110, 0, 0, 0",194
8.4,3,"1442, 0, 0, 0",197
8.5,3,"533, 0, 0, 0",480
8.6,3,"1104, 0, 0, 0",197
8.7,3,"1102, 0, 0, 0",197
8.8,3,"1103, 0, 0, 0",197
8.9,3,"956, 0, 0, 0",480
8.10,0,"0, 0, 0, 0",0
9.0,1,"1716, 0, 0, 0",0
9.1,3,"1115, 0, 0, 0",188
9.2,3,"1124, 0, 0, 0",187
9.3,3,"1125, 0, 0, 0",187
9.4,3,"1097, 0, 0, 0",53
9.5,3,"1100, 0, 0, 0",19
9.6,3,"513, 0, 0, 0",172
9.7,3,"958, 0, 0, 0",218
9.8,0,"0, 0, 0, 0",0
10.0,2,"22, 0, 0, 0",0
