key,0,1,2,3,4,5,6,7,8,9
#,,,,,,,,,,
int32,str,str,int32,byte,byte,bit&01,byte,uint16,int16,byte
0,"","",0,0,0,False,0,0,0,0
1,"Enhanced Vitality","Increases vitality by 2.",5130,1,8,False,0,0,2,38
2,"Enhanced Rampart","Increases damage reduction granted by Rampart to 20%.",5201,1,14,False,0,0,0,38
3,"Enhanced Vitality II","Increases vitality by 4.",5131,1,16,False,0,0,4,38
4,"Enhanced Awareness","Extends Awareness duration to 25 seconds.",5208,1,44,False,0,0,0,38
5,"Enhanced Vitality III","Increases vitality by 6.",5132,1,24,False,0,0,6,38
6,"Enhanced Flash","Adds Blind effect to Flash.  <Color(52258)>Duration:</Color> 12s",5203,1,20,False,0,0,0,38
7,"Enhanced Convalesence","Improves the HP recovery increase granted by Convalesence to 30%.",5206,1,32,False,0,0,0,38
8,"Enhanced Sentinel","Increases damage reduction granted by Sentinel to 40%.",5202,1,48,False,0,0,0,38
9,"Enhanced Rage of Halone","Increases strength reduction inflicted by Rage of Halone to 10%.",5207,1,40,False,0,0,0,38
10,"Enhanced Shield Bash","Extends Stun duration inflicted by Shield Bash to 6 seconds.",5204,1,36,False,0,0,0,38
11,"Enhanced Fight or Flight","Extends Fight or Flight duration to 30 seconds.",5205,1,28,False,0,0,0,38
12,"Enhanced Vitality","Increases vitality by 2.",5130,3,8,False,0,0,2,44
13,"Enhanced Vitality II","Increases vitality by 4.",5131,3,16,False,0,0,4,44
14,"Bloodshower","Extends Bloodbath duration to 30 seconds.",5402,3,20,False,0,0,0,44
15,"Enhanced Foresight","Shortens Foresight recast time to 90 seconds.",5401,3,14,False,0,0,0,44
16,"Enhanced Vitality III","Increases vitality by 6.",5132,3,24,False,0,0,6,44
17,"Enhanced Maim","Extends Maim duration to 24 seconds.",5404,3,48,False,0,0,0,44
18,"Enhanced Berserk","Extends Berserk duration to 20 seconds.",5403,3,36,False,0,0,0,44
19,"Enhanced Brutal Swing","Extends Brutal Swing duration to 5 seconds.",5405,3,32,False,0,0,0,44
20,"Enhanced Mercy Stroke","Shortens Mercy Stroke recast time to 40 seconds.",5407,3,40,False,0,0,0,44
21,"Enhanced Fracture","Extends Fracture duration to 30 seconds.",5406,3,28,False,0,0,0,44
22,"Enhanced Thrill of Battle","Improves the HP increase granted by Thrill of Battle to 20%.",5408,3,44,False,0,0,0,44
23,"Enhanced Strength","Increases strength by 2.",5110,2,8,False,0,0,2,41
24,"Enhanced Strength II","Increases strength by 4.",5111,2,16,False,0,0,4,41
25,"Enhanced Strength III","Increases strength by 6.",5112,2,24,False,0,0,6,41
26,"Enhanced Greased Lightning","Allows the stacking of a second Greased Lightning.",5305,2,20,False,0,0,0,41
27,"Enhanced Internal Release","Improves the critical hit rate increase granted by Internal Release to 30%.",5304,2,36,False,0,0,0,41
28,"Enhanced Featherfoot","Improves evasion increase granted by Featherfoot to 25%.",5302,2,14,False,0,0,0,41
29,"Third Wind","Increases cure potency of Second Wind to 650.",5301,2,32,False,0,0,0,41
30,"Mythril Peak","Shortens Steel Peak recast time to 40 seconds.",5307,2,44,False,0,0,0,41
31,"Enhanced Greased Lightning II","Allows the stacking of a third Greased Lightning.",5306,2,40,False,0,0,0,41
32,"Enhanced Twin Snakes","Improves the damage increase granted by Twin Snakes to 10%.",5303,2,28,False,0,0,0,41
33,"Enhanced Mantra","Improves the HP recovery increase granted by Mantra to 20%.",5308,2,48,False,0,0,0,41
34,"Enhanced Strength","Increases strength by 2.",5110,4,8,False,0,0,2,47
35,"Keener Flurry","Improves Keen Flurry parry rate increase to 80%.",5505,4,20,False,0,0,0,47
36,"Enhanced Feint","Extends Slow duration inflicted by Feint to 20 seconds.",5504,4,14,False,0,0,0,47
37,"Enhanced Strength II","Increases strength by 4.",5111,4,16,False,0,0,4,47
38,"Enhanced Strength III","Increases strength by 6.",5112,4,24,False,0,0,6,47
39,"Exhilarate","Increases the TP restored by Invigorate to 500.",5501,4,36,False,0,0,0,47
40,"Enhanced Leg Sweep","Shortens Leg Sweep recast time to 20 seconds.",5507,4,28,False,0,0,0,47
41,"Enhanced Life Surge","Shortens Life Surge recast time to 50 seconds.",5502,4,32,False,0,0,0,47
