key,0,1,2,3,4
#,,,,,
int32,str,str,byte,byte,bit&01
0,"Zvahl","GM Test World",0,0,False
1,"c-funereus","Type C World",0,2,False
2,"c-contents","Type C World - Finder",0,0,False
3,"c-whiteae","Type C World",0,1,False
4,"c-baudinii","Type C World",0,0,False
5,"c-contents2","",0,2,False
16,"konconv","1.0 Data Conversion Slot",0,0,False
23,"Asura","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into six different data centers based on the location of
their servers. To ensure you encounter the fewest number of latency issues,
it is recommended, but not required, that you select a data center that is 
closer to where you will be playing. Legacy Worlds (servers existing since the 
original launch) are indicated in parentheses.

Mana, this World's data center, is recommended for residents of Japan.",1,3,True
24,"Belias","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into six different data centers based on the location of
their servers. To ensure you encounter the fewest number of latency issues,
it is recommended, but not required, that you select a data center that is 
closer to where you will be playing. Legacy Worlds (servers existing since the 
original launch) are indicated in parentheses.

Mana, this World's data center, is recommended for residents of Japan.",1,3,True
25,"Chaos","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0,True
26,"Hecatoncheir","""World"" is another name for the server on which your character will reside.
Once you have chosen a World, you will not be allowed to move to another,
so if you have made plans to play FINAL FANTASY XIV: A Realm Reborn
with friends, make sure that you all select the same one.

Worlds are divided into two different groups, JP and NA/EU, based on the
location of their servers. To ensure you encounter the fewest number of
latency issues, it is recommended, but not required, that you select the
group that is closer to where you will be playing. Legacy Worlds (servers
existing since the original launch) are indicated in parentheses.",1,0,True
