key,0,1
#,,
int32,str,str
0,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_2","I am but a simple minstrel. Though once I served with the Gods' Quiver, my days are now measured by stanza and verse."
1,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_3","It has been long years since I last set foot within the Twelveswood...yet I could no longer ignore fate's insistent pull. And so, I shall abide here for a time until certain matters are laid to rest."
2,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_1","Greetings. Have you an interest in the poetry and song of the bard?"
3,"TEXT_JOBDEFBRD_00094_Q1_000_1","What will you ask?"
4,"TEXT_JOBDEFBRD_00094_A1_000_1","Who are you?"
5,"TEXT_JOBDEFBRD_00094_A1_000_2","What does a bard do?"
6,"TEXT_JOBDEFBRD_00094_A1_000_3","Nothing."
7,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_5","When folks think of a bard, they conjure images of a minstrel wandering the realm, performing at banquets and in alehouses for the pleasure of king and commoner alike."
8,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_6","But the bard I would speak of is one born from a battle-hardened archer─one who sings <If(PlayerParameter(4))>her<Else/>his</If> songs in the heat of combat to inspire <If(PlayerParameter(4))>her<Else/>his</If> comrades to ever greater feats of martial prowess."
9,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_7","As battles unfold, the distinction between the lines of friend and foe grows hazy. Yet the archer must stay ever alert, with arrow nocked and eyes trained upon the struggle. One need not have a vivid imagination to appreciate the torrent of emotions that rages within <If(PlayerParameter(4))>her<Else/>him</If> in that moment."
10,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_8","Nerves near to fraying, <If(PlayerParameter(4))>her<Else/>his</If> breast fit to burst, the archer does the only thing <If(PlayerParameter(4))>she<Else/>he</If> can: <If(PlayerParameter(4))>she<Else/>he</If> sings. And in that raw melody resides the power to stir the souls of men. That, my friend, is the true definition of a bard, and one that few now remember."
11,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_010","Ah, you return, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. <If(Equal(PlayerParameter(68),23))>Mayhap you'd care to regale me with a ballad or two before you go.<Else/>I'd hoped you might regale me with a ballad or two, but I see other pursuits occupy you of late.</If>"
12,"TEXT_JOBDEFBRD_00094_Q2_000_1","What will you ask?"
13,"TEXT_JOBDEFBRD_00094_A2_000_1","How fare you of late?"
14,"TEXT_JOBDEFBRD_00094_A2_000_2","What does a bard do?"
15,"TEXT_JOBDEFBRD_00094_A2_000_3","Nothing."
16,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_100","Rare is the bard who is sung <Emphasis>of</Emphasis> as much as <If(PlayerParameter(4))>she herself<Else/>he himself</If> sings, but with your exploits these days, you may very well earn that distinction."
17,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_101","Yes, at long last the realm remembers the true role of the bard, and your accomplishments have done much to that end. Why, I've even seen the hot-blooded young lads of the Gods' Quiver spending the occasional hour honing their voice as they do their aim."
18,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_111","I would think you as fit to answer that question as I. But you have asked, and who am I to begrudge you an answer? When folks think of a bard, they conjure images of a minstrel wandering the realm, performing at banquets and in alehouses for the pleasure of king and commoner alike."
19,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_112","But the bard I would speak of is one born from a battle-hardened archer─one who sings <If(PlayerParameter(4))>her<Else/>his</If> songs in the heat of combat to inspire <If(PlayerParameter(4))>her<Else/>his</If> comrades to ever greater feats of martial prowess."
20,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_113","As battles unfold, the distinction between the lines of friend and foe grows hazy. Yet the archer must stay ever alert, with arrow nocked and eyes trained upon the struggle. One need not have a vivid imagination to appreciate the torrent of emotions that rages within <If(PlayerParameter(4))>her<Else/>him</If> in that moment."
21,"TEXT_JOBDEFBRD_00094_JEHANTEL_000_114","Nerves near to fraying, <If(PlayerParameter(4))>her<Else/>his</If> breast fit to burst, the archer does the only thing <If(PlayerParameter(4))>she<Else/>he</If> can: <If(PlayerParameter(4))>she<Else/>he</If> sings. And in that raw melody resides the power to stir the souls of men. That, my friend, is the true definition of a bard─a definition that you yourself have helped Eorzeans to remember."
